marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
US,19259557,RUUGVA1J6XR52,B005B3F2RM,337991686,"1984",Books,5,0,0,N,Y,"Having read book first in 1973 I am now seeing ...","Having read book first in 1973 I am now seeing this book not as metaphor, but reflection of what our world and society have become. Sadly I read this, but have hope that all are not mentally numb to this.",2015-08-29
US,38431461,R2WOTRUXC9D229,1433202468,337991686,"1984",Books,4,0,0,N,Y,"GOOD","GOOD",2015-08-28
US,39859785,R2T0OEO5HJ50NO,0452284236,337991686,"1984",Books,5,0,0,N,Y,"Five Stars","a clasic",2015-08-27
US,16491803,R1CB095IK6JFIC,0452284236,337991686,"1984",Books,5,26,29,N,Y,"This book is a WARNING!","This is the scariest book I have read in my life. It is also one of the best books I have read. Although it is a fictional book, many of the petrifying things that occur in the book (a big government, propaganda, spying, police state, brainwashing) and the many methods through which these are achieved or maintained are things that have occurred in the past and that are occurring presently. This book is in my opinion, A WARNING; a warning against giving more power to the government and consequently less freedom to the individual. The environment in the book resembles the Soviet Union, Germany under the National Workers Socialist Party (Nazis), China under Mao, and most likely resembles North Korea the best. This is perhaps one of the best books you could read. Get it and SHARE IT!! I would also recommend reading Animal Farm by him also, before reading this one.",2015-08-26
US,41916221,RFOAP6ZIVXTX5,0452262933,337991686,"1984",Books,5,0,0,N,Y,"Read this book now","Must read, great story",2015-08-11
US,52244283,R3CVZO7QP98D62,0452262933,337991686,"1984",Books,5,0,0,N,Y,"Five Stars","Great book",2015-08-07
US,18173530,R17ZHO9FU1Z7TK,0451518659,337991686,"1984",Books,5,0,0,N,Y,"must read","First read in high school and was even better second time around.",2015-07-26
US,12485248,R2IX6ZJFN0SL1D,B001PKXOA2,337991686,"1984",Books,5,0,0,N,Y,"Read this classic.  It applies today!!","If you have not read 1984, you need to!!!",2015-07-15
US,22147955,R2291BTNW6C975,B00BP0ODSE,337991686,"1984",Books,4,0,0,N,Y,"Four Stars","classic",2015-07-11
US,46813483,R19Z1XFHF3FSVW,B00BP0ODSE,337991686,"1984",Books,5,0,1,N,Y,"Five Stars","I read this book in college. It was a must have.",2015-07-04
US,49671965,RX2FIPHC4AHT8,B005B3F2RM,337991686,"1984",Books,1,3,14,N,Y,"I am dissatisfied by my purchase. Why? I ...","I am dissatisfied by my purchase. Why? I am dissatisfied because I expected to receive the same publication type of 1984 that was displayed in the image (the blue and orange lettering with the green border). However I merely received a newer publication version, and that is not what I intended to order. I feel I was mislead and hoodwinked into buying something other than what was advertised.",2015-07-01
US,31268442,R3TQTNHJ03UL4Y,0452284236,337991686,"1984",Books,5,0,0,N,Y,"Classic book, should be required reading for anyone who ...","Classic book, should be required reading for anyone who cares about politics, their country, free markets, etc. This book in particular focuses on over-reaching government power, how it corrupts, removes personal liberty and freedom, etc.",2015-06-26
US,14492340,R2XANZLMU5KM9B,0452262933,337991686,"1984",Books,4,0,0,N,Y,"Important read","Important read for everyone",2015-06-03
US,41642862,R26N3IRDIYWSZU,1433202468,337991686,"1984",Books,4,0,0,N,Y,"As I was doing a great deal of driving I wanted to revisit some of ...","This is a classic and I had read many years ago as a freshman in college.  As I was doing a great deal of driving I wanted to revisit some of the classics I had read, but this time via CD during my extended driving periods.  The term Orwellian is part of our language, so there is no doubt this book has had a profound effect on the culture.  Much has been written on 1984 so I will not attempt to add to that, in a short review.  However I will say,  I had forgotten how truly dark and foreboding Orwell's presentation of a future, controlled by government, was.  Given that government and its tentacles via laws, and regulations has grown tremendously over the years, the book is well worth a read (or a listen if on CD).  But do not read it,  if you want something light or something uplifting, as it is neither.",2015-06-03
US,40133341,R2JE9PORKTMMP9,0452262933,337991686,"1984",Books,3,0,0,N,Y,"Three Stars","difficult to read",2015-06-03
US,14759342,RBZYYPPB6YPVV,0452284236,337991686,"1984",Books,5,0,0,N,Y,"It may already be too late for reading this...","The Centennial Edition, with the forward written by Thomas Pynchon, is the rare book that is absolutely critical reading for anyone living in a Democratic society. This is also a book that everyone imagines that they have read, even if they have never even had a copy on their bookshelves. It has been criticized for not following the template for a &#34;well-written&#34; novel, but it was not necessarily intended as such: Orwell was an essayist and a journalist first, passionate about what it means to be a civilized society.<br /><br />There are lots of reviews here, so I won't go on at length. Suffice it to say that, after the Cheney Administration destabilized the Middle-East in order to create a perpetual state of war, it may already be too late to save Civilization.",2015-05-31
US,41470197,R3M9C4RVEVTZ6A,B005B3F2RM,337991686,"1984",Books,1,0,6,N,Y,"THREW IT OUT... PRINTING FADED, AND ...","THREW IT OUT...PRINTING FADED, AND ILLEGIBLE IN PLACES.",2015-05-27
US,714371,RKYHWLDEFSJWV,B005B3F2RM,337991686,"1984",Books,5,0,1,N,Y,"Five Stars","I am satisfied with the purchase.",2015-05-26
US,51554713,R3EWVPDOHX2594,0452262933,337991686,"1984",Books,5,0,0,N,Y,"I think everyone needs to read this. Really sums ...","I think everyone needs to read this. Really sums up a lot of how the world is and is heading.",2015-05-22
US,52786023,R1E6HSSLYYVDD8,B00BP0ODSE,337991686,"1984",Books,5,1,1,N,Y,"I read it years ago and feel the need to ...","I read it years ago and feel the need to re-read it because of the current state of our government, the trampling of our Constitution, and how prophetic Mr. Blair (Orwell) has proven himself to be.",2015-05-18
US,51713009,RX7PF9LR2Q2KE,0452262933,337991686,"1984",Books,5,1,1,N,Y,"I had the book sent to a prisoner in a ...","I had the book sent to a prisoner in a &#34;for profit prison&#34;  He is my pen pal and his latest letter did not mention the book though its been over a month since I ordered the book.  Prisons may or may not let the book go to the prisoner and they may or may not tell me if it does not get to the prisoner.  George Orwell is one of 5 modern prophets that I know and recognize.  He certainly has described the developing government as we now see it.",2015-05-15
US,1950375,R3LF277NYC2OSZ,B005B3F2RM,337991686,"1984",Books,5,0,0,N,Y,"Five Stars","Great book. Excellent quality for the price.",2015-05-15
US,38383083,RYH573PQN3SCT,1433202468,337991686,"1984",Books,4,0,0,N,Y,"Four Stars","Enjoyed book.",2015-05-14
