marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
US,12007864,R2L4AA6PX441T5,0375701230,91189139,A Death in the Family,Books,3,0,2,N,Y,"Sad","Sad",2014-10-09
US,11336814,R18GAHMS49S77W,B000BC21FY,91189139,A Death in the Family,Books,3,0,3,N,Y,"Three Stars","My granddaughter Allison had to have this book for a class at her school...",2014-09-28
US,44525800,RACEXKBX24AL7,0375701230,91189139,A Death in the Family,Books,2,2,11,N,Y,"A Let Down","I had to read this for my college history class, and I was super excited because the author and I share the same name, but I was very disappointed with this book. Perhaps it was not my type of book, but I had to make myself read it and found it quite dry and boring.",2012-08-04
US,35446578,R38WZ4JAFPN2VC,1846554675,111950812,A Death in the Family,Books,5,6,7,N,N,"writing at it's best","I found this book while browsing in Amazon, and it turns out to be one of the msot outstanding books I have read in years. The author brings us into his family home, sharing his childhood with us. This is my first attempt at reading a book by a Norwegian author, and I eagerly wait to buy the rest of his books.<br />This is writing at it's highest degree, and a must for readers that love words and literature.",2012-05-28
US,52849576,R1C3J2WVAB57RY,1455118710,91189139,A Death in the Family,Books,5,2,3,N,N,"Beautifully Crafted Book","This was a well crafted a book as I have ever read. It is a powerful story of what happens to a family in the immedaite aftermath of an unexpected death, and Agee is as pitch perfect as is possible in giving voice to the various characters in this book. His choice of words and phrases are such that each individual is entirely believable and authentic, with a unique voice and a complexity of character that leaves nothing wanting.<br /><br />Agee has a mastery of the language that rivals writing peers, and the resulting prose appears both effortless and flawless in its formation. He delivers complex experiences and emotions with simplicity, while never relegating himself to simplistic language or condescending construction. It is an easy read, not because it has light subject matter or rudimentary language, but rather because the story is written with such linguistic beauty that it seems as natural as if the reader him/herself were speaking.<br /><br />In the end, regardless of the emotional messiness of a family at loose ends, this is a satisfying read in every way. The story unfolds as it should, naturally, without a manufactured happy ending...just as one would expect in life. And Agee guides us through all of the emotional upheaval with aa sensitive voice and linguistic ease.<br /><br />If you have not read this book, I highly recommend it.",2012-05-10
US,14468520,RYTL1I5QOBJ0H,0375701230,91189139,A Death in the Family,Books,5,0,3,N,Y,"purchase of A Death in the Family by James Agee","The book was as described by the seller.  We received it in a timely manner.",2009-05-29
US,19770628,R3M86DE2GALDIW,1585470066,91189139,A Death in the Family,Books,3,1,11,N,Y,"Recommeded by a teacher","This book was recommended by a teacher at my daughter's school.  It is also on a list of books on[...].  My daughter is required to read so many books during hte school year.  This will be one of them.",2009-04-28
US,43138973,R1LFYUZE41B4ZT,B000BY9FTC,91189139,A Death in the Family,Books,5,11,13,N,Y,"Best book ever","This is one of the most touching books I've ever read. Agee has the greatest knack of talking in the language of the character under examination. His attention to minute detail brings the picture of what the characters see and do and feel in a way that I find rather profound. The language is never coarse or overly broad. You never have to guess what a sentence is conveying, it is so literate yet to the point. For instance, Agee names all the mourners, just the way a child would who was watching them pass by one by one, and creates an atmosphere of the burden of sadness but not understanding why the burden is put forth.<br /><br />Young Rufus' character and personality come across as the most touching of all. He is a young boy starting to mature but still captured in childhood, and trying to understand people and their behaviors toward him, trying to trust but knowing and feeling puzzled by the things people do to him to destroy that trust. And learning he can't trust himself either. Everyone can relate to his trials in this regard. All the folks who populate this book are folks you'd want to know more about. But the most touching aspect of all is the way Agee lets you know just how the death of one impacts so many, so very many others; how it hurts, how it forces growth, how much sadness it generates. I couldn't put it down. And my tears still flow thinking about it.",2008-04-24
US,39755940,R21F7EPZLYMT3Y,0375701230,91189139,A Death in the Family,Books,3,5,10,N,Y,"Speeding auto kills hick, Family deals with it well enough.","That's about the gist of it as the title implies. A Waltonesque tale of flowery passages describe the lives and dynamics of a turn of the century Southern family and the unexpected death of a recovering alcoholic father. The mother seeks solace in her religion and the young boy Rufus is conflicted primarily over his Negro sounding name and then his fathers death.This book is on alot of must read lists,best 50 books etc,and it even won a Pulitzer prize.Sorry, but I just don't see the big deal.There are lots of stuffy older relatives and in a flashback scene that was inserted into the book after the authors own death, the family visits an ancient, mummy of a great-great grandma way up in them thar hills who gets so excited the only sign that she is alive is that she urinates on herself.Religious hypocrisy is addressed over funeral rites with a 'lets get it over and get on with our lives' mentality.Some nice imagery, but all in all, not the great American novel I was expecting.I kept waiting for something spectacular to happen but the ending though sweet, was rather anti-climactic.Wish there was more to say but it left me flat.Read it because the lists say you should,that is, if they matter to you. They shouldn't,sometimes they are wrong, but it's your opinion that really matters in the end.",2008-03-25
US,53047671,R29NBPQC89CL0A,0375701230,91189139,A Death in the Family,Books,4,2,2,N,N,"Chonicling loss...","Loss can be experienced, but never fully understood, Perhaps some revelation may come from the tumult of feeling, yet the<br />chaotic jumble of diverse,conflicting emotions as a whole defies conscious, rational description. W. Somerset Maugham, someone who can be considered a master of introspective narrative, covered  virtually  the  whole  range  of  human emotion in  \\""Of Human Bondage\\"", yet failed to satisfactorarily explore grief over bereavement. Joan Didion in her Amazon.com Editors' Top Pick of 2005 nonfiction work \\""The Year of Magical Thinking\\"" fell far short. Perhaps loss cannot be explained so much as put into perspective, either through the chronicling of its immediate impact, or its gradual dissipitation from consciousness.<br /><br />Or perhaps I haven't read enough on the subject, a possibility which is admittedly as high as  that  of my conjectures being correct.  However, \\""A Death in the Family\\"" goes some way in remedying this deficit.<br /><br />A Pulitzer Prize winner, \\""A Death in the Family\\"" covers the short time span from just before the father of a family leaves on a journey in which he suddenly dies in a car accident, until his funeral.The thoughts and interactions between many characters central and peripheral to the incident, including his wife, their children, as well as the in-laws are painstakingly and vividly rendered, delining a portrait of - as the title plainly states - a death in the family.<br /><br />Unable to come to grips with the enormity of grief, the widow's mind first turns to irreverent matters (the blasphemy of trying out a mourning veil in front of the mirror before the funeral) and then to finding solace in her religion. The narrative gist regarding religion on the part of the author registers as part bafflement,and part sheer anger and frustration at the what he percieves as docile, imbecilic submission to such obvious capriciousness. \\""God, if You exist, come here and let me spit in Your face.\\"", he has one character think.<br /><br />Such irreverency and inadequecy of mortal thought in face of something as unfathomable as death is convincing and uncontrived, as are the innocence of the dead man's children. ('Could I call myself a half-orphan?'wonders the son, thinking to impress his schoolmates.)<br /><br />Reading such a novel gives one a sense of catharsis, as well as something like the euphoria one has in waking from a nightmare. But however vivid or realistic a written work may be, can it truly prepare one for loss?inadequecy of mortal thought in face of something as unfathomable as death is convincing and uncontrived, as are the innocence of the dead man's children. ('Could I call myself a half-orphan?'wonders the son, thinking to impress his schoolmates.)    Reading such a novel gives one a sense of catharsis, as well as something like the euphoria one has in waking from a nightmare. But however vivid or realistic a written work may be, can it truly prepare one for loss?",2007-08-20
