marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
US,17027308,R2M8LU72E92E3V,0395860210,79852712,"American Pastoral",Books,5,0,0,N,Y,"BRILLIANT Every page resonates with geat thoughts","One of the most outstanding bookis of the mid to late 20th Century.<br />BRILLIANT  Every page resonates with geat thoughts.",2015-03-06
US,4769088,R90H3PU6YG07I,0224050001,79852712,"American Pastoral",Books,5,0,0,N,Y,"Great bookseller.","The condition was awesome, it was the perfect gift.<br />Thanks,<br />Laurie",2015-01-04
US,51870438,R2C7FJEB3ZG8B3,1597771120,79852712,"American Pastoral",Books,5,1,7,N,N,"Brilliant Book Read by The Late Great Ron Silver","Roth's American Pastoral is perhaps my favorite of his many novels.  Through Swede Lvov we traverse the post-war American experience of first generation American-Jews in Newark as they strove for the American dream up through the urban riots and their aftermath that destroyed both cities and families.      The late, Ron Silver, was a fine American actor, who graced silver screen in Bashevis Singer's \\""Enemies: A Love Story\\""; the Broadway Stage in \\""Speed The Plow\\""; and in the acclaimed television series \\""Chicago Hope\\"" and \\""The West Wing\\"".  His narrations of \\""American Pastoral\\""; \\""Plot Against America\\""; \\""I Married A Communist\\"" are little gems well worth adding to any audio library.  In my estimation, after listening to many an audio recording, Ron Silver, Jeremy Irons and Campbell Scott are simply the 3 best.",2011-06-10
US,17587907,RI3TSGMDQVIOL,0395860210,79852712,"American Pastoral",Books,3,3,3,N,N,"Pulitzer?","The characterization in this book is admirable, but it flounders in the plot and narrative departments.  Much time is spent in pondering ontological and deterministic questions, as well as explaining in great detail the intricacies of glove-making.  Roth dwells on the emotional inner torment of his characters to an almost maudlin degree.<br /><br />  It's not a terrible book by any stretch, but I have a difficult time believing there was none better in 1998, and it certainly isn't among his strongest.  Anyone disappointed by this novel should try Ghost Writer, which is more compact and substantial, without so much self-indulgence in suburban philosophy.  Roth is still a great writer here, it simply feels as if he begins coasting near the halfway point, and the book floats on from there to its stultifying conclusion.",2008-12-19
US,45789289,R1GPXBPTY44TBK,0395860210,79852712,"American Pastoral",Books,3,2,3,N,N,"Mundane suburbanality, complete with anxiety disorder.","So there's this guy who is a naturally gifted athlete with male model looks. He joins the Marines, then goes to college, inherits his fathers successful factory, and marries a beauty queen. They buy a 20 acre estate out in the country, and dabble in a semi-rural farm type life. Oh yeah, he's also got an anxiety disorder. And big Rothy devotes his considerable literary abilities to describing a lifetimes worth of neuroses.<br /><br />His wife cheats on him, and his daughter's a psycho. I think he has an affair too somewhere along the way, and he likes to eat spaghetti at an Italian joint in midtown after catching a show. But it's mostly about this dudes anxieties. Phil's tremendous skills make this a pleasant book, and despite the mundane suburbanality, I actually didn't yawn once. Quite an impressive accomplishment, all things considered. Still an overrated book.",2008-12-19
US,41354692,R3ESSB1FXN2TYO,0099771810,79852712,"American Pastoral",Books,2,1,4,N,N,"Successful guy made miserable by his daughter","Title of my review says it all.  Not engaging in the least.  Realistic?  Sure.  So realistic it's just as entertaining as watching your friends go through a custody battle.  Yes, it's well written.  But for a book to have value to me I either have to learn something or it has to be be a diversion.  This book fails on both.",2008-01-14
US,13795635,REX1YMEXRVUVR,0099771810,79852712,"American Pastoral",Books,2,2,6,N,N,"Interesting but lacking","I just finished this.  To me it started quite badly, too much dialog by a person not really connected to the plot.    Then it kicks off properly after about 80 pages or so and focuses on the main character the Swede.    Some of the insights into the Swede were interesting but there are loose ends and long generally dull sections particularly towards the end.    It is one big post mortem really, even within the context of the story, the story itself is imaginary.  Just a bit of nothing really.    It kinda of is worth reading, the psychology is very detailed, and some times I felt like I was reading a new level of novel.  But overall to me it didn't quite do it.      I guess it was just too subtle for me... or was it 'silk so fine human eyes cannot see it...'",2007-11-05
US,17809151,R3NUPLYY51MU29,0099771810,79852712,"American Pastoral",Books,1,11,20,N,N,"A Tiresome Read","This book was quite impossible for me to finish. I found the writing unbelievably self-indulgent, muddy and abstruse. In a vain effort to be poetic, Philip Roth's style becomes overblown and ego-centric. Many times he expresses a thought in 3 or 4 pages that could have been articulated in a couple of paragraphs. It's like scratching an itch on your right ear with your left hand. I grew up in a neighborhood similar to his setting so I appreciated this but there wasn't enough clarity or dramatic reality to make me continue reading. His characters are cardboard and uninteresting. They didn't mak me care about them.",2007-09-08
US,13288625,R3RP2VJ2TLP56H,0099771810,79852712,"American Pastoral",Books,1,5,13,N,N,"Self-indulgent twaddle","Philip Roth takes a very dull character, \\""Swede\\"" Levov and spends a few hundred pages introducing him and his dull life. Something interesting happens which sends the Swede into a tailspin, to the extent that he almost shows some emotion. Roth spends the rest of the book juxtaposing the Swede's heartache with many flashbacks of his previously dull life. Waaaay too many flashbacks. Who enjoys a book like this? It's a mystery to me.",2007-07-01
US,42278408,RG53SYIOTVREO,0099771810,79852712,"American Pastoral",Books,2,3,4,N,N,"simple, idyllic life","Ok, I admit I had to do a dictionary search on the word \\""pastoral.\\""  I was hoping that if I understood what the title was trying to betray that it would be more likely that I would understand the point of the book.  So, \\""pastoral\\"" is referring to a simple, idyllic life.  I gather then that Roth is trying to show a contradiction of the view of American life as simple and idyllic.  I get it, but why was the book so uninteresting.  Maybe the contradiction was not strong enough.  I believe the problem stems from the fact that the story really doesn't have a plot, so we are rolling around where there is no real conflict point or destination to our reading.  If I got the point in a simple dictionary search and that point was not expanded by the story then all I needed from this book was the cover.  The cover is pretty cool so I will give it 5 stars, too bad the story got in the middle of it.",2007-06-28
US,42696540,R2050YVXEQVWDZ,0099771810,79852712,"American Pastoral",Books,4,2,3,N,N,"Good book to talk about","This book is about two hundred pages too long. On a certain level I understand why the book begins with the Nathanial Zuckerman, with the mystery of the Swede, with the high school reunion... I know that the novel is part of a trilogy. I understand that the opening echoes the WASPy Gatsby. And I am sure that a close study of the opening will reveal some statement on the structure of the American novel. But in the end, I do not believe that the opening--some 112 pages long--really adds to the central story. The opening of the novel creates a lens through which the narrative can be viewed. An attempt maybe to shift the reader's reading. The reader suddenly knows the narrator, the fictional writer of this story; knows something of his world, his concerns. The reader is suddenly not just reading the story as it is, but also reading the story as it might be read or understood within the world (middle class, educated, baby boomer, New Jersey, Jewish) of the fictional narrator. Interesting perhaps, but what of it? And to be perfectly honest, when the writer as character enters a work I am immediately turned off. I am just not as interested in writers as I am in \\""real\\"" characters.    I appreciated the insights, appreciated what the characters did and said. The writing was quick and smart. But I kept thinking there had to be more to the novel, that the narrative would lead someplace other than the familiar old idea that those rich white folks ain't so perfect after all.     The narrative, in the end, did deliver--sort of. It created a world in which the extremism of groups like the Weather Underground is placed in contrast to the common order of America. But there is a moment, right in the middle of the book, where the mythology of common America is shown to be no less a fallacy than the mythology of terrorist/revolutionary ideologies. The protagonist realizes this. And it really is a brilliant moment. But that is as good as it gets, and there are over 200 pages yet to go. Everything from that point forward is simply a less dramatic and less engaging restatement of this central idea. Marriage is a myth. Family is a myth. WASP history is a myth. Politics is mythology. Religion is of course a myth. The heroes (if that is what we can call them) of the book emerge as those who release themselves from the yoke of American mythologies. But they're rightous jerks in doing so.     The idea that America is the sum total of its conflicting mythologies is graphically drawn out in the novel. And it never becomes an idea driven novel. In the end I prefer a simple, straightforward narrative. And that is the part of this book that I most enjoyed. All the other stuff -- Nathanial Zickerman (first 75 pages), the dinner party (last 80 pages)--I could have done without.",2007-06-20
US,51769620,R33G3WLS9CQODL,0099771810,79852712,"American Pastoral",Books,2,13,16,N,N,"When Good Writers Write Bad Books (They get awarded the Pulitzer Prize)","It's my impression that the Pulitzer Prize is generally awarded to superior writers for inferior books. Maybe the idea is to encourage newer writers who show promise and belatedly to acknowledge experienced writers in decline or maybe it's strictly a matter of politics, but I've yet to read a Pulitzer-Prize-winning book I thought was up to scratch.     John Updike's second novel, \\""Rabbit Run\\"", was possibly his best, certainly his best Rabbit book, and deservedly won a National Book Award, but Updike was awarded Pulitzer Prizes for his anemic \\""Rabbit is Rich\\"" and his slightly better \\""Rabbit at Rest\\"" instead. Other disappointments include the disjointed \\""Amazing Adventures of Kavalier & Clay\\"" by Michael Chabon and \\""Ironweed\\"" by William Kennedy.    \\""American Pastoral\\"" is probably not much worse than \\""Letting Go\\"" and the \\""Facts\\"", but it's certainly no match for any other of Roth's books from \\""Goodbye, Columbus\\"" to \\""The Counterlife\\"". The thing about it that disturbs me particularly is that if I didn't know his previous work or his biography I'd be willing to bet its author had no first-hand acquaintance with the sixties at all. The tone is completely off.",2007-05-06
US,52097198,R26RFJG6VAHPJE,1597771120,79852712,"American Pastoral",Books,5,9,12,N,Y,"Highly recommend the audio version","This is the intense, profound, almost unbearably sad story of Swede Levov, brought to life in the audio version by a mind-blowing performance by Ron Silver.      The Swede was the hero of narrator Nathan Zuckerman's youth, the \\""household Apollo of the Weequahic [New Jersey] Jews.\\""  The Swede's blond good looks and athletic prowess became \\""the repository of all their hopes\\"" -- and allowed the neighborhood to forget the war.      To Zuckerman, the Swede had been the embodiment of the hero of his favorite childhood book, \\""The Kid From Tomkinsville.\\""  The Kid was a star ball player, a \\""modest, serious, chaste, loyal, naive, undiscourageable, hard-working, soft-spoken, courageous\\"" boy, who, in the final pages of the book, was struck down on the field and carried off inert through the mob on a stretcher.  Zuckerman had secretly viewed this story as an augur of the Swede's own life.  Zuckerman had wondered if it had occurred to the Swede \\""that if disaster could come and strike down the Kid from Tomkinsville, it could come and strike the great Swede down too?\\""    The Swede's mythic power stays with Zuckerman throughout his life.  Forty-five years later, out of the blue, the Swede contacts Zuckerman -- now a renowed writer --  and invites him to dinner, ostensibly to talk about the Swede's father.  Zuckerman accepts the invitation, but is incredibly disappointed in how the Swede has turned out.  Although he still had the face and physique of a God, the Swede seems to be almost unbearably bland -- every word from his mouth is good natured and unobjectionable.      Zuckerman sadly concludes that the Swede has turned out to be \\""the embodiment of nothing,\\"" but soon finds out that his assessment of the Swede is wrong.  A few months after the dinner, Zuckerman runs into the Swede's younger brother Jerry at their forty-five-year high school reunion. Jerry reveals that an unbelievable, unthinkable tragedy had befallen the Swede twenty-five years before, and the horror of that eventhad destroyed the Swede's life.      For the rest of the book, Zuckerman explores \\""the brutality of the destruction of this indestructible man.\\""  Zuckerman imagines the Swede's internal life over the course of a half-century.  The Swede's story unfolds in a spiralling structure that goes back and forth through time, as the Swede obsessively tries to make sense of the inexplicable.    Through the Swede's ruminations, Roth explores incredibly weighty themes: a parent's love for a child, the nature of perfection, the randomness of life, the delusion of control and moderation, and the helplessness and hopelessness of trying to figure out why things are. Most of all, Roth seems to struggle with the notion that there cannot be depth without suffering, and that without that depth, life would be meaningless.  You get the feeling that Roth wishes he could appreciate the ordinary guy -- the bland, honorable, decent people who live their lives with relative equilibrium.  Roth seems to regret that it is only the Swede's tragedy that makes him interesting, and that it is only in imagining the Swede's excrutiating pain that Roth can identify with him.    Overall, the book's tone is intense and dark, but there are moments of humor that are funnier than just about anything I've ever read.  Roth's description of the Valentine's gift that the fifteen-year-old Jerry makes for his secret crush had me laughing for days.",2006-11-19
US,45669375,R37CEPMM4IZNZF,0395860210,79852712,"American Pastoral",Books,5,27,30,N,N,"getting people wrong...","The central dillemma of &quot;American Pastoral&quot; is that the &quot;ability to penetrate the interior of people&quot; is beyond most people. Apparently this is true of people and books as well.   Since starting this wonderful, passionate, infuriating novel, I have often returned to the same page, the same paragraph rereading what serves as the thematic statement of the novel.<br />&quot;You fight your superficiality, your shallownes, so as to try and come at people without unreal expectations, without an overload of bias or hope or arrogacnce...take them on with an open mind, as equals man to man, as we used to say, and yet you never fail to get them wrong.&quot; <br />There it is, simple and straight forward.  Phillip Roth is a very giving novelist.  He states his point.  Not just once, but again and again he echos this sentiment.  And still people never fail to get this book wrong.<br />The superficiality is to take this book as the tale of the Swede's tragic undoing.  Or to take it as a recounting of Merry's misguided rebellion.  Or even of Nathan Zuckerman's obsessions.  This is a book about how the self is infinitely unknowable. How one can never truly understand oneself, much less others.  What makes this novel so brilliant, in my humble opinion, is not simply the very true message the book carries. In the hands of a lesser writer, this could come off as a platitude, a cliche, so overstated as to become meaningless.  Instead, Roth gives you a collection of dazzilingly complicated characters, beyond simple definition, only knowable through the words of themselves or others, but unknowable all the time.  <br />One reader complained of being frustrated with not knowing whether this was truly the story of the Swede, or a fiction of Zuckerman's mind.  And to that I say, that is the point.  We can't know the Swede except through the fiction we create in our own mind, our attempt at understanding that is always a little fiction, a little wrong.<br />One person accused Roth of overwriting.  no doubt, they had in mind the long passages detailing the making of gloves in dazzling overspun details.  To that I say, this is absoluetley necessary to the structure of the novel.  That these trivialities occupy so much of our time and our lives.  That superficiality and depth know no difference in the swamp of our mind or our estimation of people.  Swede, the man judged to be just a father and a business man, a normal people, a collection of surface details.  How could a responsible writer leave all of that out?<br />This book, engaging and complex, is what all great literature should be, a life in and of itself.  A character at once identifiable by it's traits, but unknowable except for what we believe in our own minds it to be.",2001-07-09
US,51878526,RB1826WLOEA2Q,0787115045,79852712,"American Pastoral",Books,4,8,8,N,N,"The prose is the thing.","The first three quarters of the book were good then the plot sort of fizzled out.  However, when reading a Roth novel, the characters and the plots are not always well developed.  But that's not the point.  Its his  prose that's worth the price of the book.  His language is so beautiful  that flaws in characters and plots are not nearly as important as the way  his words fill the page.  He has no equal in that regard.",1999-11-16
