marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
US,42715710,R14ZHO806ZJ4MU,B001KJS1JC,887884219,An American Tragedy,Books,5,1,1,N,Y,"Five Stars","Great book - excellent condition and if one has not read this...get busy and order it!",2015-01-06
US,46612392,R2N2MGP3B8W1LT,B0066HP2OU,433175,An American Tragedy,Books,5,0,0,N,Y,"Excellent read","I so enjoyed re-reading this masterpiece.  The book was one I started in high school but never finished.  Forty years later I read it cover to cover and enjoyed reading and rereading Dreiser's beautiful prose!!!!",2013-03-03
US,43573547,RX9ZPFC01Q2HT,B001EE9R82,887884219,An American Tragedy,Books,5,2,2,N,N,"Perhaps American literature's ultimate loser","As other commentators have noted, Dreiser's \\""An American Tragedy\\"" is a great American novel almost in spite of itself, as it is often overwritten and heavy-handed in its philosophizing. Yet it is perhaps unrivaled in its portrayal of the dark side of the \\""American Dream\\"", the whole idea of trying to \\""make it\\"", and how trying to achieve that dream destroys its central character, Clyde Griffiths, who is far from a grandiose or heroic character. Irving Howe notes as much in his excellent Afterword in this Signet Classic edition of the novel, where he writes that Clyde Griffiths \\""represents not our potential greatness but our collective smallness\\"". Howe also concisely points out Dreiser's considerable virtues as well as faults as a writer, the latter of which he captures in one phrase as \\""crushing the English language beneath a leaden embrace\\"". Yet for all Dreiser's flaws as a writer, this novel ultimately endures because of its portrait of that whole ideology of the \\""American Dream\\"", and is worth reading for that reason. For me, at least, what clinches the 5th star on this rating is Howe's essay.",2011-10-03
US,43573547,R1UJL3K6Z3CN3R,B0039M0FMO,887884219,An American Tragedy,Books,5,1,1,N,N,"Perhaps American literature's ultimate loser","As other commentators have noted, Dreiser's \\""An American Tragedy\\"" is a great American novel almost in spite of itself, as it is often overwritten and heavy-handed in its philosophizing.  Yet it is perhaps unrivaled in its portrayal of the dark side of the \\""American Dream\\"", the whole idea of trying to \\""make it\\"", and how trying to achieve that dream destroys its central character, Clyde Griffiths, who is far from a grandiose or heroic character.  Irving Howe notes as much in his excellent Afterword in this Signet Classic of the novel, where he writes that Clyde Griffiths \\""represents not our potential greatness but our collective smallness\\"".  Howe also concisely points out Dreiser's considerable virtues as well as faults as a writer, the latter of which he captures in one phrase as \\""crushing the English language beneath a leaden embrace\\"".  Yet for all Dreiser's flaws as a writer, this novel ultimately endures because of its portrait of that whole ideology of the \\""American Dream\\"", and is worth reading for that reason.  For me, at least, what clinches the 5th star on this rating is Howe's essay.",2011-09-30
US,51212418,R3KOQ0B4UYHQ47,B001PBGKU2,887884219,An American Tragedy,Books,4,5,6,N,N,"Review posted on The Literate Man [...] on July 19, 2010","Don't you all miss the days when it seemed that every great artist was an unabashed socialist? Ok, so maybe I don't actually remember those days at all, but I sometimes feel like I lived for brief periods in the dark worlds of corrupt American capitalism painted by Dreiser, Steinbeck, and even Hemingway (oh, heck, let's through Kerouac in there too), among many others. Don't you? I have this purely romanticized vision of the turn of the twentieth century and the years that followed as a battleground of ideologies when it seemed like a system that valued human relationships (as opposed to supply and demand) might actually raise the human race to another evolutionary level. Of course, the intervening years have largely proven that dream to be just that--a dream--devoid of any grounding in human nature. But I like to reminisce in any case. Ah, those were the (completely nonexistent) days ...    No one, and I mean no one, is better at painting a straightforward tale of the evil influences of American capitalism than Theodore Dreiser. He's like the Brothers Grimm of the American working classes or like the Dr. Suess of anti-capitalist ideology--except that the Cat in the Hat wears a bushy mustache and carries a hammer and sickle. Though 25 years separate them, Sister Carrie (1900) and An American Tragedy (1925) are almost mirror images of each other as they treat the effect of unbridled American ambition on first women and then men, who grow up in Darwinistic America devoid (individually or collectively) of any strong moral compass. The fact that Dreiser's novels continue to be relevant in the twenty-first century is a testament to his ability to find universal and enduring themes.     An American Tragedy was based upon well-publicized actual events in upstate New York in 1906. Here's the short, short version of the story: upwardly-mobile boy from a solid family takes advantage of country girl; aristocratic third-party female then expresses interest in boy; boy dumps country girl for a chance at the good life; but country girl is pregnant; boy thinks, \\""what to do ... I know ... murder,\\"" or is it? Maybe it was just an accident.  I will say that in the actual events, the boy was convicted of murder and executed by electric chair. But you'll have to read the book itself to find out what happens to his on-page persona, Clyde Griffiths.    This is one of a very few books that I have re-read over the course of my life. And usually I find that my understanding of the story has changed in the interim. Not so here. Dreiser is forever an idealist and an advocate for the redemptive power of empathy. Though his dream seems further away now than ever, it is still undeniably enjoyable to inhabit that world for a week or two. Give it a shot ...",2010-07-19
US,32993433,R2RYZAJYBDPB2O,B000EFIY18,887884219,An American Tragedy,Books,5,1,1,N,N,"American triumph","An American Tragedy I think the best American novel to date.   It's about poverty resulting in greed combined with the egotism and blindness of adolescence, finally leading to murder. Tragic and deeply touching. I call the book a triumph because it is immensely humane as it seeks the social causes of criminal behaviour and shows the absolute wrongness of the death penalty.  The book is beautifully written and it will keep the reader in its spell, even long afterwards.",2009-02-27
US,52712984,R286KCOY0X24J3,B0007367WA,887884219,An American Tragedy,Books,2,4,14,N,N,"Men in White","Compare this to The Bonfire of the Vanities, another attempt to illustrate twentieth century US society through the hubris and public humiliation of one man.  Do we want to spend the majority of the book on the formative years of the protagonist and his victim?  Wolfe wisely placed the crime just one hundred pages into his seven hundred page book.  Dreiser, by contrast, gives us five hundred pages of back story before starting the real drama, which focuses all the characters and institutions - - courts, politics, newspapers, business, church - - on Clyde Griffiths.  The characters are real enough, the societal critique valid enough, but, for large parts, the delivery is about as subtle and engaging as that of Clyde's street preacher parents.",2005-01-10
US,46042899,R1S2P1GIHTFKE7,0899667090,887884219,An American Tragedy,Books,4,10,13,N,N,"Pursuit of the American dream no matter the cost","Dreiser's epic novel is rare as classics go since it contains all the elements of a novel that my 12th grade English teacher said should be present - a well defined plot and a central theme moral.The only reason I did not rate the novel as 5 star is that it was at least 300 pages too long. Dreiser leaves little to the reader's imagination as he explains every detail with percision.<br />Clyde Griffiths is a young man with ambition who longs for a better life than that of his parents, who are street missionaries. First he flees his Kansas City home after getting into some minor trouble. By chance, Clyde meets his wealthy uncle by chance and secures a job in the family collar factory in New York State.<br />Clyde, thanks to the family name, is quickly brought into the social scene of his new hometown. He develops a relationship with a co-worker (Roberta) but as soon as a young lady of wealth and social status (Sondra)shows favor to him, Clyde looses interest in Roberta. The affair with Roberta produces a pregnancy and the situation spins out of Clyde's control. Eventually Clyde's self interests outweigh his sense of right and wrong, resulting in tragedy. <br />From the first few pages you get a sense that Clyde's ambitions  will eventually be his undoing. Drieser leaves very little to the reader's imagination as he weaves you through 800 pages of intricate detail. At the end Clyde comes to terms with his deeds and confesses his sins to both GOD and himself.",2001-03-18
US,49921951,R3IRYYQT04SW7S,0899667090,887884219,An American Tragedy,Books,5,2,5,N,N,"A true American masterpiece","I am a senior in high school and read this book as part of my Advanced Placement English class. Many of the books that are on our curriculum are &quot;the classics&quot; that everyone reads during high school. Although  they all have an important message and are worthwile to read, none of them  has touched me in the way this book has. It has had an effect on me the way  no movie, book, or other work has ever had on me. There were times that I  felt like I couldn't read any more, not because I was bored with it or  because it was difficult getting through the words, but instead it had made  such a tremendous impression on me that I could read no further although I  wanted to so much. I just need to take a second away from the book to think  about what had just happened. I was so into the novel that I lost my sense  of reality. I was in the novel. I felt the pain and happiness of the  character. I have felt things somewhat like this before but never near this  as strong as this. Theodore Dreiser has created a true work of art. I  honestly believe that he has created the most tragic story ever written. It  is not for anyone who is cold or insensitive, for if you don't truly feel  the pain of Clyde Griffiths and Roberta Alden, you can not feel the whole  effect of the book. Once again I strongly reccomend this book to anyone  with a heart they are willing to put through a little pain in order to  experience a feeling that cannot be found anywhere else",2000-03-09
US,52435565,R3SRX3UL6B0WE4,0899667090,887884219,An American Tragedy,Books,5,0,1,N,N,"An ageless treatment of the American classes","Theodore Dreiser is not a great linguist.  He sometimes structures his text awkwardly.  Although he can be excused by the dated language (the book was written in 1925), he tends toward excessive use of some words (e.g., I  think he uses the word &quot;gay&quot; about 567 times!).  At points within  the narrative, it slows to almost an excruciating crawl.  <br />Despite these  drawbacks, Dreiser succeeds in acquiring and sustaining one's attention  over a long book.  His character development is second to none and, in my  opinion, demonstrates significant growth since writing &quot;Sister  Carrie&quot;.  You'll find yourself first rooting for Clyde (after all,  he's the protagonist and at least in Book One, he is a sympathetic  character), then being shocked by him, then, finally, damning him (and  grieving over &quot;her&quot;, the truly tragic figure of the novel).  The  book left me shaking my head at the waste and, yes, tragedy of it all and  the role society played in it.<br />This book is a must read for any serious  student of American literature.  It combines the superlative character  development noted above with a keen understanding of the caste-system of  American society and the gulfs that separate the classes.  <br />After the  depth of drama preceding it, the simple &quot;Souvenir&quot; at the end is  powerful in its impact.  I agree with others that the Afterword by Irving  Howe is well worth reading and adds some wonderful context to the work.   <br />Finally, I'd recommend that, like a good film, the reader not enter into  the novel already knowing the ending....its length requires some dedication  and the experience is much more suspenseful and rewarding when one is open  to surprises.",2000-03-01
