marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
US,13656287,R1K90U7F9UNGDJ,0679737863,984713450,"Falconer",Books,5,0,1,N,Y,"Great book! Good condition","Great book!<br />Good condition!",2015-08-21
US,51754213,R14ZE3KLA8XMJF,0679737863,984713450,"Falconer",Books,2,2,3,N,Y,"Painful","Among gay literature, this is a rather painful attempt.  Cheever's other novels and especially his short stories for the New Yorker are so much better.  Tortured all his life by trying to repress being gay, I guess he just had to write this--all that unnecessary emotional pain.  Such a shame.",2015-06-14
US,42361916,R1PRBDX0XCVJXB,0679737863,984713450,"Falconer",Books,3,6,6,N,N,"John Cheever's Falconer seems to sacrifice a traditional narrative arc ...","John Cheever's Falconer seems to sacrifice a traditional narrative arc for an accurate portrayal of prison life. The story, though told in the third person, centers around Ezekial Farragut, a professor sentenced to prison for murdering his brother. Much of the novel follows Farragut's mundane life in prison and his recollections of his free life with his wife and other amorous liaisons. Until the final twenty pages, the major events of the novel take place outside of Falconer Prison which holds Farragut. His lover Jody escapes, accompanied by an unsettling perspective shift from Farragut to Jody on the outside, and a riot occurs at another prison, but is eventually suppressed without much effect on the inmates at Falconer. Descriptions of Farragut's brief homosexual relationship with Jody were likely provocative in 1975, but have lost much of their shock value in the face of other prison literature and growing social acceptance of non-heterosexual romances. Cheever's portrayal of everyday prison life may be true to life, but it does not make for compelling literature. I never managed to feel drawn into the story. Farragut never aroused my sympathy or scorn because the details of his crime are not revealed until the very end of the novel. His ridiculous letters to a judge and bishop requesting liberation are comical, but he never acts on his desire for freedom until the final pages. Unfortunately, these events came too late for me.",2015-05-04
US,36172516,R2DKKV9M0IVAUC,0679737863,984713450,"Falconer",Books,2,2,5,N,N,"Jesus Christ this book is prolix. Who EVER said ...","Jesus Christ this book is prolix.  Who EVER said this book is a masterpiece it out of his freeking mind.",2015-04-07
US,22981641,R3Q6QAYC3CX6GN,0679737863,984713450,"Falconer",Books,3,0,0,N,N,"Male angst in the '70s....","Even though this is obviously a masterful novel, elegantly written and often darkly humorous, it is not one that I really enjoyed reading. I believe that's because the central character and his angst are so foreign to my experience that I cannot empathize or sympathize with him or even understand the problems which shaped his life.<br /><br />Falconer is the prison where the central character, the drug-addicted Farragut, ends up after killing his brother (perhaps accidentally, perhaps not). The story follows him through the dehumanizing prison experience, with flashbacks to his former life as a university professor. Actually, very little of actual prison life is described and what is told is very mild in comparison to what one understands to be prison life today. As I perceive it, the prison is meant to be symbolic of America, with its hypocritical expectations of behavior and its soul-destroying atmosphere. The novel was written in 1975, and perhaps this is the way many white, upper-class, educated males felt back then, but it is not a mind set that I can really understand. For the record, I have never really understood Saul Bellow either. Maybe I am not perceptive enough or intelligent enough to feel angst.<br /><br />I expect many would appreciate this novel more than I did. It is certainly well written, though curiously devoid of emotional content.",2014-11-14
US,53066076,R1CIBE3JK4WS99,073661351X,984713450,"Falconer",Books,3,11,12,N,Y,"This Novel Hasn't Aged Well","I read Falconer when it was the literary bestseller of 1977.  John Cheever was at the height of his short-lived fame. It got some fabulous reviews then and my opinion of it at the time may have been colored by the publicity. However. It wasn't a book that stayed with me over the decades. Re-reading it in 2014, it is not much of a story. The characters, mostly the prisoners and guards at the fictional Falconer prison, are strong but are not really likeable. The gay sex behind bars may have shocked some readers in 1977 but it's not going to seem like a big deal to readers in 2014. No wonder Cheever isn't used much in whatever college literary courses survive. The plot is weak to the point of being feeble. The two escapes at the heart of the book are too fantastic to be believed. This is essentially a period piece that doesn't hold up very well.",2014-09-06
US,36145251,R85DHWMKJOXP6,0679737863,984713450,"Falconer",Books,4,0,1,N,Y,"Four Stars","Very sensitive story about people in crisis. Intense writing.",2014-08-05
US,23610994,R1N8IXEHHWLN0S,0679737863,984713450,"Falconer",Books,4,0,0,N,N,"Mild Prison Story","Ezekiel Farragut is in prison for the murder of his brother.  He is a drug addict and his wife is very unhappy with him in general and his incarceration in particular.<br /><br />Since he is stuck without any options, Farragut begins to make the best of his situation.  He makes tentative friendships with the other inmates and the guards, and settles into his life without freedom.<br /><br />Throughout the story, Farragut reflects back on his life before prison, his relationships to his family members, and the circumstances that brought him to this point.  He is mild-mannered in general and does not often get upset or angry, so this book is a rather unemotional and gentle story of a convict.<br /><br />I liked Farragut's musings about his life and the flashbacks that helped to explain his circumstances.  I liked the way the characters interacted with each other, and the brief love story between Farragut and another prisoner.  I would have liked to have seen more of Farragut's life outside of prison, and especially his son, who was briefly mentioned but never much of a character in this story.",2013-09-15
US,52566005,ROMSLHFCGEVB1,0679737863,984713450,"Falconer",Books,5,1,1,N,N,"Try a little tenderness","Funny and sad and realism never takes a vacation in \\""Falconer,\\"" John Cheever's best novel. You can knock off its 211 pages (Knopf hardback edition) in a weekend but you won't want to part with it so quickly. Re-reading it is a pleasure.<br /> Main character Ezekiel Farragut shouldn't be where he is (or so he thinks) and from there fulminates against the system, falls in love, escapes. \\""Falconer\\"" reminds us that people in prison are still people and just because the state is paying their upkeep in no way are their souls satisfied. Cheever chose not to be an overtly political writer (thank Heaven) but his framework applies to \\""free\\"" citizens of the welfare state as well as those behind actual iron bars.<br /> Cheever's writings have fallen out of fashion with today's reading public yet 35 years after its publication \\""Falconer\\"" should be taken back up to remind us that man does not live by bread alone.<br /> I have yet to hear, including in Blake Bailey's monumental biography \\""Cheever: A Life,\\"" what level of popularity \\""Falconer\\"" has among the prison population. I wouldn't make any book mandatory reading (that would turn most people off it for sure) but prisoners and others looking to mend brokenness should realize that life is both sad and joyful and we should be glad for both. Consider how Cheever ends the novel - \\""Rejoice, he thought, rejoice.\\""<br /> Until we can reach the level of rejoicing in everything we should follow the ascending road mapped by our author (p. 201) - \\""Farragut felt pursued but easily ahead of his pursuers. Cunning was needed; cunning he seemed to posses, that and tenderness.\\"" In other words, those wanting to become whole should try a little tenderness.",2012-10-14
US,27331930,R2QAZS1WF62923,0679737863,984713450,"Falconer",Books,4,1,2,N,N,"A Short Story Writer Imprisoned in the Novel","John Cheever ranks as one of the leading American writers of the later half of the 20th Century--but while his short stories are still recognized and read, his novels remain less popular though \\""Falconer\\"" is generally considered one of his finer works. This novel focuses on love and redemption through the story of a man imprisoned for murdering his brother. There are a number of themes that readers of Cheever will quickly recognize--homosexuality, love, siblings, married relationships but, unlike most of his stories which focus on the upper class in New England or the New York suburbs, this story deals with the darker side of America. Cheever taught writing in prisons and he is able to present a realistic take on a character being incarcerated. There are some memorable passages  and scenes. Still, there are problems. Cheever's take on an Attica type riot was unconvincing. While his main character is a drug addict, Cheever could have done more with that. Cheever also presents a fairly conventional--one is tempted to write hackneyed--ending. There are some fine moments here but there is not much of a plot to tie this novel together. While this may rank as his best novel, \\""Falconer\\"" shows that, whatever his gifts as a novelist and there certainly are some, Cheever remains first and foremost a master of the short story.",2012-09-04
