marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
US,46359554,R1BE3LTAU4C7HB,0140283382,468027632,Gravity's Rainbow,Books,5,0,1,N,Y,"My initiation of Pynchon","This book is so big it gets inside your brain and bends it out of proportion. But in a good way.",2014-05-16
US,13711157,R2DH3FD0BT5OX0,0140283382,468027632,Gravity's Rainbow,Books,5,0,3,N,Y,"Fast delivery, good quality","Fast delivery, good quality and good price. It was everything I was looking for, the product met all my expectations.",2014-04-15
US,50661960,R2ZKJB6966TCT9,0553147617,468027632,Gravity's Rainbow,Books,3,0,1,N,Y,"well-written but...","I couldn't bring myself to continue past page 250 or so.<br />WhiIe admiring Pynchon's ideas and technique I did not feel the total experience to be worth the effort.",2013-12-19
US,39238379,RBUJG1WWRSTVK,0553246844,468027632,Gravity's Rainbow,Books,5,1,2,N,Y,"Surreal and before its time","Before people had hit series depicting people with super morphic powers and mutants - Gravity's Rainbow took a very realistic approach at the application and nuances of Britain using the occult and strange for their grand ultimate plan.  This is a difficult but ultimately rewarding read.",2013-10-23
US,40230072,R1EB7889AG86AX,0140283382,468027632,Gravity's Rainbow,Books,5,2,8,N,Y,"Quick delivery, good service","The book arrived promptly and in the condition it was promised to be in.  Very nice.",2010-07-22
US,52405370,R2L8B03623HPRQ,0140283382,468027632,Gravity's Rainbow,Books,5,13,13,N,N,"Relax, just keep reading","I've read Gravity's Rainbow four times, and I enjoy it more each time.  I don't read it as a chore or because I'm supposed to admire it.  I read it because it is so much fun.    Most of the people who have trouble reading this book are trying to read it the way your English teacher taught you to read \\""serious literature\\"".  Ignore that.  Pynchon is deliberately trying to subvert that kind of reading.  Rather think of Susan Sontag's \\""Style is content\\"" and think of an amusement park ride.  Begin at page one and hold on.  Don't worry about what you don't understand.  The important points are made quite clearly and repeatedly.  Just enjoy the ride and marvel at the world he shows us.  The writing ranges from sublimely \\""writerly\\"", worthy of use in any creative writing workshop, to boldly preposterous, sometimes downright silly.  But it is always imteresting, always fun.    Pynchon's themes are consistent.  How we came to this modern world where immensely powerful forces, governmental and corporate, rule our world.  Gravity's Rainbow, more than any of his other books, is fundamentally about the creation of our modern world.  Corporations more powerful, more enduring than mere governments.  The rooftops of Shell Oil in Holland being used to aim rockets at London, site of Shell Oil's English headquarters.  Unlike other posters here, I love the early chapters set in the London of the Blitz.  The writing is superb, the over-arching themes clearer.    Once we are set loose in the \\""Zone\\"", the novel diffuses, wandering wildly, but the crushing weight of the multi-national forces is a constant.  Until the smothering, unavoidable power of the real forces that define the modern world simply subsume the plot, extinquishing all other possibilities.    This is truly an exciting book to read, but not if you insist on highlighting and footnoting.  Instead focus on rhythms and recurrence, brilliant insights and mad riffs.    In short, experience it more like music.  Honest, its worth it.",2009-09-07
US,52776225,RK27ZTJII4FNR,0553102710,468027632,Gravity's Rainbow,Books,5,0,0,N,N,"American Life Defined","GR shows what a modern novel can do for the reader who wants a transcendent experience. This is certainly not for everyone, but no project can make such a claim. The characters are familiar and complex, and the situations reach incredible lengths of both humor and tragedy.",2009-07-12
US,49547464,R3O1WWJYCUIIV1,0140283382,468027632,Gravity's Rainbow,Books,3,3,3,N,N,"GR","I kept telling myself while reading GR that I would read it again some day.  Upon finishing it I feel that I probably won't ever bother.  It's a whole lot of things, about a whole lot of things.  It's beautiful, sad, and gross.  It's a geopolitical conspiracy tale, the outlandish roadtrip of a sexual deviant, and the bite of S sandwhich we as the little people eat every day.  There is no doubt that the author is some kind of genius.  This book is dense and overflowing with the evidence of that fact.  In the end it just didn't interest me that much.  I have no feelings for any of the characters, other than repugnance.  It's not as if I was just aghast page after page by Slothrup's antics, including sex with a 12 year old girl, but instead I suppose I became jaded and weary of the barrage.  I'm reminded of listening to a comedian from the '60s, dropping the N word and F bombs a mile a minute.  How funny is that nowdays, how shocking is it?  This is how I feel about the sexual content in GR.  Outlandish, perverse, yes, but it loses it's bite quickly.  Frankly, I feel that way about many aspects of the novel.  Like anyone else I'll mark a page when I come across a beautiful passage or something that really sticks with me.  I did that once in GR....the goodbye scene between Slothrup and Katje.  Nothing else in this book really grabbed me.  I don't consider the time invested as wasted, yet nor do I consider myself enriched or better off for the experience.",2009-03-09
US,52241713,R1985A15FJE71X,0140283382,468027632,Gravity's Rainbow,Books,2,4,13,N,N,"Mostly garbage","I think reviewing this novel would be more difficult than reading it was, so I'm not going to bother.  Here's my bottom line opinion: It is evident from the novel that Pynchon is unquestionably a smart man and more knowledgable about most things than I could ever hope to be, but Gravity's Rainbow is on the whole pretty bad.    If extracted, the mediocre main plot would occupy all of perhaps 200 pages.  It might have been somewhat interesting standing on its own.  But the other 650+ (!!!) pages of non value adding digression utterly ruins this novel.  Occasionally humorous but mostly a tiresome chore to get through.  I'm not even sure how I did it.  I read it during lunch hour perhaps twice a week, over a period of maybe five or six months.  Never got engrossed and only enjoyed what I was reading maybe 5%-10% of the time.  But I persevered for two reasons:    1. I'd heard it was the most difficult fiction novel ever and challenging to finish.  I wanted to see if I could do it.    2. I'd hoped the plot would improve further in as Slothrop neared his goal.    Ok, so I finished it but was the time spent worth it?  Absolutely not, without question.  And no, the plot doesn't really improve towards the end.    Don't bother.",2008-09-08
US,15269980,R3FZ7Q3Z99E2IK,0140283382,468027632,Gravity's Rainbow,Books,1,14,35,N,N,"I want those hours of my life back...","This book was a thoroughly juvenile jumble totally lacking in cohesiveness, or -- if you are desperately (and pretentiously) trying to impress someone that you know deep down inside is smarter than you -- it is edgy and groundbreaking (profound and accomplished, if you write reviews for the National Review).     The prose was dense and stumbling. And \\""dense and stumbling\\"" does not translate into \\""my mental genius was only able to attain the mystical Pynchon epiphany after purchasing an annotated guide\\"" -- it means that the writing was clumsy, halting, poorly structured, and a royal pain.     \\""Dense\\"" seems to come up as a compliment in many of the reviews here -- as some sort of self-congratulatory pat on the back for the fact that the reviewer is discerning enough (and lonely enough) to read this book cover to cover multiple times. Oddly enough, I think that \\""inability to express oneself clearly in writing\\"" is not an overwhelming reference for an author.     The schizophrenic non-linear method of laying the story out is not clever and was not by any means new or groundbreaking when this book came out -- it had been done before, and it had been done well. It was done badly here. In this case, the literary gimmick seemed like an attempt to cover for a shoddy story.     An overwhelming fascination with genitalia does not make a book \\""edgy\\"". A good fistful of drug references do not make a book \\""transcendent\\"". If you are unable to derive intense meaning from the randomly strung-together thoughts (being generous here) don't think of it as a personal failing, you've just not been properly hoodwinked into rejecting a belief that good literature ought to be well-written and meaningful.     If you do choose to make the effort to attain the Gravity Rainbow epiphany, you will no doubt be thoroughly rewarded since you could read anything into this load of garbage that you might desire. I fail to see how your time couldn't be better spent reading a good book.     Next time I wantto hear a string of profanity-laced nonsense, I'll just tape record a group of intoxicated adolescents.     Kudos to the reviewer who referenced Joyce -- an appropriate shout-out to the trailblazing author who pioneered the technique of using general incoherency to give the finger to pretentious English majors everywhere.",2008-08-03
