marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
US,49109436,R374IRHG1UPXUH,B001GKRQ8M,303427184,Herzog,Books,2,3,8,N,Y,"Two Stars","Unreadable",2015-02-09
US,34503935,R2LZ3BVESI6IZT,B000NYD39S,303427184,Herzog,Books,3,0,0,N,Y,"Herzog","the book smelled musty but was a hardcopy.  It is from 1963, so I guess that is to be expected.  the shipping price was fair.",2014-01-01
US,45407544,R1G7T0Q5WG2QIY,0670369128,303427184,Herzog,Books,5,0,0,N,Y,"bellow!","Great condition, great book.. Saul Bellow is one of the very greatest, of course, and I was excited to get this.",2013-03-30
US,53091015,R1HTWMFW4UWH3J,0786173041,303427184,Herzog,Books,1,0,2,N,N,"Better narrations available","This is a long book, so you if you are planning to listen to an audio version, you will want a narration that is easy on the ears.  Wolfram Kandinsky uses a harsh, grating monotone.  It's a strange artistic decision, if it was intentional.  There is no way I could get through 18 hours of it -- or even a couple of hours.  It's interesting that the Audible version available here uses a different narrator, Malcolm Hillgartner.  I haven't purchased it yet but the sample is promising and I think I would recommend that route instead.  Try the preview here: [[ASIN:B002ZJ1V8O Herzog]]",2012-08-16
US,23126283,R3NKTPMSBQ2NAC,B003IY7NLO,303427184,Herzog,Books,3,1,1,N,N,"Interesting but well trodden territory","This is only the second Saul Bellow book I have read- the first being the excellent \\""Henderson the Rain King\\""- and while unfamiliar with the rest of his canon, Saul Bellow's \\""Herzog\\"" falls squarely in the camp of literature that I would call Philip Roth land.  \\""Herzog\\"" is the story of a middle aged Jewish man, twice divorced, relatively estranged from his two children, scholarly yet dissatisfied with the scholarly world, and enduring a mid-life crisis that finds him writing letters compulsively, letters to friends, ex-lovers, politicians, philosophers, historical figures, anyone and everyone.<br />  The story starts as Herzog starts to pick up the pieces of his life after his second divorce, a bitter, unpleasant one that he did not want, but was inevitable thanks to his superficial, mean-spirited second wife.  Bellow fills in the story through the conceit of Herzog's letter writing; thus, while the details of Herzog's past life are eventually given, not much really happens in the book as the reader merely treads water as we catch up on the past.  It is not until more than three-quarters through the book that Herzog takes action and stuff starts to actually happen- a new love, one last attempt to get even with his ex-wife, a spur of the moment decision to act drastically and be active and not merely passive- and even though this provides a much needed burst of energy, the way it all pans out is kind of a let down.<br />  In Bellow's \\""Henderson the Rain King\\"", the author deals with one man's mid-life crisis by sending that man to the interior of Africa and letting him fend for himself far from the security of modern day America, i.e. an interesting take on a common theme.  In \\""Herzog\\"", Bellow drags us through this mid-life crisis day by day, and while the writing is good and Herzog, the character, can be quite funny at times, the overall effect is rather underwhelming.<br />  A good book but in now way a must read.",2012-06-14
US,46396923,RKA4LCU4FQRQL,1441711899,303427184,Herzog,Books,5,1,2,N,N,"Optimistic mood framed by despair","SAUL BELLOW has earned the Nobel prize for literature really for the precision of his language - and for the optimistic tonic to which he is able to return always again amusingly - in spite of all sporadically desperation:<br /><br />\\""Simkin sat in his office under endless rows of juridical books in a big armchair. The person is born to become an orphan and to leave orphans, but an armchair like this armchair is a big consolation if one can afford him.\\""<br /><br />This quotation from the novel \\""HERZOG\\"" has been remembered to me more than 40 years - and, among the rest, has led of course to the fact, that I have procured a nice comfortable ear armchair in the Oxford style for myself. The small passage at the beginning of the novel already rescues in itself the whole message: Not totally despair as it is in vogue in certain intellectual layers over and over again, but enjoy that there are in the life also over and over again small things which give consolation, courage and even joy.<br /><br />In this case the erotic situations - count to it RAMONA (from Buenos Aires; \\""she went with quick firmness and clattered with the sales in vigorous, Castilian kind. She entered a space challenging, with light swaggering\\"" ...) - and the smaller joys of the everyday life: child poems, music, the visit of a fish business: all this is only because by this method of story telling all those positive childhood-recollections come to life again with all the smells and noises :<br /><br />\\""My mother has spoiled me certainly. Once, at night she has moved me on a sledge about crusty ice and the small glitter of the snow. Near the old grocery we met an old Baba who said: \\""WHY DO YOU PULL HIM, DAUGHTER?\\"" Mummy, dark rings under the eyes. She breathed hardly. She carried the sharpened lake dog coat. Dry fish hung bundle-wise in the store, a rancid sugar smell, cheese, soap ... \\""",2011-04-14
US,52884931,R866CFY4XVMHT,B003IY7NLO,303427184,Herzog,Books,5,3,3,N,N,"The mind is a curious place","Saul Below's Herzog is a character who is his own worst enemy.  He spends much of his time writing angry letters to people, both dead and alive, such as then ex-President Eisenhower and the late philosopher Nietzsche.  Letters to ex-wives and current girl friends, to former doctors and lawyers, and authors to whom he strongly disagrees.  Part of his problem is his brain; it won't slow down.  Another part is his restlessness.  He has no home base, but moves from dilapidated house to infested apartment, to flop house hotel, etc.  He needs to settle down.  He also does a lot of stupid things, like carrying a loaded gun around Chicago for several days.  Or, does he plan on using it? He's loved by his siblings and his children who are now in the custody of their mothers, hated by the above-mentioned ex-wives, tolerated by many others.  His life is in such turmoil that he can't keep a job and has stopped looking for one, even though he is an acclaimed college professor and has been offered a great editing position.  Instead, he remains broke and dependant on the largesse of his wealthy older brother.  His is a mind and soul to be studied and Bellow rises to the task.  There are moments of darkness, of pathos, of bewilderment, offset by passion, compassion and humor.  You will not soon forget the man named Moses Herzog.",2011-03-07
US,52790575,R35DISPYB8Q6R3,B00C3NSRWU,303427184,Herzog,Digital_Ebook_Purchase,5,0,0,N,N,"Brilliant self-analysis of intellect and ego.","Brilliant language generally not available among today's authors.",2015-07-13
US,20504977,R1P2GM4ZV8RTQU,B00C3NSRWU,303427184,Herzog,Digital_Ebook_Purchase,5,0,0,N,Y,"This book is as intellectually stimulating as anything I have ...","This book is as intellectually stimulating as anything I have ever read.<br /><br />The book is at times overwhelming, but Herzog is rightly regarded as a classic.<br /><br />Once again we find that our hero's smarts keep him from success.",2014-08-17
US,34719032,R20WDU89ZMM402,B00C3NSRWU,303427184,Herzog,Digital_Ebook_Purchase,5,0,0,N,N,"Herzog is aging wonderfully.","It would be presumptuous of me to write a review of Herzog.  It is an American classic, one of the literary gems of the Twentieth Century.  I read it in college forty-something years ago, when my paucity of life experience limited my ability to appreciate much of its poignancy and nuance.  On this re-read it is so much more vibrant and personal.  Herzog is aging wonderfully.",2014-08-14
