marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
US,49612939,R24WMUF21IG80O,0316066524,669738240,"Infinite Jest",Books,3,1,3,N,N,"it reads like a very long homework assignment in graduate postmodern fiction","To me, this book has two main problems: One, it reads like a very long homework assignment in graduate postmodern fiction. I have read Borges and Sorrentino and Nabakov and Derrida and have seen lots of play with footnotes. Two, and this is more difficult case to make, but David Foster Wallace was extremely sophisticated in his thinking, but he was fundamentally wrong about life. He was a guy at tragic odds with himself. In a way, he explored all the possible answers ... there is a mania to this novel as he looks again and again for answers, trying to figure out where it goes, where life leads. He hits on the right answers and then just keeps going and moves on. He can't resolve anything. And he's screaming for truth, but has trouble finding how that can be done. Harold Bloom said Wallace couldn't write and couldn't think.Sadly, I agree. The social point Wallace is trying to make can be found in Smells Like Teen Spirit and Neil Postman's Amusing Ourselves to Death. The commodity world is a well-known trope, though Wallace takes it a step further with the naming of years. His straight-out grabbing of other people's stories from AA -- well, you can hear those stories in AA. The drug stuff from Merck manuals. As I said, it's a homework assignment. Lots and lots of work went into it. Definitely, A-plus as a homework assignment. But as a novel, I believe it's fundamentally wrong-headed. The &#34;entertainment&#34; ending, oh, who cares? I will give it three stars for generating interest and discussion. You want real world -- you can find more gut-level truth in a single Jimmy Breslin column. Wallace was fundamentally a religious writer who was an agnostic/atheist, and could never reconcile the two. My two cents.",2015-08-29
US,25948354,R1SN2CPFLLO2CP,0316066524,669738240,"Infinite Jest",Books,5,2,3,N,Y,"Tasty","dat IJ most of you are gonna buy this to sit on your shelf and b*tch silently at you for being a massive wimp, nahhh trick that's misguided, you gotta dive into the belly of this whale you knowwhatmsayn. get all gross and covered in it for a month or so. if you get past page 250 you'll be addicted enough to finish it, probably..........",2015-08-28
US,20710731,R3BZRT5PWD3W6E,0316066524,669738240,"Infinite Jest",Books,1,3,13,N,N,"If this is the best of his generation, then it is generation that cannot generate excellent literature.","I confess---I have had my copy on a shelf for almost 20 years and have started it, at least, 20 times.  This time I got halfway through it (it took me almost 4 months) and found that the only jest was the one played on me.  It is, without a doubt, the most frustrating novel I have ever read.  Worse, its conceit and mise-en-scene, so to speak, is too Pynchonesque to feel original and its language, on the whole, is too stressed to feel comfortable or even look comfortable on the page.  It is not especially funny, its similes and metaphors do, occasionally, work quite well.  But, the book is boring to the point of distraction....real distraction.  Any distraction---just picking up loose fur off of my dogs was a richer experience than reading the book.  Had I not been able to do both simultaneously, I would never have gotten as far as I did.    I don't recall that he referred to himself as the greatest writer of his generation.  Others have done that.  If they are right, then his generation is more manure than grass and more bulls*** than poetry.    There is good news--I now consider it a virtue to have surrendered all attempts at getting through \\""Infinite Jest\\""----",2015-08-19
US,42398245,R1WXXJ4S196WHX,0316066524,669738240,"Infinite Jest",Books,5,1,2,N,N,"How to Assimilate Details...","without letting them weigh you down is what you will be forced to learn here.  If you might become annoyed or overwhelmed with the 1,000+ pages of three simultaneous stories in a strange near future timeline, I highly recommend the audiobook version first.  You quickly give up any habit of backtracking to remember previous observations and just let them accumulate into general conclusions.  On second reading, it might overtake Aldous Huxley's 1928 &#34;Point Counterpoint&#34; as my favorite novel.  Whereas Huxley's characters overlap mostly to demystify an upper crest who largely kept up appearances, Wallace's overlap to reveal some more lowbrow addictions and compulsions.  There are at least a dozen times you might set the book down from laughing so hard.  Wallace definitely has a twisted sense of humor yet warmth and empathy about even the most minor characters.  Somehow their struggles and tragedies never depress you.",2015-08-17
US,34124240,R1HBJCXAHBFC3,0316066524,669738240,"Infinite Jest",Books,5,0,0,N,Y,"Five Stars","Clearly one of the most significant books in my lifetime.",2015-08-12
US,12499522,R2Q8Q7JP2PC0MI,0316066524,669738240,"Infinite Jest",Books,5,3,3,N,N,"The Highest of Regards","Infinite Jest is the best book I've ever read. It's really funny, incredibly sad, and overflowing with loveable characters. It's a &#34;fractured&#34; novel, but the stories contained are irresistible and the prose phenomenal.<br /><br />The prose: nobody wrote like Foster Wallace. His sentences curving, erudite, hilarious, valley-girlish (like), and precise. Each sentence is constructed with wit and insight.<br /><br />Foster Wallace: you just want to hug the guy as you're reading it, and learning of his suicide, your heart writhes and you search for the nearest glass of water. This guy was a thinker, yeah. But foremost, he's completely open, tender, and warm.<br /><br />The highest of regards: if you're even slightly interested, watch &#34;This is Water,&#34; and then order the book. It's big. 1,100 pages. Yes. But you'll be sorry it's not longer when you finish.",2015-08-02
US,32898087,RGPSI2RIERWK7,0316066524,669738240,"Infinite Jest",Books,1,13,25,N,Y,"Not funny. Infinitely boring. Good for Insomnia. But you might like it if you're male.","I just couldn't read it. Tried. Genuinely, twice. Couldn't get past page 333. Starts interesting, but ultimately comes across as page after page of a self-involved, narcissistic addict—the guy at the AA meeting who goes on and on and on about the minutia of his inner life, and frankly, never says anything interesting. Maybe it's just that it's a man's book.",2015-08-01
US,19637181,R33T9C82AAVH5B,0316066524,669738240,"Infinite Jest",Books,5,1,2,N,Y,"This is a terrific book. Extremely intricate and witty","This is a terrific book. Extremely intricate and witty. However, it's also a beast of a book. There's a lot to keep track of and you have to wade through the first 200 pages or so until you really get into it. Well worth it, though!",2015-07-31
US,22077054,R89SOMIP6Z9DW,0316066524,669738240,"Infinite Jest",Books,5,0,1,N,Y,"Five Stars","Good book, though it could have used some critical editing.",2015-07-25
US,15245517,R25DKG92JRW35R,0316066524,669738240,"Infinite Jest",Books,4,0,2,N,Y,"Four Stars","Much like Catcher in the Rye, I wish that I had read the book at a younger age.",2015-07-17
