marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
US,4127211,R2RATZFWWDBXHT,0679723161,636015448,Lolita,Books,4,0,0,N,Y,"Memorable, to say the least","Highly controversial, but worth a read if you are a fan of books that challenge norms/morals.",2015-08-31
US,9539194,R3E7T5J8DXGC3P,0679723161,636015448,Lolita,Books,5,4,5,N,Y,"Creepy in the best ways","There isn't much i can say that hasn't already been said. Unique and unlike anything i have ever read, i had chills the entire time. not the good kind either but the kind where i was uncomfortable thinking &#34;wow this is so good, he is such a good writer&#34; then i thought, &#34; i am so sick, he is talking about a kid.&#34; to me, that right there is genius. the writer had me thinking all sorts of things about myself! Literature? absofrickenloutely.",2015-08-30
US,4306296,R2UD4CBOWXXEFM,0679723161,636015448,Lolita,Books,5,0,0,N,Y,"Five Stars","Incredibly beautiful writing, a true classic.",2015-08-25
US,1018651,R2B3P5TM9000JN,0679723161,636015448,Lolita,Books,5,0,1,N,Y,"Thanks for the ideas, actually no.","Last book I read before heading off to prison for statutory. Wrong tense, I'm going to prison in a bit. Great book altogether.",2015-08-21
US,5428952,R18FKDYXUL5BHZ,0679723161,636015448,Lolita,Books,1,2,9,N,N,"are we supposed to sympathise with Humbert or what??","Well written with beautiful prose but vile and trashy at the same time. Are we supposed to sympathise with Humbert Humbert or what? I find his character almost sociopathic.  He is manipulative and disgusting.",2015-08-10
US,3195632,RFC7RGMOJBS7Y,0679723161,636015448,Lolita,Books,4,0,0,N,Y,"... a little slow paced but other than that I loved it. I heard about the controversy surrounding the ...","The novel is a little slow paced but other than that I loved it. I heard about the controversy surrounding the book and movie (also good) so I wanted to experience both. It offers some twists but it may make you feel uncomfortable because of the characters age gap and what is going on between them. I loved the nickname for Dolores so much I may name my first pet after her.",2015-08-05
US,30507198,R65AQSLTLI9MX,0679723161,636015448,Lolita,Books,5,0,0,N,N,"The Only Truly Compelling ""Love"" Story About Rape Culture in the 20th Century","I read this to be rebellious at sixteen and ended up feeling scandalized, but I read it at again a few months shy of twenty, after some ne'er do well would-be intellectual recommended it and subsequently broke my heart, and it was just what the doctor ordered.  My first grown-up book.",2015-08-03
US,50762809,R39LFOZBUF8IPC,0679723161,636015448,Lolita,Books,3,0,0,N,N,"A study in Obsession (with a capital ""O""!)","In the author's notes at the end of the novel itself, Vladimir Nabokov claims that Lolita &#34;does not mean anything&#34;.  What he means is that there is no overt subtext, no brilliant deep thoughts, no sublimation of hidden desires deliberately put into the story.  The story is simply what it is.  This is what Nabokov himself claims, and I am not in a position to dispute his own analysis.  I am inclined to agree - but that is not a criticism.  In fact, I quite admire the author's purity in his storytelling - he very much creates a situation and his characters and then sets them free to act as they naturally would.  Similarly, written in the 1st-person, he does an admirable job of distorting all his secondary characters through the lens of the main character's prejudices and world-view.  It is a self-contained unit and it tells the story it means to tell, and that is all.<br /><br />Of course, such an analysis does not include any mention of what the story is about, or if it is worth telling.  Certainly the subject matter is troublesome.  Although never called that (perhaps the term is more modern), the main character is a pedophile, of a very specific type: he likes thin and precocious prepubescent girls.  He calls them &#34;nymphets&#34;.  The character (although, I think, not the author) tries to rationalize this through a pseudo-Freudian analysis of a frustrated liaison with a young girl when he himself was a young boy.  When young Delores Haze, nicknamed Lolita, falls under his care as the daughter of his recently-deceased wife, Humbert Humbert finds an initially willing accomplice to his pedophilia.  Yes, dear reader, Lolita in fact initiates their first sexual encounter and then enters into a sexual relationship with her movie-star-good-looking, literature-professorial, tennis-playing step-father.  Humbert knows that he will lose interest in Lolita as she grows into womanhood and out of her nymphet stage, so he intends to get all the gratification that he can as soon as he can.  The pair then journey on two cross-country driving trips and in between live a furtive existence in a small boarding-school town, as Humbert Humbert satisfies his urges through bribery, threat, rape, and pity.<br /><br />This description makes the book sound like a sordid pulp sexploitation story.  It is not.  In fact, the book is only incidentally about sex, and certainly is not about love (no matter that it is marketed as such).  It is about an obsession, specifically one that is not socially acceptable.  Humbert's quest for satisfaction at the hands of Lolita is his obsession, and he cares for nothing else.  TO be clear - Humbert does not love Lolita.  He thinks he does, but what he loves, in fact, is his own satisfaction.  He is a profoundly selfish character, as I suppose all monomaniacs are, and as the book is written in the first person, his is the only character that is well-developed.  Thus, Nabokov's prose must serve to immerse us in the obsession, which will be unnerving for readers since the character is necessarily glorifying the sexual objectification of a young girl.  It also makes the main character inherently unlikeable (at least, I didn't like him).<br /><br />Does this make the book itself unlikeable?  Perhaps.  It is certainly well-written and &#34;literary&#34; (sending me to the dictionary as often as a Shakespeare play!).  As mentioned above, the book follows a logical and devastating path, but it never cheats and the ending has a kind of weird satisfaction that comes from a well-scripted character study, even if (as you know from the very beginning) the main character ends up in jail and impossibly distant from any method of satisfying his obsession.  It is inevitable that Humbert end in jail.  It is inevitable that the reader will not sympathize with his plight.  It will depend on the individual reader whether they think that the journey (of reading the book) was a worthwhile use of their time.",2015-07-28
US,1376066,R1DS9AWXEU13XV,0679723161,636015448,Lolita,Books,5,1,1,N,Y,"I am uncomfortable, but I love it","I never thought I would enjoy occupying the headspace of a pedophile so much. Nabokov's wordplay is like swimming in chocolate, wrapping up in a giant down comforter, skating on gilded ice in a strip club. He fulfills my primitive, hedonistic desire for good words and good food.<br /><br />I think I thought more eloquently after I read Lolita.",2015-07-26
US,1191329,R2CBU36GCBM9FK,0679723161,636015448,Lolita,Books,5,0,0,N,N,"Five Stars","One of the most beautifully written novels I've come across.",2015-07-18
