marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
US,11075097,R233FP5XT8I00W,0140186301,283114178,Lucky Jim,Books,2,2,3,N,Y,"Flat and depressing","I didn't find this book to be funny at all. I mostly thought everyone was a horrible human being and I couldn't sympathize with anyone but maybe Jim.",2014-11-30
US,36348634,RWNHBRUBX7A8K,0142180149,283114178,Lucky Jim,Books,5,2,2,N,N,"One of the best English comic novels of the 20th century","The 1950s saw the birth of a new genre in English literature, the campus novel. There had been earlier novels about university life, but these generally concentrated on the students more than the lecturers, and often, as in Evelyn Waugh's \\""Brideshead Revisited\\"", the hero's university career only formed part of the book, being dealt with as a part of his overall life story. C. P. Snow's \\""The Masters\\"" from 1951, set in a fictitious Cambridge college and dealing with the lives of the college's academic staff, is sometimes regarded as the first British \\""campus novel\\"" and \\""Lucky Jim\\"" from three years later as the second.<br /><br />Jim Dixon is a junior lecturer at an unnamed provincial university, possibly based upon the University of Leicester where Kingsley Amis's close friend Philip Larkin had once worked. (The hero's surname may have been suggested by the fact that Larkin's address in Leicester was in Dixon Drive). Amis took his title from an old song- \\""Oh, lucky Jim, How I envy him...\\""- but as the novel opens Jim does not seem to be particularly lucky or enviable. Indeed, his life can be summed up in the words of the theme-song from \\""Friends\\"":-<br /><br />\\""Your job's a joke, you're broke, your love life's D.O.A.\\""<br /><br />He hates his job, his subject (mediaeval history) and his boss, Professor Welch. He is perpetually short of cash and forced to live in a seedy lodging-house. His relationship with his girlfriend Margaret appears to be going nowhere and, while he has set his cap at an attractive blonde named Christine, that relationship also appears to be doomed as she is the girlfriend of Welch's artist son Bertrand.<br /><br />Jim is in many ways a flawed character. For one who hops to make a living by teaching history, he displays a surprising lack of enthusiasm for his subject. He drinks too much, often treats Margaret badly and can be rude and tactless. He devotes a lot of energy to pursuing feuds against those who annoy him and can be oddly childish, as when he scribbles on a magazine belonging to a colleague. And yet he is the novel's hero. Although this is a third-person narrative, everything is seen through Jim's eyes and Amis clearly intended us to sympathise with him. Remarkably, Amis largely succeeds in this aim.<br /><br />One could say that Jim is lucky in his enemies. If he is flawed, those surrounding him are often much more deeply so. Welch is absent-minded, evasive, pedantic and a pretentious culture-vulture who finds it difficult to get on with people. Margaret is neurotic, hysterical and manipulative. Evan Johns (he of the defaced magazine) is treacherous and back-stabbing. Worst of all is Bertrand, portrayed as dishonest, pompous, self-important, snobbish, a bully and a womaniser who cheats on Christine with a married woman. Bertrand's ideological attitudes are an odd combination, probably very rare in real life, of the values of the Bloomsbury Group with those of the Monday Club, but Amis was using him to satirise an omnium gatherum of opinions, including pacifism, artistic bohemianism and right-wing Toryism, which he regarded as objectionable or ridiculous. (At the time of writing \\""Lucky Jim\\"", Amis was still politically on the left, although in later years he would move to the right).<br /><br />Amis was often grouped with the likes of John Osborne, John Braine and Alan Sillitoe as an \\""Angry Young Man\\"", one of a group of young writers who emerged in the 1950s. Although the \\""Angries\\"" never identified themselves as a movement, and certainly never had anything like a formal membership or a manifesto, they did share certain characteristics, notably a dissatisfaction with the existing social order, particularly the class structure of fifties Britain. Their heroes were often rebellious young working-class men, and this is true of \\""Lucky Jim\\"". Jim is from a working-class background in Northern England, something which sets him apart from the more bourgeois Welch family and may explain their mutual antipathy.<br /><br />Some one of the \\""Angry Young Men\\"" railed against virtually all aspects of their society, but from Amis's point of view the early fifties were not such a bad period in which to be alive- certainly not when compared to earlier periods in history. One of the targets of his satire is the tendency to retreat into nostalgia for some idealised past, something of which Professor Welch, with his romantic fantasies of some pre-modern pre-industrial England, is particularly guilty. He pushes Jim, much against his wishes, into giving a public lecture on the subject of \\""Merrie England\\"" and is not amused when Jim, under the influence of alcohol, uses the opportunity to subvert everything Welch believes in. Amis was himself a university lecturer (teaching English at the University of Swansea) and another of his target is the academic life itself. To an outsider, universities and colleges may seem like tranquil seats of learning, but Amis, shows them to be as riven with feuds and jealousies as any other institution and suffused with a hypocrisy and pretentiousness which Jim instinctively finds unacceptable. (These themes were to be taken up by later campus novelists, such as Malcolm Bradbury in \\""The History Man\\"").<br /><br />Some of the criticisms of the novel expressed on these pages seem rather wide of the mark, such as the allegation that it is too socially narrow in its scope. It was never Amis's intention to imitate the likes of Dickens or George Eliot by writing a sweeping \\""condition of England\\"" novel taking in all social classes. One might expect the characters in a novel set on a university campus to be drawn from a fairly narrow social range, although as I point out above the politics of social class do play a part in \\""Lucky Jim\\"".<br /><br />Amis has also been criticised for a \\""lack of ambition\\"", for failing to tackle all the great questions of the Meaning of Life. This criticism ignores the fact that one can illuminate the human condition just as effectively though the medium of a comic novel set in an English provincial university as through a grand panoramic novel about life, the Universe and everything. And \\""Lucky Jim\\"" is a brilliantly comic novel with some wonderfully humorous passages. I particularly enjoyed Amis's satirical barbs aimed at some of his characters, especially the insufferable Bertrand, and the accounts of Jim's drunken lecture and of Professor Welch disastrous musical weekend, in the course of which Jim manages to set fire to his bed. It well deserves the reputation it has won as one the best English comic novels of the 20th century. Although it was Amis's first novel, and although he was to write many others over the next forty years, it probably remains his best-known work.",2012-10-05
US,52975306,R871GBDBGPZXT,B001VCC6ZS,283114178,Lucky Jim,Books,5,2,2,N,N,"The collegial academic life, in Britain, in the `50's...","...well, maybe the last two, but as others, notably Mary McCarthy, in [[ASIN:1412812623 The Groves of Academe]] have depicted, there seems to be nothing collegial about professional lives purportedly dedicated to the pursuit of higher knowledge. This is the novel that established Kingsley Amis' reputation, and remains his most famous work. Regrettably, rather late in life, it is the first work of his that I have read. If you like your novels with heroic characters, whose actions should serve as a role model for you, or your children, well, this novel is not for you.<br /><br />The story is told from the point of view of Jim Dixon, a junior professor, in his first year at one of the newly opened provincial universities after World War II. He is the proverbial square peg being jammed into a round hole; he is neurotic, dysfunctional and alienated, as are most of the characters. Wartime austerity is slowly loosening its grip; he lives in a boarding house, and counts his cigarettes out, not for health reasons, but rather financial ones. Early on, we are introduced to one of the perennial curses of academic life: the \\""publish or perish\\"" mantra. Plagiarism is the essential aspect of the denouement to that theme. The exigencies of organizational life, the need to impress one's superiors, and appear to be a good \\""team player,\\"" best expressed by a couple earthy epithets that would never make it past the censor, permeate the tale. Philandering, mainly of the unrequited variety, is also a dominant theme. As in other \\""drawing room\\"" novels, the sexual and financial dynamics are omnipresent, and one \\""needs a scorecard to tell who the players are.\\""<br /><br />Amis has a fine ear for dialogue, and utilizes it brilliantly to draw and define his characters. The humor can be laugh out loud (LOL) hilarious. To mention one scene, Dixon is trying to obtain a straight answer for the History Chairmen, Welch, if he will be re-contracted for a second year. Welch bloviates, almost certainly unintentionally, about any subject but... the issue at hand. In another scene, one woman is nominally complimenting another, naturally a potential rival (aren't they all?) but Dixon knows what is coming, so he \\""...tensed himself for the inevitable qualification... `I don't like women of that age who try to act the gracious lady. Bit of a prig, too.'\\"" One of the women plots to have Dixon \\""take out\\"" a rival. Is the novel sexist? Well, for sure, the women don't come off very well, and it is the `50's, but the men are certainly portrayed \\""on an equal opportunity basis,\\"" that is, badly.<br /><br />And there is the \\""trans-Atlantic\\"" issue, and since it is all about \\""not getting it,\\"" perhaps the best way to describe the problem is the French phrase, \\""je ne sais quoi\\"" quality of British humor. Even when I am playing \\""at the top of my game,\\"" I only seem to \\""get\\"" about 80% of it, and I remain disconcerted that there is something deep, and intrinsic to the culture of the British Isles that I just don't understand. No doubt this is one of the reasons I found certain sections of the book a bit tedious. Still, there were numerous \\""takeaways\\"" that shall linger long, from \\""diuretic coffee,\\"" to \\""aureole of choking nonsense,\\"" to \\""Yes, I know women are all dead keen on marrying men they don't much like.\\""<br /><br />This particular edition has an introduction by David Lodge. Among other matters, he compares the Amis with one of his contemporaries, Graham Greene, and in particular, his novel, [[ASIN:0142437999 The Heart of the Matter: (Penguin Classics Deluxe Edition)]] It is worth searching for this edition just for Lodge's intro.  Overall, a 5-star read, on the way academic life was, in Britain, in the `50's, and probably still is.intentionally, about any subject but... the issue at hand. In another scene, one woman is nominally complimenting another, naturally a potential rival (aren't they all?) but Dixon knows what is coming, so he \\""...tensed himself for the inevitable qualification... `I don't like women of that age who try to act the gracious lady. Bit of a prig, too.'\\"" One of the women plots to have Dixon \\""take out\\"" a rival. Is the novel sexist? Well, for sure, the women don't come off very well, and it is the `50's, but the men are certainly portrayed \\""on an equal opportunity basis,\\"" that is, badly.<br /><br />And there is the \\""trans-Atlantic\\"" issue, and since it is all about \\""not getting it,\\"" perhaps the best way to describe the problem is the French phrase, \\""je ne sais quoi\\"" quality of British humor. Even when I am playing \\""at the top of my game,\\"" I only seem to \\""get\\"" about 80% of it, and I remain disconcerted that there is something deep, and intrinsic to the culture of the British Isles that I just don't understand. No doubt this is one of the reasons I found certain sections of the book a bit tedious. Still, there were numerous \\""takeaways\\"" that shall linger long, from \\""diuretic coffee,\\"" to \\""aureole of choking nonsense,\\"" to \\""Yes, I know women are all dead keen on marrying men they don't much like.\\""<br /><br />This particular edition has an introduction by David Lodge. Among other matters, he compares the Amis with one of his contemporaries, Graham Greene, and in particular, his novel, [[ASIN:0142437999 The Heart of the Matter: (Penguin Classics Deluxe Edition)]] It is worth searching for this edition just for Lodge's intro.  Overall, a 5-star read, on the way academic life was, in Britain, in the `50's, and probably still is.",2012-06-04
US,49055183,R28LPXPT243A2V,0140186301,283114178,Lucky Jim,Books,3,2,2,N,N,"Wise and Accomplished but not Hilarious","I think I read this as a teenager, over forty years ago. At the time I don't think I was all that impressed.    Much later I read one or two other Amis novels and quite enjoyed them and recently I have read about ten, finding them mostly absolutely hilarious, especially `Take a Girl Like You', `One Fat Englishman' and `Girl, 20'.    Lucky Jim is quite different from these middle period novels in that the main character suffers from severe anxiety nearly all the way through about his career and his love life. As David Nicholls says in the introduction to my copy, most of the passion in it is Dixon talking to himself about his hatred of certain other characters.    Later Amis novels also feature such hatred, but in these it is more likely to be expressed rather than an inner monologue, and in later books the protagonists are much more confident individuals, though their behaviour is not necessarily any more socially acceptable.    Nevertheless Lucky Jim is reminiscent to me of several other novels written in the fifties and sixties about young people and their uncertainties. I am thinking of `Billy Liar', `The L-Shaped Room' etc.    One reviewer refers to Dixon's extraordinary attitude to women. I don't find it extraordinary, he is actually extraordinarily respectful of them, without denying lustful feelings, which seems quite healthy to me.",2011-04-06
US,39563261,REG4RN9VXYH45,0140186301,283114178,Lucky Jim,Books,5,0,2,N,Y,"Hilarious and Old","Kingsley Amis's \\""Lucky Jim\\"" is a marvelously readable and hilarious book. It is my first Amis and I highly recommend it. It is very modern in feel, though written in the mid-1950's, and its humor, perhaps I should say humour, is priceless and ageless.",2010-12-28
US,52874455,R3VIL0HYQYQ768,0140186301,283114178,Lucky Jim,Books,1,23,33,N,N,"do not buy this edition","Lucky Jim is an outstanding academic novel, which I have read several times since it appeared and copies of which I have often given as a present to friends.    David Lodge, who wrote the Preface for the Penguin edition now being sold by Amazon, is equally a great writer of academic farces (e.g., \\""Changing Places\\"", \\""Small World\\"").    However, Lodge's Preface is entirely out of place in this edition of Lucky Jim. Admittedly. it is an insightful, but nonetheless academic piece of writing, by a former professor of English literature. For another, I believe it has, in whole or part previously appeared elsewhere in a collection of Lodge's essays (of which no mention is made; if I happen to come across it, I'write another blurb about Penguin's deceit in the matter). Third, and most important, it gives away one of the key points upon which the plot hinges, one that in the book only comes to a head close to the end and suddently makes things fall into place. The editor who thought the book could be enhanced by joining Lodge's name with Amis', failed to realize the Preface sabotages the development of Amis' narrative.    It is further evidence for my suspicion that all decent editors were taken out some years ago and secretly shot. The alternate possibility is that Penguin wanted to add Lodge's name (now better know than Amis')on the cover as a cheap gimmick for advertising purposes.    It would be a much better idea to buy a second-hand copy (thousands are floating around) than to put out good money for this edition.",2010-12-17
US,50684595,RJZFOWDACPJM1,0140186301,283114178,Lucky Jim,Books,4,3,3,N,N,"Merrie, merrie, quite contrary","It's rare for a comic novel to have the kind of influence LUCKY JIM did, but it's pretty much the key novel produced in the United Kingdom in the 1950s--it's been imitated endlessly, but there are few novels quite so funny or that do such a superb job of capturing a certain time, place, and attitude. Jim Dixon is a junior lecturer in medieval history at a \\""red brick\\"" university where he suffers very much from being under the thumb of the vague and ineffective Professor Welch and his monstrously pretentious and bullying family; he also feels weighed down by another lecturer, Margaret, whose attentions he has courted because she is sympathetic rather than because he is attracted to her. Jim's biggest problem, however, is most likely himself: lazy, misanthropic, and prone to drink and smoke far too much, he constantly gets himself into horrible situations where only his luck can pull him out.    Very, very funny, the book has some comic set-pieces that are unforgettable after the first time you read them (such as the famous hangover scene at Professor Welsh's house) or that never fail to pall (the early madrigals scene). The book has continued to receive attention largely for its portrait of the UK after the Second World War. Amis is very critical of the university educational system and its approach to passing almost every student regardless of their performances, and the attack on Professor Welch's ridiculously pompous family seems like a backlash against British high-brow culture; Jim's lecture on \\""Merrie England\\"" is clearly a direct critique of British notions of both its past and present during the mid 50s. With his raging temper and disgust at everything around him Jim is very much akin to the Angry Young Men in the plays and novels of Osborne, Sillitoe and Cooper, although the mood here is very comic rather than dark. Contemporary readers with any sort of feminist sensibility might be troubled by Jim's attitude towards women, which is also much in keeping to theAngry Young Man literature of the time. (Jim comes to see the friendly and helpful Margaret to be as much of a menace to him as the nasty Welches, mostly because of her emotional neediness and her lack of physical attractiveness.) The writing is terrific, and the set-pieces are very funny, but the book is even more important for what it reveals about a certain kind of mindset in England at mid-century.",2010-11-20
US,51942944,RZD7AN4ZJRXWA,0140186301,283114178,Lucky Jim,Books,4,0,1,N,N,"Loved it","I enjoyed this immensely. Lucky Jim and his manipulations just made me laugh. While it is an old story, it feels timely. ANd I am trying to decide whether I like Kingsley or Martin the most. So far, I like the son better. But this is an enjoyable, not terribly demanding read.",2010-08-30
US,47526679,R2BBOM3X7XTAMJ,0142180149,283114178,Lucky Jim,Books,4,0,2,N,N,"Not really my cup o' tea,...","this one.  This type of humor doesn't tickle my funny rib.  And as for his making faces.....I just got a little annoyed at Dixon whenever he turned to this coping mechanism.  He did grow on me by the end of the story.  All's well that ends well and indeed it did.  I am glad I read it.  It was worthwhile..just not my personal fave.",2010-03-24
US,50816793,R3UXV2QBGOA3OS,0140186301,283114178,Lucky Jim,Books,1,27,35,N,Y,"The Penquin Class contains many serious errors","Do not buy the Penguin version of Lucky Jim by Kingsley Amis.  It contains many errors introduced by the new publisher.  One of  the biggest occurs on p. 250.  Four lines down is a paragraph where Jim is thinking of which suburb he should live in when  he moves to London.  In the 6th line down, he thinks to himself \\""Belgrave Square, Wapping, Chelsea. No, not Chelsea.\\""  The error is here and it is huge.  The correct version should read: \\""Belgrave Square, Wapping, Bloomsbury. No, not Bloomsbury.\\""  What makes this error so huge is that Bloomsbury was the favorite enclave of London's writers.  So, Jim is refusing to live  where the writers live, and hence Amis, the author, through Jim's thinking, is taking a swipe at all the pretentious authors  in London.  This is a very funny line for those keenly interested in Lucky Jim.  It is also a bit of an in-joke.  This is all destroyed  by Penguin's version which uses Chelsea.  There are many other errors, too.  Don't buy this edition.",2010-02-10
