marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
US,20815549,RKIEGKL0UQSZC,0140132708,903668876,Midnight's Children,Books,5,0,1,N,Y,"Five Stars","a good read",2015-01-03
US,45360027,R2V3D9XH9RLNKR,0140132708,903668876,Midnight's Children,Books,3,0,1,N,Y,"Three Stars","ok",2014-07-08
US,45744207,R3GU9P4Q5U3VL4,0140132708,903668876,Midnight's Children,Books,5,1,2,N,Y,"a must read","One of the best books I have ever read. Writer Salman Rushdie is at best in his mischievous, satirical and creating a storyline out of the historical fact.",2013-12-08
US,47579143,R1IX2O3Y3E2CX6,0140132708,903668876,Midnight's Children,Books,2,4,7,N,N,"Rather distasteful","The writing was good... as far as writing excellent sentences.<br /><br />Story was slow.<br />It jumped back and forth between scenes very often, many times within the same paragraph. I found myself having to reread often to determine if a new character had just entered the room or the scene had simply changed.<br /><br />This book is a bit... distasteful. Not obscene sex scenes but it had many explicit descriptions that were repeated so often it just began to make me feel uncomfortable.  I suppose the author felt he was being funny but I found it repugnant (I'll try to clean this up for the varied readers). As one of many examples, the author explains that whenever this wife needed money she had to charm her husband with alluring/sensual behavior. This mere fact this happened doesn't offend me. It's a fact. However it was the author's delivery that made this offensive and the frequency of the joke. The author used rather explicit descriptions of \\""causing the napkin in his seat to >ahem<\\"" and mentioning this little joke over and over again about the \\""tent in his lap.\\""<br />The author brought up other, seemingly pointless information as well that didn't seem to bring anything to the story: a retarded girl who stands in front of a window doing things to herself (use your imagination) or the frequent mentioning of stains on the sheets from a new bride after the wedding night (recall I am being less descriptive than the author)! I noticed this type of material every 5 to 10 pages. It was just so objectionable ... so frequent ... so tiring.",2013-11-23
US,49266113,R2HELMA0CIR7XB,022401823X,903668876,Midnight's Children,Books,5,1,2,N,Y,"Great Rushdie Initiation,","Read this book in college and became a lifelong fan of Salman Rushdie who has never disappointed since. I have all of his novels and there are few authors who compare.",2013-11-13
US,49468888,R3SKGUZPYLNEG,1407430653,903668876,Midnight's Children,Books,3,4,5,N,N,"Fantastically written... but didn't hold my interest","I wanted to like this book more than I did and ended up calling it quits about halfway through. It's not that Rushdie isn't a brilliant writer, but his generation-sweeping narrative felt like a long exercise in allegory and self-referentialness without characters or a plot that I managed to find involving.<br /><br />You'll find that the usual checkmarks of \\""magic realism\\"" apply here. The writing has a fanciful storybook quality, as does the plot logic. The author blends real-world history with myth and pseudo-myth. Characters have exaggerated personality and physical traits, and strange ailments, some of which seem to grant them extraordinary powers of telepathy and foresight. Don't get me wrong -- I appreciate symbolism and thematic depth, but there was a bit too much literary flash at the expense of characters or a story arc I could relate to. Maybe it's just me -- I was also left cold by Mark Helprin's much-loved Winter's Tale, for similar reasons.<br /><br />Too bad, because Rushdie really can write colorful descriptive passages that sing in audiobook form, combining poetry, satire, Bollywood imagery, and bits of the real world in a rollicking series of well-crafted scenes. But it's also one of those books where the author is constantly and consciously being \\""clever\\"", mainly through manipulative foreshadowing and an air of ah-but-you-don't-see-where-I'm-going-with-this. To me, that sort of thing gets annoying, as though Rushdie wants to bait critics into being impressed with his novel through structural trickery (\\""this a novel for *smart* readers -- like us!\\""). I say put on some pants, Emperor.<br /><br />Still, Rushdie is quite brilliant, and for literary adventurers who appreciate dense novels and are perhaps a bit more knowledgeable about India/Pakistan/Kashmir than I am, there's a lot here. Depending on your tastes, it's certainly worth consideration. But, as generation-spanning multicultural novels go, I *liked* Zadie Smith's White Teeth and Jeffrey Eugenides' Middlesex a lot more.",2012-05-28
US,29184288,R2M5E4WRZQQ37Q,0140132708,903668876,Midnight's Children,Books,5,0,0,N,Y,"An Adventure in Literature","Salman Rushdie has what most would call \\""a way with words,\\"" but this work illustrates magnificence in writing to a much higher degree. It captivates readers from the first page... A must-have for any fan of Literature. This book was certainly my best purchase of the year. A great summer read.",2012-05-14
US,52991953,R2M4UVSKMX5I31,0140132708,903668876,Midnight's Children,Books,4,1,1,N,Y,"Classic....","Very voluminous, but a great read. I love the way Rushdie, cajoles you into his themes and plots and sub-plots. Not a simple read, but of a generation of writers who take the time to write, and hence you need to take the time to read!",2012-01-04
US,35397518,R2HVDHZYEXYEG6,0099592517,903668876,Midnight's Children,Books,1,5,27,N,N,"Another lousy book from Rushdie","This is a lousy book. It's really amazing to me that the world had made such a fuss about such a mediocre writer as Salman Rushdie. The reason is properly that he is of somewhat Indian origin and that Khomeini got pissed off. Anyway Midnight's Children is a socio-political account. It revolves around some crucial times in newer Indian history, like the declaration of post colonial India on midnight August 15, 1947 and the declaration of state of emergency on June 25, 1975, the war with Pakistan, etc. Upon these historical facts Rushdie then brews an account inspired by magical realism and interspersed with personal experiences. Often Rushdie tries to be funny, but I didn't laugh one single time!",2010-04-17
US,26850439,R19K1W3D27UYJL,0140132708,903668876,Midnight's Children,Books,5,1,1,N,N,"Midnight's Children Amazes","Salman Rushdie's voice is unique, and if you haven't read anything by him yet, Midnight's Children is a good place to start. Be prepared for intriguing characters, long flights of fancy, enough historical facts to keep the novel anchored in reality, and insightful comments on human nature. Winner of the Booker Prize when it was first published in 1980, it also received the prestigious \\""Best Book in 25 Years\\"" Booker Prize.",2009-08-28
