marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
US,50152643,R29YFSZFQ6ROQE,0156628708,179043206,"Mrs. Dalloway",Books,3,0,2,N,Y,"Boring story","Not an interesting story, predictable, slow pace.  They same thing was happening over and over.",2015-08-15
US,37229315,R1C36XJZX7LXZD,1857151577,179043206,"Mrs. Dalloway",Books,5,0,0,N,Y,"Great book","very pleased with the book purchased &#34;used&#34;",2015-08-14
US,46268877,R30KJW4UISMD0F,0156628708,179043206,"Mrs. Dalloway",Books,5,0,0,N,Y,"Masterpiece","One of Western Literature's masterpieces, Mrs. Dalloway reveals much about Post-War England.",2015-08-04
US,21352331,R3Q2K2A1965S45,0156628708,179043206,"Mrs. Dalloway",Books,5,0,0,N,N,"Clarissa Dalloway - a unique eye for a day","Mrs. Dalloway walks through life with the ability to live every moment and see it from every perspective. Clarissa Dalloway lives her life in real time without judgment or confusion. She is an omniscient narrator walking though her life translating all of experiences from every corner of her mind and heart. She translates the world from her eyes in order for us to understand days from our own eyes.",2015-07-09
US,45386541,R3M76D9BUKUFB3,0156628708,179043206,"Mrs. Dalloway",Books,4,1,1,N,N,"The world a century ago","This is an interesting period piece. The writing is unlike that of our time. The setting is distinctly England. I have the impression that the more one knows about literature and London a century ago, the more enjoyable the book will be. I did enjoy the character Sally, though, especially where the story dives into the memory of when she and Clarissa first met.",2015-07-04
US,47433714,R3V2TK26BSZBB2,0156628708,179043206,"Mrs. Dalloway",Books,5,0,0,N,Y,"A Classic","Influential, engaging, and groundbreaking.",2015-05-22
US,23329493,R3N47OSMOMFUSA,0156628708,179043206,"Mrs. Dalloway",Books,5,0,0,N,Y,"Five Stars","It's not so bad...📍📍📍",2015-05-14
US,13551220,R3K7KKHNU316V7,0156628708,179043206,"Mrs. Dalloway",Books,4,0,0,N,Y,"Four Stars","This was recommended by a professor. To me it is stream of consciousness and informative.",2015-04-24
US,41387930,R3P3YUYSM8DYD8,0156628708,179043206,"Mrs. Dalloway",Books,1,3,11,N,Y,"Catcher in the Rye... as told by middle-aged English farts","Catcher in the Rye... as told by middle-aged English farts<br /><br />The party! The party! Let us listen to an old farty woman stream her consciousness to us to hear, pointless thoughts that go nowhere. That's pretty much this book in a nutshell. Very boring.<br /><br />Mrs. Dalloway whines about not marrying Peter Clark, but Pete's been in India for five years. I'm sure she would have been unhappy either way, marrying him or not, him leaving or not; all she does is party, chill with friends, and rinse & repeat. Ughhh.",2015-04-18
US,19594241,R2MOTX011O8CJC,0156628708,179043206,"Mrs. Dalloway",Books,5,0,1,N,Y,"Five Stars","My favorite Woolf novel",2015-04-11
US,15203392,R3GR7YE1V8UUZZ,0156628708,179043206,"Mrs. Dalloway",Books,1,3,11,N,Y,"I really did not enjoy reading this book","I really did not enjoy reading this book. The book all takes place in one day as upper-middle class people are preparing for a dinner party - boredom city.",2015-04-10
US,2873101,R3XNP1J0FVQBI,B00EB0HSCS,179043206,"Mrs. Dalloway",Books,5,0,1,N,Y,"Love It","Arrived on time and I love the written texts inside!",2015-03-28
US,36304953,RVOT24QXR3BU,0156628708,179043206,"Mrs. Dalloway",Books,5,0,1,N,Y,"Five Stars","Mrs. Dalloway is a classic- a must read for any literature fans.",2015-03-18
US,19852274,R1UCL9UYTPXX5W,0156628708,179043206,"Mrs. Dalloway",Books,4,0,1,N,Y,"Four Stars","This book is a little hard to follow.",2015-03-07
US,1242924,R1N4MIU1NA5PJ7,0156628708,179043206,"Mrs. Dalloway",Books,5,0,1,N,Y,"Mrs. Dalloway","Virginia Woolf is always amazing. The book had writing in it. I wasn't aware but I did buy it used.",2015-03-07
US,50844618,R1FYU8YHG9UH4B,0156628708,179043206,"Mrs. Dalloway",Books,5,0,1,N,Y,"Five Stars","LOVE IT",2015-01-17
US,37872284,RJIZORKA4QZU9,0156628708,179043206,"Mrs. Dalloway",Books,4,0,1,N,Y,"Four Stars","Good",2014-12-25
US,49447314,R2A3IW9OXRD0ME,0156628708,179043206,"Mrs. Dalloway",Books,5,8,9,N,Y,"Take your time to read Woolf and you may be rewarded.","The plot is well known and if none of the wonderful 5 star reviewers can convince you to read it, then I surely can't. Sometimes I read one of the \\""Classics\\"" and wonder what on earth made it so great. This isn't one of those times. No doubt, Woolf is difficult and at times seems to meander like a stream moving through a dense wood of unfathomable prose, but if you take the time, you might uncover such beautiful nuggets that you would struggle to find in most writers. Either way, you will either hate her or love her, and if you hate her don't sweat it, she just isn't your kind of person, but for the writers who ever hope to write a thoughtful and deeply moving narrative, then it won't hurt you at all to tangle with Woolf. There is no other writer quite like her, and the last few paragraphs, especially the last line of Mrs. Dalloway is nothing short of genius.",2014-12-13
US,12100742,R3I27MKIE8MNXP,0156628708,179043206,"Mrs. Dalloway",Books,5,0,0,N,Y,"but good. It's the basis for the movie ""The Hours"" ...","Very difficult, even challenging, but good.  It's the basis for the movie &#34;The Hours&#34; which I really loved.",2014-12-04
US,20132277,R3LVP9A2QZI6LD,0156628708,179043206,"Mrs. Dalloway",Books,1,1,7,N,N,"One Star","Unless you like self harm, or need a reason to kill yourself, DO NOT buy this trash.",2014-12-02
US,49270218,RAD584HELT9WO,0156628708,179043206,"Mrs. Dalloway",Books,5,0,0,N,Y,"Five Stars","books in great shape. thank you",2014-11-23
US,46420668,RJ57615VGFPD5,0156628708,179043206,"Mrs. Dalloway",Books,5,0,0,N,N,"All the Ramifications of Everything","This is the result of attempting to write about all the ramifications of everything.  If Woolf hadn't written novels before the inception of psychedelic drugs,  I wouldn't hesitate to say that she was peaking on acid when she wrote this one.",2014-11-13
US,13053882,R3K9VRR2FA8R3,0156628708,179043206,"Mrs. Dalloway",Books,5,0,0,N,N,"Poignant and Doom-Laden","Virginia Woolf never ever fails to impress. A simple novel, one would think. A day in the life of Clarissa Dalloway leading up to a party she's throwing. But that's a very simplistic way of stating it, for 'Mrs. Dalloway' features a number of characters that swing towards and away from one another throughout the prose of the novel as if they're in some dance. I'm not sure if I've ever read a novel with such tolling notes of impending doom, tolling out like the leaden circles of Big Ben. This is such a doom-laden work that several times throughout the novel I found myself mentally and emotionally cringing for the proverbial shoe to drop. Tension is woven into each and every page, relief only arriving when one of the characters (my favorite, by the way) finds release from everything in the embrace of death, and relief also rears its welcome head in the last two lines of the novel. A stunning and game-changing work. Mrs. Woolf made a day in the life of the London Middle Class of the early 1920s as suspenseful and as riveting as any of Hemingway's novels of bravery and courage in the face of physical danger.",2014-10-27
US,15305625,R3C9ARIEGFR6LZ,0156628708,179043206,"Mrs. Dalloway",Books,5,0,0,N,Y,"and it's a great rad--a real classic","I needed this book for a paper in a masters level class. Amazon got it to me quickly, and it's a great rad--a real classic.",2014-10-16
US,9991238,R2NVXIH8A0IFTE,0156628708,179043206,"Mrs. Dalloway",Books,5,0,0,N,Y,"Five Stars","GREAT NOVEL, DOESNT DISAPPOINT",2014-10-04
US,5352803,R4RU7RFAT33VW,0156628708,179043206,"Mrs. Dalloway",Books,5,0,0,N,N,"Five Stars","it comes very sooner that i expected. the quality is excellent",2014-09-25
US,25395927,R1CNCWU5P2KJAP,0156628708,179043206,"Mrs. Dalloway",Books,1,4,9,N,N,"Wretched! An Abusive use of the English language.","We choose this title for our women's book club as it appears over and over again on the must-read lists. What a mistake. No one, not a single woman in our group of fifteen enjoyed this book. And before you wonder, yes, we are very well read group of ladies. I'm even more discouraged to know that this finds itself on college reading lists. This book certainly shows the depravity of man and a self-centered life and the meaningless found amongst those who think of none but themselves.",2014-09-16
US,29020242,R25SVK2UISUS6T,0156628708,179043206,"Mrs. Dalloway",Books,5,0,0,N,Y,"Very Nice","Perfect!",2014-09-13
US,35998685,RQKQG4IL0NVKC,0156628708,179043206,"Mrs. Dalloway",Books,5,0,0,N,N,"Five Stars","All good!",2014-09-11
