marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
US,25174387,R24ITVPQQ59TH8,0802132952,783763378,"Naked Lunch",Books,1,1,2,N,Y,"One Star","I think you gotta be high to get this...",2015-08-20
US,21043958,R292GQN7TRDRF3,0802132952,783763378,"Naked Lunch",Books,5,0,0,N,Y,"great book","Great book written in many colors!",2015-08-11
US,14484003,R23YYL85YS86AW,0802122078,783763378,"Naked Lunch",Books,5,1,3,N,Y,"Five Stars","disgusting!",2015-07-30
US,11488581,R27LFZQQIRUSWS,0802132952,783763378,"Naked Lunch",Books,4,0,1,N,Y,"Honestly I don't remember much because I bought this a year ago.","Are you an artsy psuedointellectual whos really into butt stuff mixed with necro stuff? Then, here.",2015-07-24
US,17942014,R2R7DT5P8SYH2L,0802122078,783763378,"Naked Lunch",Books,1,5,10,N,N,"People act like there is something deep here","People act like there is something deep here. there is not. William S. Burroughs is not deep.  He was just a self centered jerk that churned out crap. Don't get me wrong.I like messed up stuff. Heck, I'm an Italian horror fan and that's know for being more style over substances, and i'm cool with that. But, there is nothing here worth seeing. It simply shock for shock sake, and I'm even good with with that . However, this is just the lame fever dreams of a pederast that never penned an insightful thought in his life. He was just to self-absorbed to do any kind of meaningful work, and this book shows that as clear as can be. It just reeks of trying way to hard to be edgy. Get over it...he was a pedophile and a crappy writer. Both are unforgivable.",2015-07-14
US,22205635,RWXHTITPLBDUV,0802132952,783763378,"Naked Lunch",Books,1,1,3,N,Y,"I have never been more disappointed in something in my entire life","I have never been more disappointed in something in my entire life. I read the first few pages and quickly decided this was not for me.",2015-06-28
US,25267081,R6J59K4S41D6W,0802122078,783763378,"Naked Lunch",Books,1,3,10,N,Y,"if that's what you're looking for then you'll love this depravity","absolutely vile, if that's what you're looking for then you'll love this depravity. I do not understand why this is so renowned. It's absolutely disgusting for the most part. I understand that at the time this was written it was a unique style of free flowing consciousness, I just wish it would have been the consciousness of a more mindful, peaceful kind. I don't enjoy delving into the gutters of this sort of thought process. It's poison for the soul, not nourishment.",2015-06-20
US,11568196,R3ISQM07TU98S5,0802122078,783763378,"Naked Lunch",Books,2,1,2,N,N,"Not for Ogre's","Moments of pure poetry, the written word flows off your tongue. Other times like reading advanced String theory, trying to keep up with the ever changing plots and characters.  Put it down 6 months ago, tried my hardest to pick it up again read three fifths of it and had to give up. Leads to nowhere, the first half seems more poetic less scrambled.  I guess if you are more than a simpleton as my self. I was hoping to be one of the few who find enlightenment and thus superior to everyone else, but I am merely an ogre I spose",2015-06-18
US,44651685,R14NUPXCK0IPEU,0802122078,783763378,"Naked Lunch",Books,5,1,2,N,N,"Briliant Dark Twisted Genius Horror Poetry.","Pure genius poetry. People that can't handle the truth and the darkness of the mind shouldn't bother. Many people reviewing put one star and leave reviews like 7 years little girls seeing a smashed bug, saying things like, &#34;Gross.&#34; Please go back to reading your precious Twilight books and stop pretending to be an intellectual. I highly suggest this book to anyone who is an adult and like two read outside of their own puny little minds and experiences.",2015-05-26
US,22477577,R6B1XOD66TSDG,0802132952,783763378,"Naked Lunch",Books,5,4,4,N,Y,"Exterminate all rational thought","Exterminate all rational thought. Nothing is sacred...everything is permitted. A shocking and depraved tale of addictions(  legal and illicit ), lust and violence. Terrifying and often funny this is one of William S Burroughs's most unique and best works. Not for the squeamish or easily offended.",2015-05-08
US,15771450,R352J4XNK2MK1Z,0802122078,783763378,"Naked Lunch",Books,2,1,3,N,Y,"Disappointing","Mad ramblings of a junkie.<br />Entire chapters devoted to hallucinations (proper grammar out the window ) about people eating each-others excrements, limbs and sperm.<br />It's confusing at some points and quite the roller coster ride.<br />Do not' expect anything enlightening. Just a weird read from someone who wrote it while high.<br />That's too bad, because Anthony Bourdain recommended in one of his shows, so I bought it on the same day. I guess I can't agree with EVERYTHING that man says :)<br />Cheers.<br />Here try reading Carlos Castaneda's Don Juan, if you are in the mood for a book about taking drugs. That was a much better book.",2015-05-04
US,10777206,RSJN4Y4N26I6D,0802122078,783763378,"Naked Lunch",Books,1,0,6,N,Y,"One Star","nothing",2015-04-24
US,42887920,R1P3LA5G16Q8WB,0802122078,783763378,"Naked Lunch",Books,5,2,2,N,Y,"Five Stars","Obviously a must for any Burroughs fan",2015-04-13
US,45604230,R1464PE8CHAWX6,0802132952,783763378,"Naked Lunch",Books,4,0,0,N,Y,"Classic, Fast Read!","Classic , Fast Read !",2015-04-02
US,29162980,RCT3QL3NN3ETF,0802122078,783763378,"Naked Lunch",Books,4,1,1,N,Y,"Four Stars","Good book!",2015-03-26
US,25872235,RPOJUXHERETFH,0802122078,783763378,"Naked Lunch",Books,5,1,3,N,Y,"Five Stars","Good book, good read..",2015-02-14
US,40642366,R1KOSS038WHU35,0802122078,783763378,"Naked Lunch",Books,1,0,8,N,Y,"Burroughs is bizarre!","Anyone who says they &#34;get it&#34; is lying! This book is bizarre,  graphically disgusting and just plain weird. I couldn't even finish it!",2014-12-12
US,29503082,R357UFHLLZUHV1,0802122078,783763378,"Naked Lunch",Books,5,2,3,N,N,"the brave pariah; missouri's great satirist !","It is too hard, and almost needless to sum up NAKED LUNCH. Some of my friends describe &#34;interzone&#34; (something you'll learn about in the novel) as an allegory (inner zone?) for Burroughs playing the role of a pre-Gonzo journalist, investigating the inner human spirit and condition, with all it's spiritlessness and conditioning. Some dictionaries describe the novel as the 'surreal' visions of a junkie, living abroad.<br /><br />Burroughs himself inspired so many subsequent legends, from Lou Reed to Hunter S. Thompson to William Gibson To Thomas Pynchon to Warren Ellis... The list is huge and for good reason. He blended a sharp beatnik prose with the ugly reality of America's modus operandi, and thru his satirical tongue he taught us much, be it the fatal hookups from shooting up, to the neurosis and detesting of being a 'marginalized' citizen.<br /><br />A great book. Even if it is not your taste, admire it's bravery for it's time! It was taken to court, and won, giving any writer henceforth the freedom to truly speak and record their mind.",2014-12-12
