marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
US,48942414,R152QDIP4QOTHQ,0441569595,769194143,Neuromancer,Books,4,1,2,N,Y,"Surprisingly Relevant with an Interesting Story","I typically avoid \\""foundation\\"" books like the plague.  Whenever a piece of literature comes with the distinction of founding this genre or starting that movement, it has been my experience that the work will be focused more on concepts and ideas rather than story and characters.  Not that there's anything wrong with that, but I simply read for fun and tend to not enjoy books that are more about establishing ideas than telling a good story.  So, when my fiancé read \\""Neuromancer\\"" and insisted that I would enjoy it due to my love of things like \\""Ghost in the Shell,\\"" science fiction, and cyber punk, I was more than a little wary.  I feared that the novel would be rife with techno-babble and jargon that would only make sense to someone obsessed with technology, so I put it off...and put it off...and put it off.  After some not-so-subtle hints from my fiancé that I really needed to read this, I finally sat down and went for it.  Did a lot of things fly over my head?  Probably.  But you know what?  I enjoyed it anyway!  Spoilers follow.<br /><br />  \\""Neuromancer\\"" essentially boils down to a futuristic crime novel.  Case, the main character, is an ex-hacker whose former employer had part of his nervous system irrevocably destroyed after Case tried to hack the employer's company, effectively preventing him from ever connection to Cyberspace again (and therefore putting him out of work).  Down on his luck, he's offered an opportunity he can't pass up: his nerves will be repaired using new (and otherwise preventatively expensive) medical technology if he agrees to use his hacking skills to complete a special job.  He's joined by an odd, unique group of cohorts: a former colonel from the Special Forces that doesn't quite seem to be all the way there; a mercenary with some cool cybernetic enhancements and a past she doesn't want to talk about; a performance artist with perverse holographic imaginings; the personality of a dead hacker immortalized in the matrix; and the mysterious Wintermute, an Artificial Intelligence that seems to really be running the show.<br /><br />  To start this review on a high note, the story is great.  It's both exciting and complete.  I had feared that the plot would take a back seat to showcasing the author's ideas of futuristic tech, but that happily isn't the case, and the story definitely isn't secondary in the novel.  Ok, so the beginning is a little slow (the first 20 pages or so could prove to be a little daunting for some since they're mostly introducing us to Case and giving some exposition on the setting), but once things pick up, they really pick up.  And not only is the plot satisfying in and of itself, it takes us all over the world (seriously - the characters go to several different countries and even take a trip off-planet) and gives us a look at plenty of locales to help flesh out Gibson's world.<br /><br />  Gibson's writing style is very notable and distinct.  Honestly, it can be a tad difficult to get used to at first glance.  The best way to describe it would be that each chapter is broken into vignettes, each one serving to highlight something, whether it be some introspection on Case's part, character development, a plot point, demonstrating a piece of technology, or showcasing some part of the setting.  While a little jolting at first to jump around, the vignettes flow and connect nicely to weave a coherent, satisfying story.  Prose-wise, Gibson has the type of writing style that needs to be read slowly and enjoyed.  That's not to say that it's wordy or complex - quite the opposite, actually!  Every word is important, so if you try to skim or read too quickly, you'll likely miss out on a lot and become horribly confused.  It's not that Gibson writes a lot, but that he writes meaningfully - trying to speed read this would do a disservice to the author, story, and reader.  Gibson's writing style is unlike anything I've seen, and, perhaps surprisingly, it really works.<br /><br />  While the story and the author's style are extremely important, the tech and relevance are also large parts of the book.  \\""Neuromancer\\"" was published in the 1980s, so I expected some very dated science fiction and technology and a vision of the future that was so off base that it push the book firmly into the realm of fantasy.  Since this is the book that is considered one of the foundation works of the cyber punk genre, a lot concepts have trickled into not only cyber punk culture, but mainstream media as a whole.  This is the novel that invented the term Cyberspace and prominently featured the matrix as an abstract representation of the computer network that, with the right equipment, one can interact with.  People adding cybernetic enhancements to their bodies is perceived as normal and virtual intelligence is not only a thing, but a well-known (though not always completely understood) creation.  Cloning isn't unheard of and advanced medical procedures are the norm.  Given that Gibson wrote this before many of these things existed, his ideas have stayed largely relevant because many are things that science is still trying to make a reality.  One might wonder if Gibson could somehow see into the future.  Even over 20 years after its publication, \\""Neuromancer\\"" manages to not feel dated and, as a result, lacking in relevance.<br /><br />  The final thing to discuss as far as the overall story goes is the world.  The other big reason that this piece of speculative fiction has aged gracefully is that the gritty, rough, super-controlled world portrayed in the book is very much the sort of future that many people still fear.  Gibson's vision of the future consists of large corporations controlling the different countries and regions.  Some of the cities that we know have come together to form larger metropolises and the lines between countries seem to sometimes blur, yet cultures are still fairly distinct.  None of that really matters, though, since it's mostly companies and illegal groups that hold the power in this world.  Whether this is a personal fear of yours or not, you'll be able to feel the corrupt hold these large groups have and the complete helplessness of the average person to do anything about it.  This isn't a clean, sci-fi future where everything is white, shiny, and full of helpful technology; it's a grimy world full of selfish people who use (and abuse) the current tech in whatever way benefits the most...and it's surprisingly accessible to the modern reader.<br /><br />  Lets move on to the characters.  This is the one thing that keeps me from giving \\""Neuromancer\\"" a full five stars.  I'm the kind of reader that needs great characters to become truly invested in a story, and this book fell a little flat for me in the area of character development.  Make no mistake, this is certainly an interesting group of individuals.  Each one stands out in their own right with their unique abilities and back stories and, much like Gibson's writing itself, there are no wasted or superfluous characters.  Every one has a role to fill and each demonstrates something that serves to flesh out the novel's setting.  Even the side characters or one-off figures are intriguing in their own right.  I would argue that the characters serve their various purposes well...but I never felt particularly attached to any of them.  Instead, rather than seeing them as fully realized characters, they struck me more as the embodiments of the ideas and concepts of Gibson's world.  There's nothing necessarily wrong with this - my fiancé and others seem to have responded well to the book's figures and what they set out to do.  I just needed more growth from them, more reasons to become attached and really care about them as individuals and as a whole.  And while there are moments where some of this development that I craved began to shine through, the characters seemed distant throughout most of the novel.  I was interested in their stories and who they were, Iwas interested in what they could do, but I ultimately didn't care about them beyond that, and the absence of that more personal connection with them stood out while I was reading.<br /><br />  The one exception to this is Case, the main character.  Perhaps it's because most of the book is from his (third person) point of view and he therefore gets to experience more than any of the other characters.  Perhaps it's because he gets the biggest life-changing upgrade (his ability to jack into the matrix being restored), so we see a drastic change as far as his capabilities and outlook are concerned.  Whatever the reason, his journey actually seems to have an effect on him, and he definitely isn't the same character at the end of the story as he is at the beginning, and since we get to experience things right along with him, it's easy to care about what ultimately happens to him in this strange, futuristic world.<br /><br />  On a random, personal note regarding characters, as seems to often be the case, the two characters I was most interested in died before their stories were fully concluded or revealed to us.  Damn!  Just my luck...<br /><br />  In closing, don't make the same assumptions that I did.  Don't ignore this book because you think it'll be too smart or tech-heavy.  Don't refuse to read it because you fear the story will take a backseat to Gibson's scientific concepts and visions of the future.  Don't give it a wide berth because you fear the age of the novel will make it come across as dated and out of touch with the current reality.  \\""Neuromancer\\"" manages to strike the balance between telling a satisfying, interesting story and showcasing the author's (sometimes terrifying) world.  Gibson's distinct style of prose makes for a unique reading experience, and though the characters fell a bit short of what I wanted, I'm glad I overcame my objections and read this book.  A solid four star read.",2015-08-27
US,43859047,R1BU08PI4HMJGH,0441569595,769194143,Neuromancer,Books,5,0,0,N,N,"Five Stars","Great story",2015-08-21
US,52973231,R1L7OIXKUX8BDR,0441569595,769194143,Neuromancer,Books,5,1,3,N,N,"Did William Gibson get the credit for his influence on the Matrix Films?","As a William Gibson fan, especially of Neuromancer, I am sure I am not alone in wondering if Gibson’s ideas were used and not given credit by the Wachowskis in their hugely popular and lucrative Matrix series of films.<br /><br />Biased towards Gibson and feeling automatically that this was so, upon further examination and research, I found quite a different story to be told. The story is this: There is nothing new under the sun. Whatever Gibson came up with, he was influenced by others who came before him. It’s like saying the Beatles invented rock n’ roll, ignoring the thousands of artists who came before, and had a direct influence on them before they ever picked their guitars.<br /><br />By the way, did you know that the transistor was invented and patented simulaneously in two places at once? - Texas and Silicon Valley. As with Gibson and the Beatles, it’s a not a case of who influenced you at the time, but a case of who of your group rises head and shoulders above the rest to claim the credit for it. Everyone’s heard of Silicon Valley, but who ever heard of Texas' Silicon Prairie before the TV series Halt & Catch Fire came out?<br /><br />Gibson fans, buckle up. You may not want to hear these (painful) truths.<br /><br />1. The term &#34;cyberspace&#34; was created by the brilliant mathematician and one of the fathers of computer science, Norbert Weiner (also president of MIT in his later years). The term is his and his alone, decades before Gibson ever uttered it. William Gibson is widely credited with coining the term “cyberspace.” Apparently, this is not so.<br /><br />2. Simulacra and Simulation (a 1981 philosophical treatise by Jean Baudrillard seeking to examine the relationships among reality, symbols, and society) was required reading for most of the principal cast and crew during the making of the Matrix, which came out in 1999. They were not required to read Neuromancer, nor was there any mention of the book by the directors, cast or crew, and therefore no known connection. It is not known if the Wachowskis read the book, or were even aware of it at the time they made their film.<br /><br />3. Producer Joel Silver has stated that the Wachowskis first described their intentions for the Matrix by showing him Mamoru Oshii's 1995 animated film “Ghost in the Shell” and saying, &#34;We wanna do that for real.” So, they weren’t shy about claiming their influences – Jean Baudrillard and Mamoru Oshii. If they weren’t shy about that, then they probably would have had no problem claiming Gibson's Neuromancer as an influence – but they didn’t.<br /><br />4. OK, finally some credit, well, sort of…<br />The film's use of the term &#34;Matrix&#34; is adopted from Gibson's novel. After watching the Matrix, Gibson commented that the way that the film's creators had drawn from existing cyberpunk works was “exactly the kind of creative cultural osmosis&#34; he had relied upon in his own writing; however, he noted that the film's Gnostic themes distinguished it from Neuromancer, and believed that the Matrix was thematically closer to the work of science fiction author Philip K. Dick. So even Gibson himself had to hand the credit off to author Phillip K. Dick. He also is quoted as calling the film &#34;an innocent delight I hadn't felt in a long time,” and stated, &#34;Neo is my favorite-ever science fiction hero, absolutely.” So, the man his fans felt had been ripped off by the Wachowskis had no problem with the Matrix. What a shock!<br /><br />5. And the guy that actually feels he didn’t get the credit he deserves? – Grant Morrison. Comparisons have been made to Grant Morrison's comic series “The Invisibles”; Morrison believes that the Wachowskis essentially plagiarized his work to create the film. According to Grant Morrison, “The truth is that one of the design staff on the Matrix were given Invisibles collections and told to make the movie look like my books. This is a reported fact. The Wachowskis are comic book creators, and were fans of my work, so it's hardly surprising. I was even contacted before the first Matrix movie was released and asked if I would contribute a story to the website.”<br /><br />So, I started off wondering if William Gibson wasn’t given the credit he deserved, and found out that he didn’t even coin the term “cyperspace,” is comfortable with and a fan of the Wachowskis’ Matrix, and some guy I’ve never heard of (not being a comics/graphic novels fan) feels he has been hurt the most.<br /><br />Down the rabbit hole one more time, Alice? Sometimes I wish I’d never asked. Then I could preserve my prejudices in peace, without all those pesky facts getting in the way.<br /><br />For contributing information presented in this review, credit goes to:<br />macrumors.com<br />killermovies.com<br />foreigndispatches.typepad.com<br />matrix.wikia.com<br />wikipedia.comsurprising. I was even contacted before the first Matrix movie was released and asked if I would contribute a story to the website.”  So, I started off wondering if William Gibson wasn’t given the credit he deserved, and found out that he didn’t even coin the term “cyperspace,” is comfortable with and a fan of the Wachowskis’ Matrix, and some guy I’ve never heard of (not being a comics/graphic novels fan) feels he has been hurt the most.  Down the rabbit hole one more time, Alice? Sometimes I wish I’d never asked. Then I could preserve my prejudices in peace, without all those pesky facts getting in the way.  For contributing information presented in this review, credit goes to: macrumors.com killermovies.com foreigndispatches.typepad.com matrix.wikia.com wikipedia.com",2015-08-09
US,42649988,R8LJ8AMYCNR9H,0441569595,769194143,Neuromancer,Books,5,0,0,N,N,"fantastic novel of sci-fi, easily one of the E-Ssentials!!!","I love this book. Haven't fallen so hard for a book for a while. It's amazing to find sci-fi so good. He actually made a good, complete take on cyberpunk that wasn't cheesy but gratifying. Here here for the author, an amazing work, which I relished so much I never even wanted to finish it. And the prose. Wow.",2015-08-04
US,28529960,R3N9DFRUVN4UX8,0441569595,769194143,Neuromancer,Books,5,0,0,N,Y,"Five Stars","Great read.",2015-08-03
US,19118730,R2ST895FT6I0PX,0441012035,769194143,Neuromancer,Books,4,0,0,N,N,"The story is pretty decent. It certainly keeps you on your toes","Gibson is an extremely talented writer. His work is written in third person, but borders on stream of consciousness. It definitely took about half the book before I adapted to his writing style- as it's unlike anything else out there. The story is pretty decent. It certainly keeps you on your toes, and the action flows steadily, unlike Snow Crash, it's cyberpunk counterpart. There are only a few issues with the story. It's hard to tell all of the character's objectives and locations at various times. One of the side characters also has a ton of backstory that is not really integral to the main plot, but interesting nonetheless. Many of the characters have several different aliases- for instance Pauley McCoy aka the Dixie Flatline. Gibson is a master of poetic technique and every page is brimming with imaginative genius.",2015-07-25
US,14633276,RIXXSKWBBI0Z9,0441569595,769194143,Neuromancer,Books,5,0,0,N,N,"Too good","Written in 1984, Neuromancer is still the greatest science fiction book ever written.  There is no debate.  The book CREATED a movement.  Gibson COINED the term &#34;cyberspace&#34;.  Like, are you kidding me?  IN 50 years people will read this and think that Gibson is a seer, because this is where the world is clearly heading, we are not there yet, but will be soon.  Surgeons and software writers will be very busy.",2015-07-20
US,46632074,R1XUG6VLWOHRYV,0441569595,769194143,Neuromancer,Books,1,2,10,N,N,"Way too jumpy","I am reading this for a Science Fiction Literature class. Out of the 6 books we have had to read this is by far the worst. I can't figure out what is happening half of the time. It jumps from one thing to another and you need a Sci fi dictionary to figure out half of what is happening. I can't imagine how this became a classic.",2015-07-19
US,13714765,R2VU7EZZQ5YPCM,0441569595,769194143,Neuromancer,Books,5,0,0,N,Y,"Five Stars","Great book after you figure out all the slang.",2015-07-14
US,14778135,RE685OQY3Y9SO,0441569595,769194143,Neuromancer,Books,2,0,1,N,N,"Read a sample or borrow from the library first","I am 35% through this book and I just can't get into it. I don't feel like I understand who Case is or what makes him tick at all. I read a few reviews and it sounds like it's par for the course in this genre to be immersed in the author's world but I find it confusing. He doesn't explain what things are so I keep reading hoping that I'll get an explanation at some point--what exactly happened to him when he got caught by his old employer and how it affected him, etc.<br /><br />I'm not saying this is a bad book. I'm saying I have had a very hard time getting into it and probably will give up before I get much further. It may be awesome for lots of people (since it's considered a classic I think that's safe to say). I suggest you borrow a sample to get a feel for it before you buy.",2015-07-14
