marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
US,46107918,RJ237M9KCG6KG,1400078776,813354201,"Never Let Me Go",Books,4,0,0,N,Y,"Four Stars","Purchased this for my kid for her summer reading list for 11  th grade.",2015-08-31
US,28723716,R1JO9LU6XWBL3Z,1400078776,813354201,"Never Let Me Go",Books,4,0,0,N,Y,"Four Stars","Great book! I love it!",2015-08-26
US,28145790,RD1RAAIU3TDC5,1400078776,813354201,"Never Let Me Go",Books,4,1,1,N,Y,"good story but I was left wanting more from the ...","good story but I was left wanting more from the overall plot.  a few unanswered questions is fine, but too many and you feel like the author could have taken the story further.",2015-08-20
US,25340991,R1MEPESNR0SKU9,1400078776,813354201,"Never Let Me Go",Books,4,0,0,N,Y,"Four Stars","Enjoyed the premise, the subject and the writing.",2015-08-17
US,44717640,R1VVV9G153CV8Z,1568955146,97242459,"Never Let Me Go",Books,5,0,0,N,Y,"Hardcover","Great  book but I wish it was in hardcover I went through two paperbacks already",2015-08-17
US,12965159,R1I2XUYUQWPYS9,1400078776,813354201,"Never Let Me Go",Books,4,0,0,N,N,"Human Enough","A difficult book to classify - is it sci-fi, is it realism, and does it matter?  Ishiguro tells the story of Kathy H., who grows up in a boarding school, Hailsham, and makes two lifelong friends, Ruth and Tommy. Her relationship with the pair is complicated and fraught with the kind of tension one would expect in a triangular love affair. Ishiguro gets under the skin of this trio and, with calculated and deliberate care, teases out the intimacies, jealousies, and contradictory feelings Kathy struggles with growing up in Hailsham and when they eventually graduate and live in &#34;the Cottages&#34;.  Ishiguro's sometimes painstakingly detailed deliberation on the humanness of his characters is perhaps not just indicative of his realist sensibilities, but as a way to bring his larger concerns to the fore. Whether that is completely successful is perhaps not as clear. The reader soon wonders why Kathy and the other students never mention any families and relations. Are they orphans? Why is it they never venture out beyond the school grounds and instead create myths that they half-heartedly believe about the terrors that lurk up on the hills behind the school buildings? Words like &#34;donations&#34;, carers&#34;, &#34;deferment&#34;, &#34;possibles&#34; and &#34;completing&#34; also slip into the dialogue seamlessly and their true meanings become clear as the story progresses. A mysterious lady and possibly a school benefactor they just know as Madame comes regularly to peruse the children's art pieces and creative writing, to presumably select them for her &#34;gallery&#34;. A passionate teacher who feels the children needs to be told more about what lies ahead in their lives leaves the school abruptly.  That Kathy takes the role as narrator helps the reader see things from her perspective, and we find out along with her the destinies of people like her, which throw up questions about what it means to be human, if art is proof of a soul, and the new possible worlds that science and technology can offer to us, and if we should be so hasty as to embrace it all. Perhaps in his keen eye on the characters, these latter larger issues, when they surface, become swallowed up and at best, stand at the margins. Nonetheless, the the novel is a fine example of what some critics call &#34;slipstream&#34; in the way it blends sci-fi and literary fiction.",2015-08-16
US,43849817,RGJFKKGOLL4XU,1400043395,813354201,"Never Let Me Go",Books,5,0,0,N,Y,"Five Stars","Gorgeous and sad!",2015-08-09
US,35276800,R1J9LPM8L5E4UV,1400078776,813354201,"Never Let Me Go",Books,2,0,0,N,N,"No thank you.","I feel somewhat squeamish giving an unfavorable review to such a reputed author, but I also feel it's important to keep things real. I read this book giving it my full attention and trying to immerse myself fully in the story. And while I did get into the story somewhat, I didn't care about any of the characters by p. 5 and I didn't care about any of the characters in the final chapter.  The story is structured around several mysterious incidents that occur at Hailsham and so it is somewhat intriguing. Something seems to be going on with Tommy's drawings. I shall read further to find out what all the fuss over these petty childhood drawings. Why is the older woman crying to find Kathleen dancing with a pillow? I shall read further to find out! In the end, the great mystery SPOILER is not much of a shocker. All the kids are merely organ donors. And so that is supposed to be the point: that when something gruesome like this actually occurs, we will roll over and barely notice how unethical it is. That Ishiguro sets it in the present/recent past further underscores this point. Those who gave this book five stars tended to emphasize its larger message, but I don't read a book for its larger message. I can get that from the synopsis. I read a book to feel something. The protagonist of this story didn't want anything. And in fact because she didn't want anything, it is somewhat unbelievable that she would be motivated to tell this story. The book might have been more interesting from Miss Emily's point of view. She would have written with more urgency, but then we wouldn't have gotten the insight from the Hailsham residents themselves. Too bad the Hailsham residents were super boring.",2015-08-07
US,35401829,R2L3LH7KGX9T4C,1400078776,813354201,"Never Let Me Go",Books,5,0,0,N,Y,"page turner","Very much enjoyed. Nice twist that was unexpected. Stayed up late to find out what happens next...",2015-08-05
US,47015397,R2H98YUXGGXNT5,1400078776,813354201,"Never Let Me Go",Books,4,0,0,N,N,"Strange and Fascinating Story","This was my book by Ishiguro, but I have since read The Remains of The Day, and will not stop there. Never Let Me Go is not a book I would ordinarily have been drawn to, but I read it for a lit course, and was instantly absorbed. The characters, the premise, the setting all have something unsettling, something that makes you want to know more, and at the same time, step away.<br />The novel is very thought-provoking, in that it questions ethics and the morality of cloning, but not only that, it really makes you think about what it is to be human and to be free. I wrote a long paper about this book, so you'll forgive me for keeping the review short, but it really is worth reading, and short as the novel is itself, you have no excuse not to!<br />By the way, if you've seen the film and found it off-putting, read the book, it is so much deeper and gives you so much more information about the characters.",2015-08-03
