marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
US,2460685,R193XX3NJO8WE4,0140283293,303305496,"On the Road",Books,5,0,0,N,Y,"Five Stars","Kerouac is an amazing author but I'd read one of his other ones first.",2015-08-29
US,10670116,R3ELA0LQ4C1C9H,0140283293,303305496,"On the Road",Books,3,0,0,N,Y,"and was not my favorite. Overall","It's a stream of consciousness type of book, and was not my favorite. Overall, I didn't think it lived up to the hype.",2015-08-28
US,25333180,R3TAJOEI25YS6I,0140283293,303305496,"On the Road",Books,4,0,0,N,N,"However","I love this book.  I've loved it time and time again.  Spent hours reading it....However, I never finish it.  I get over halfway through and I don't continue.  The reason why is that I don't feel it going anywhere.  He just keeps traveling and new companions come in and out of the story and his perceptions of people change but the book it just keeps going.  It is the longest 307 page book I have ever held in my hands.  The time I spend with it is what keeps me picking it back up but eventually I have to go &#34;alright already&#34; and I put it back on the shelf to once again retrieve a year or so later.",2015-08-23
US,31902675,RXIZSBXO4P2UM,B002HLFXMU,303305496,"On the Road",Books,3,0,0,N,N,"On the Frog and Toad","“On the Road” is the quintessential road novel (1957) by author Jack Kerouac. It is a pseudo-autobiographical work based on Kerouac, and his friends, own travels across America. The story’s main character Sal Paradise (who is in fact Kerouac’s alter ego) admires friend Dean Moriarty for his care-free and hedonistic spirit. Moriarty’s obsession with late nights, women, and “Jazz” become increasingly uncontrollable throughout the novel.  - A famous quote from the novel encapsulates the essence of the novel beautifully: “the only people for me are the mad ones, the ones who are mad to live, mad to talk, mad to be saved, desirous of everything at the same time, the ones who never yawn or say a commonplace thing, but burn, burn, burn like fabulous yellow roman candles exploding like spiders across the stars” - “On the Road,” along with Allen Ginsburg’s “Howl,” is one of the most defining pieces of literature of the post war beat generation. The “beat generation” was a phrase that Kerouac himself coined for the new anti-conformist, hedonistic and existential youth movement of the time. The word “Beat” being derived from the idea of being beaten down or from the musical connotation of being “on the beat.” This is very apt seeing that Jazz is very definitely one of the themes of this novel and seeing that Kerouac’s sentence rhythms even resemble the jazz beat. Kerouac has very beautiful prose and weaves a wonderful web of imagery. This is a story about people, places…middle America, and the road trip that doesn’t end. It is indeed a long and sprawling story of almost Odyssian proportion, and is not without its life lessons.",2015-08-17
US,19991722,R1AK2F8ADRTYP5,1628541482,96622890,"On the Road",Books,5,0,0,N,N,"It was my genuine pleasure to read.","Michael Sidebottom is a  natural and amazing author. His poems  and thoughts  flow like water, slowly streaming the tales of his life. You can tell how good he is. He made me want to be a poet!  Kidding aside, his book gave me insight for understanding more honestly, and hopefully more wisely, the lives of the friends and relatives who have walked his road. I'm grateful.",2015-08-16
US,26403638,R23T9ET5IYYKXW,0140283293,303305496,"On the Road",Books,5,0,0,N,Y,"Five Stars","Bought as a gift",2015-08-15
US,2010365,RHAOC13BQKB9W,0140283293,303305496,"On the Road",Books,5,0,0,N,Y,"Five Stars","The book instantly made me purchase The Dharma Bums when I finished it.",2015-08-12
US,184111,R2EWZMEXC7RPCE,0140283293,303305496,"On the Road",Books,1,1,3,N,Y,"Wrong Book","I though this was the &#34;on the road&#34; by the famous TV personality John Karult. What a disappointing suprise",2015-08-06
US,18244285,R3N7LI1SMBR5BP,0140283293,303305496,"On the Road",Books,2,0,2,N,Y,"Two Stars","screwy",2015-08-03
US,10823480,RAIAR2U1VHGPG,0140283293,303305496,"On the Road",Books,5,0,0,N,Y,"Five Stars","So much fun to read!",2015-08-01
US,17408685,R356RRKOK9STWP,0140283293,303305496,"On the Road",Books,5,0,0,N,Y,"great purchase. All transactions should be like this","great purchase.  All transactions should be like this.....<br /><br />Peace<br /><br />Roger",2015-08-01
US,17659842,R1OBULXXU0AY40,0451081986,303305496,"On the Road",Books,5,0,0,N,Y,"Five Stars","Very Well",2015-07-27
US,1348875,R2PR8XFUIBRLT5,0140283293,303305496,"On the Road",Books,5,0,0,N,Y,"Five Stars","awesome",2015-07-26
US,227642,R2A0GQSNTRYUNA,B004UZ7SQ0,303305496,"On the Road",Books,5,0,0,N,Y,"On the Road","Many people have many different opinions on this book. Many have said it was over hyper but I enjoyed it very much. I am reading it for my junior year summer assignment. I recommend this book for adventure seekers! Package came quick and book was in good condition.",2015-07-20
US,49069475,R2PUG43PFGIP9C,0140283293,303305496,"On the Road",Books,4,0,0,N,Y,"Four Stars","Read years ago, purchased recently for a twenty-four year old former &#34;Little Brother&#34; lost and fearful .in today's world.",2015-07-19
US,50483358,R3D88DUPF2DXOH,0140283293,303305496,"On the Road",Books,1,3,4,N,N,"Dreck!","I'm not sure which was worse, Kerouac's foggy and repetitive story or Will Patton's breathless narration of it. Undoubtedly, they are suited to one another. I listened to this audiobook over several weeks with many interruptions, but it didn't matter. Whenever I rejoined the story, Dean and Sal and their many disreputable friends, were blowing into some town, getting drunk and high, abusing the women they encountered and betraying any kind of trust anyone ever extended to them. It's not only that it's an ugly story, but Kerouac tries to invest it with &#34;coolness,&#34; whatever his warped conception of that might be. This attempt add a gloss of &#34;hipness&#34; to this narcissistic claptrap is what really dooms this book. I'm surprised that I made it all the way through, but it's reputation as an authentic representation of the Beat generation sucked me in and compelled me to finish, just so I could defend my terrible opinion of it by saying that I really did read it.",2015-07-15
US,38077795,R2P2GHW60LV4TI,0140283293,303305496,"On the Road",Books,5,0,0,N,Y,"Great read","I've never been more inspired to get out there and explore life than after reading this novel.",2015-07-10
US,17989694,R2QYNA8YOZ86A5,0140283293,303305496,"On the Road",Books,5,0,0,N,N,"One of the greats","I know it's not everyone's cup of tea, but I adore this book.<br />It's probably based off when I read it just as much as the book itself-I was restless and your stereotypical angst ridden teen. One of my teachers recommended this book to me-I had just finished Catcher in the Rye and wanted something with kind of a similar feel-and I loved it.<br />To me the novel is about youth and freedom and the search for purpose in a life that doesn't really have much of it. Kerouac's writing style is a bit rambling at times but the characters are likable and the pacing is good",2015-07-04
US,273223,R24O7PYE64DTYW,0140283293,303305496,"On the Road",Books,4,0,0,N,Y,"Great","Great read...a classic",2015-06-25
US,53013109,R3QAD7T9WO9QKB,0140283293,303305496,"On the Road",Books,5,0,0,N,N,"Nothing else like it has ever been written.","Mandatory reading for anyone who professes to understand the &#34;Beat Generation,&#34; an important part of American cultural history. It's unique and unforgettable, much like One Flew Over the Cuckoo's Nest.",2015-06-23
US,15164775,R4WL4CMRS78D0,B004UZ7SQ0,303305496,"On the Road",Books,4,0,0,N,N,"Skimming the surface of misery","Although it’s usually not conceived of as such, On the Road is basically a race between two impulses, a thriller to see which will come out ahead at the end. The first impulse: a giddiness for life and place, in which all America is sacred and awe can be invoked merely by the invocation of place names (New Orleans, Denver, San Francisco). The second impulse: self-destructive madness that drives men downward into poverty and eventually death. (The life expectancy of a Beat — not so good.) And I do mean men literally: the women act as a battered and long-suffering Greek chorus for decency, common sense and banality.<br /><br />The ecstacy takes an early lead but despair is never far away. Indeed, it’s ever present and it’s reality is only veiled by the sheer breathlessness of the prose. After the dazzling description of the first trip out to San Francisco, however, the sheer misery gets harder and harder to fig leaf, and it’s increasingly unclear what will be triumphant at the finish line.<br /><br />This is not to suggest that these two impulses are unrelated. Rather, they’re like the two helixes of DNA each imagining that they can somehow get ahead of each other but in truth immortally intertwined. (These helixes bolted together by chemicals, especially alcohol, for self-medication and for fuel for euphoria.) If you compare the last couple of sentences of the last two chapters, it becomes fairly clear that Kerouac himself is unsure who won.<br /><br />So, ultimately, what is one to make of all of this? It’s clearly more than just “typing” to use the famous dismissal of it. But there is something literal and relentless about the prose, as if it’s afraid to slow down out of fear feeling the enormity of the pain. It comes across as itself crazed: “We went there. Then we went there. We met so-and-so. We were all unhappy. We stayed a few weeks.” It’s brilliant and exhausting, but perhaps not in a completely good way.<br /><br />My own sense is that the loser in this race was myself. As someone who seems to be repeatedly two or three degrees of separation serious mental illnesses and helping people cope with damage I never see inflicted, as the novel progressed, I found myself increasingly unsympathetic to the “madness as shamanic vision” that sees something holy in the main characters’ inability to keep their act together enough to conform — rebellion ought to be clear eyed — and increasingly sympathetic to the stream of minor characters who voice distaste for and have to clean up after the getting of kicks. In places the narrator seems to feel the same way. Indeed, his own count of the number of kids Dean Moriarity sired across the country is what began the bad aftertaste in earnest. (And yet, I find myself now more disposed toward reading Kerouac.)<br /><br />As an aside, a pleasure in reading On the Road that Kerouac could have never anticipated is the sheer alien quality of the life he describes, in which you buy a newspaper to get a weather report or start off on a road trip in hopes that the hitchhikers can contribute enough toward gas to get you to your final destination. No smartphones and a lot less stranger danger.",2015-06-14
US,38487743,R117YUQ780QR1S,0140283293,303305496,"On the Road",Books,5,0,0,N,Y,"It's a Classic","I know that this book is a classic, and I know that some people can't see what the big deal is, but I loved it.",2015-06-11
US,13064347,RQY385V0H70YO,0140283293,303305496,"On the Road",Books,1,0,2,N,N,"Clever marketing","Incredibly smart promotion by labelling this &#34;Beat Generation&#34; literature does not hide a poorly written mess with absolutely ZERO plot.<br />I could find no redeeming qualities for this boring rambling novel. Characters entered & exited the book with no purpose or point.<br />Absolutely horrendous & very close to the worst mind-numbingly awful book I've ever had the misfortune of reading.",2015-06-09
US,2783422,R2X9M2XYDT392Z,0140283293,303305496,"On the Road",Books,5,0,0,N,Y,"Five Stars","All good.",2015-05-30
US,27158176,R1D89SH7ZTUHDD,0140283293,303305496,"On the Road",Books,2,2,3,N,Y,"An iconic disappointment - Or it just wasn't for me","This book came highly recommended and I was excited to read about the personal cross country travel experience of the writer since I've pedaled across the country twice myself. I struggled to read more than a few pages at a time but was determined to get through the book just in case the reward was buried somewhere near the end. It wasn't. The book is a haphazard dump of information that lacks structure. The author is all over the map to a point where I feel like I am surrounded by many people talking to me at once, unable to understand any of them. I'm not sure how this work became the icon that it is portrayed to be but I didn't feel that it was worthy at all. Unless you are forced to read it I would look for something else. I could have read four good books in the time it took to read this one, but it did make me appreciate what a really good book is.",2015-05-26
US,2456368,R12YY37GR8159X,B004UZ7SQ0,303305496,"On the Road",Books,2,1,4,N,Y,"It was very difficult to read because the author writes ...","It was very difficult to read because the author writes it in a rambling way.  It is much simpler to just read it on Sparknotes",2015-05-24
US,2711694,R1A0KJHG9SGD5A,0140283293,303305496,"On the Road",Books,3,0,1,N,N,"I Don't Know Anything About Literature, But...","For the narrative unit in my senior English class, I chose to read On the Road by Jack Kerouac. I had heard of Kerouac before and the description on the back of the book attracted me with mentions of jazz, drugs, and the Beat movement. However, On the Road seemed more an indulgence in nostalgia than a celebration of the Beat era. The narrator, Sal Paradise, outlines his wild travels back and forth across the United States and Mexico. Along the way, Sal befriends all sorts of characters, including bums, waitresses, prostitutes, saxophonists, and junkies. The book is paced feverishly, so the reader never really sees relationships develop between Sal and the other characters. I would not recommend this book to today’s young readers. The plot is spastic and glorifies entropy. Apathy prevails as the central emotion to the plot. On the Road is prettily written, but it lacks a sense of purpose. By halfway through the novel, the reader tires of hearing over and over about Sal and Dean’s pointless debauchery and aimlessness.<br />Jack Kerouac’s style is very recognizable. Kerouac uses incredibly descriptive imagery, usually pertaining to landscapes and people. In Mexico, Sal describes how “Dawn came rapidly in a gray haze, revealing dense swamps sunk on both sides, with tall, forlorn, viny trees leaning and bowing over tangled bottoms” (Kerouac 296). Even insignificant characters are described in detail. A man who appears for only two pages is described in this way: “The other cop, Sledge, was tall, muscular, with a black-haired crew–cut and a nervous twitch in his neck…He wore a revolver down low, with ammunition belt, ad carried a small quirt of some kind, and pieces of leather hanging everywhere, like a walking torture chamber” (Kerouac 67).  Kerouac is also partial to long, compound sentences, which often reach paragraphs in length. These give the book a sense of restlessness, like the plot simply does not have time to stop for periods. While staying ata friend’s house, Sal describes the goings-on: “In the house Jane sat reading the want ads in the living room; Bull was in the bathroom taking his fix, clutching his old black necktie in his teeth for a tourniquet and jabbing with the needle into his woesome arm with the thousand holes; Ed Dunkel was sprawled out with Galatea in the massive master bed that Old Bull and Jane never used; Dean was rolling tea; and Marylou and I imitated Southern aristocracy” (Kerouac 148). Kerouac’s attention to detail and long-running sentences require a reader to have extreme patience and a long attention span. Therefore, the book is more suitable to adults than to teenagers, who cannot focus as attentively.<br />Sal’s experiences are semi-autobiographical, reflecting Jack Kerouac’s life as a Beatnik. While Sal’s experiences are filled with more adventure than the average person will experience, his story is still relatable in some ways. I feel, and I know many other young people do as well, the same urge to travel and explore that strikes Sal from time to time. As someone just coming into adulthood, I sympathize with Sal’s feeling of displacement- he feels more at home on the road than he does in his aunt’s house in New Jersey. When Sal and Dean go into fits of ecstasy at jazz clubs, I relate to their euphoria, because I find purpose in music. However, some of Sal’s antics make him difficult to relate to. It is obvious that that author has a fondness for Sal, since Sal is a reflection of the author himself. But Sal’s complacency and lack of motivation make him seem more of a moocher than a drifter. He is barely developed as a character- by the end of the book, the reader still does not know what Sal wants out of life or even how he feels in general about his exploits. Since Kerouac defines his characters mainly through their experiences, the reader pieces together a portrait of the characters very slowly. For instance, Old Bull Lee is characterized in a briefsnapshot: “Bull had found a great big piece of thick rotten wood and was desperately yanking with a hammerhook at the little nails imbedded in it… ‘When I get all these nails out of this I’m going to build me a shelf that‘ll last a thousand years!’ said Bull, every bone shuddering with boyish excitement” (Kerouac 149). From this brief encounter the reader sees that Bull Lee is excitable and impulsive, though it takes many events such as this one to build up a workable image of a character. This method of characterization is effective and interesting, but takes a long while to reach its intention.<br />The plot of On the Road is organized essentially in a chronological fashion. The pacing is very fast, and the book spans many years of Sal and Dean’s adventures. It was difficult to stay engaged with the plot, since events were repetitive in theme and happened with dizzying quickness. Sal is in California when he muses, “I went on the SP tracks and balanced along the rail. I passed a watertower and a factory. This was the end of something” (Kerouac 101). Sal is suddenly moving on to another, unrelated chapter of his life, with little fanfare and not enough transition time. While this spasticity helped me understand the impermanence felt by members of the Beat movement, it was difficult for me to really involve myself in the plot of the book.<br />On the Road is well-written, but in my opinion lacks substance. I would recommend it to anyone trying to understand Beatniks, and perhaps to fans of mid-century American literature. I would not recommend it to anyone else, as I finished the book feeling very little about the story or its characters.",2015-05-21
US,3175364,R1HOPT7GQLVJ0K,0140283293,303305496,"On the Road",Books,4,0,0,N,Y,"The book is boring: ( but I needed to read it for ...","The book is boring : ( but I needed to read it for my English class.",2015-05-12
US,33337012,R34ZP25O34CE3H,B004UZ7SQ0,303305496,"On the Road",Books,4,0,0,N,Y,"Four Stars","book was purchased as a gift",2015-05-10
US,21030314,R221DZMM7XU8XA,0140283293,303305496,"On the Road",Books,5,0,0,N,Y,"Five Stars","Throughly enjoying on the road. Kerouac's writing is delightful and places me on the road with him.",2015-04-25
US,44559933,R2MBOL911RQ58T,0140283293,303305496,"On the Road",Books,4,0,0,N,N,"Four Stars","A Beat Classic!",2015-04-25
US,11548226,R2WEKYUNTLLOR0,B000PC6354,303305496,"On the Road",Books,5,0,0,N,Y,"A great story about America Young people of 50 year","A great story about America  Young people of 50 year;a certain form liberty across the ship...A great author",2015-04-03
US,14153540,R2WCN7FWKU1B5A,0140283293,303305496,"On the Road",Books,5,0,0,N,Y,"Read It! This is not coming out as a video!","This is an American classic. Required reading. This is my second time through after a great many years",2015-03-24
US,10689839,R3IZFKSYW3KKFL,0140283293,303305496,"On the Road",Books,4,0,0,N,Y,"Four Stars","A great romping road trip",2015-03-14
