marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
US,12128017,RUH1W1QLJFNF5,0451163966,808414399,One Flew Over the Cuckoo's Nest,Books,4,0,0,N,Y,"Four Stars","Great book",2015-08-30
US,50828180,RN2HS0EHF7Z5L,0451163966,808414399,One Flew Over the Cuckoo's Nest,Books,4,0,0,N,N,"It's still the truth even if it didn't happen","I first read Kesey's Cuckoo's Nest back in high school, roughly around the same time our psych teacher screened the Jack Nicholson film for us, and loved it. It's not hard to see why: the novel is beautifully written, with one of the most interesting unreliable narrators in all of fiction, and has enough FIGHT THE POWER to satiate any teenager.<br /><br />What's odd is what I remembered about it in the years between readings. The ending stuck, obviously, along with the gist of the plot - non-crazy man pretends to be crazy to get out of jail and winds up discovering just how insane the world can be - but if you'd said One Flew Over the Cuckoo's Nest to me, the image that my mind would immediately have conjured would be the surreal night terrors of Chief Broom, trapped in bed as the bottom drops out of his world revealing the true machinery of life, where men are strung up on meat hooks before being sliced into rust and ash.<br /><br />So I remembered the metaphor and the prose, and happily forgot the underlying racism and misogyny. I've no problem at all with the antagonist being a vile, controlling woman, but it's hard to sympathize with a hero whose suggestion for improving her temperament is sexual assault. I take the work as a product of its age...but still. Gah.<br /><br />Kesey's novel is still vibrant and riveting, and though the passing decades and (thankfully) changing times make its imperfections seem more glaring, its underlying message about living in a world that chews up and spits out anyone who doesn't conform to the rules and standards of normalcy remains as pertinent as ever. So it's still the truth...even if it didn't happen.",2015-08-29
US,45775600,R12NXY4MGJ3873,0451163966,808414399,One Flew Over the Cuckoo's Nest,Books,5,0,0,N,Y,"Five Stars","LOVE this book.  Everyone needs to read.  Not a long book, don't let it intimidate you.",2015-08-13
US,44532076,R2T3J4UDHI06QP,0451163966,808414399,One Flew Over the Cuckoo's Nest,Books,5,0,0,N,Y,"Five Stars","great read",2015-07-31
US,39089832,R3SIWCFAZU0FY3,0451163966,808414399,One Flew Over the Cuckoo's Nest,Books,5,0,0,N,Y,"Who's the bull goose loony here?!","This book takes you on mental mind trips, but you can't help falling in love with Chief, McMurphy, and Martini.  They are endearing and quirky and McMurphy, beneath his tattoos, scars, and big hands, is a guy who just wants the best for the patients on the ward.  It's a classic and a must read!",2015-07-23
US,626142,R1AZ1XLX7BSTWJ,0451163966,808414399,One Flew Over the Cuckoo's Nest,Books,5,0,0,N,Y,"Pretty good conditions for $0","Bought this book for my summer project. Pretty good conditions for $0.45.",2015-07-08
US,33763414,R2XAR75SJGDQEO,0451163966,808414399,One Flew Over the Cuckoo's Nest,Books,5,1,1,N,N,"A great book! Good character development and a very realistic ...","A great book! Good character development and a very realistic view inside a mental hospital! Much better than the movie! Even some parts that tug at the heart strings! I pretty easy read for such a classic book!",2015-07-08
US,38572341,R3IJ94CALCUX09,0451163966,808414399,One Flew Over the Cuckoo's Nest,Books,4,0,0,N,Y,"Four Stars","An American classic that fits well in any collection.",2015-07-07
US,23988233,R2NC1HNA7PQ24T,0451163966,808414399,One Flew Over the Cuckoo's Nest,Books,5,0,0,N,Y,"An American Classic","What's left to say after all these years? One thing I like is how closely the movie follows the book; watch the movie first and then when you read the book there will be all these visuals to compliment the text, as well as giving a face to the characters ( Louise Fletcher is picture-perfect as Nurse Ratchet and Jack Nicholson IS McMurphy! ) One of my favorite novels.",2015-07-05
US,52803741,R1GP93P0RY9M6G,0451163966,808414399,One Flew Over the Cuckoo's Nest,Books,1,1,4,N,Y,"Beware","The story is not the issue. The physical quality of the book is very poor. The print size almost requires a magnifying glass and clarity of the print varies from page to page — virtually unreadable. Don't buy it.",2015-06-30
