marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
US,10817620,R382AVB13U7EN1,0679735909,627682796,"Possession",Books,1,0,4,N,Y,"One Star","Have not finished the book and doubt if I will.",2015-08-18
US,30507198,R3977AC99QXGDB,0679735909,627682796,"Possession",Books,5,0,0,N,Y,"A Tour de Force","A.S. Byatt proves that she is well-deserving of her famous double-starred first at Cambridge.  The lady can write literature and write &lt;i> about &lt;/i> literature all while maintaining a postmodern fascination with the politics and ambiguities of criticism and history which is just dazzling, says the academic.  It made my work or the idea of my work seem sexy.  &lt;i> Possession &lt;/i> is absolutely spot-on in its characterization and mimicry of scholarly types and also slyly surveys (and undercuts) the history of criticism from Leavis to Derrida and Cixous, but what is even more remarkable is that Byatt fully inhabits her Victorian poet-lovers and writes their verse and correspondence with a skill that rivals the erudition of the Brownings or Rossetti, if one can overlook (and I am more than willing) its obvious knowingness and sense of the post-Freudian subconscious.",2015-08-03
US,32009663,RVO91WW6ZFWER,1451644329,99407977,"Possession",Books,3,0,0,N,Y,"ok","ok",2015-07-13
US,24407135,R1B4YTXRW2EZZO,075283746X,687803613,"Possession",Books,3,1,1,N,N,"Confused","I'm a great fan of Peter James, but this book left me wondering what was going on!  Perhaps I missed something but what was Otto's role? Was he possessed by Fabian? You can see how confused I am....,can anyone please tell me what they think?",2015-07-06
US,15029685,R10I8SC8W1DJ0Z,0679735909,627682796,"Possession",Books,5,0,0,N,Y,"Rich language - Great story.","Excellent story. Rich vibrant language. Best book I have read in years. Rob",2015-06-20
US,18582782,R1F01DA28MOTM9,0679735909,627682796,"Possession",Books,5,0,0,N,Y,"Five Stars","all as promised",2015-04-05
US,42147057,R2WW6T03RKUUVN,0679735909,627682796,"Possession",Books,5,1,1,N,Y,"Two great romances -- a glittering outburst from Victorianism, and an accretion of allegiance in modernity's wilderness","This is an engrossing, imaginative and sometimes breathtaking work.  It tells the story of two couples -- 19th century poets, and contemporary literary researchers. It delivers two romances, one a glittering explosion bursting out of the Victorian culture of repression and the other an accretion of solid affection and allegiance in the modern world of unboundaried individualism and alienation. It gives us the world of modern academia from all facets -- its pettiness and human meanness yet also its meticulous pursuit of fact and commitment to objectivity and diversity. The writing is thoughtful, deep and devoted to showing myriad personalities with clarity and fairness, in all their human frailty and splendor.",2015-04-04
US,5184180,R50BY54434ZXN,1442421266,943483536,"Possession",Books,5,0,0,N,N,"Fast paced and Intriguing dystopian world","Control or be controlled.<br /><br />This was a fast paced, action paced and romance paced dystopian novel that had me flabbergasted at how cruel and powerful the Thinkers are. Violet lives in a world where everything is controlled: what you wear, what you do, what you eat and etc. Any form of personal style is illegal and will get you punished by The Thinkers. Oh, you have to be plugged into transmissions that control what you think about. Violet is not a girl who likes being told what to do at all and because of that she unplugs from her transmissions and breaks the rules.<br /><br />Zenn or Jag.<br /><br />Zenn who she was Matched with and who she thought she loved or the Baddie who she is roomed with in jail and falls in love with him. Sometimes I wanted to punch Zenn and Jag in the face for some of the stuff they did. The twists that were put in this book was not expected. I can't wait to read the novellas, hopefully it will make me change my mind about how Zenn was in this book.",2015-03-27
US,43374541,RXL7J00D33OCT,1451644329,99407977,"Possession",Books,4,0,0,N,N,"Recommended","This is an excellent book, but I was soo disappointed when I got to the end and found out it was fiction.  Oh well, it was still a very good read.  A little unreal, but sometimes that is how real life is.  It drew me in and I felt like I was right there.  I recommend it.",2015-03-23
US,52799348,RQXIQF1NG3LS7,0679735909,627682796,"Possession",Books,5,0,0,N,Y,"This book is a delight!.","I had no idea that I would enjoy this novel as much as I did.  It combines the elegance of the Romantic era poets with the pragmatism of the modern investigators. It is a romance and a mystery too.  What I really loved about this novel was its depth and scholarly presentation through letters, journal entries, historical comments, and the actual poetry of the characters.  It is unlike many of the current novels that have a bare bones plot and character description.  The language of Possession is lyrical and solid, complex and beautifully written.  I have to say that the reader has to be motivated to undertake reading a novel of this stature, but the rewards of delving into its depth are many.  It is a pure joy!",2015-03-14
US,37077068,RYIK32GW7OB3F,0679735909,627682796,"Possession",Books,5,0,0,N,N,"A novel in which everything goes mysteriously right...","Very occasionally you run across a novel in which everything goes almost mysteriously right--the author finds a story, a terrain, a tone exactly suited to her gifts.  In POSSESSION (Random House, 1990), with several volumes of fiction and criticism behind her, A. S. Byatt hit form--but what a form!  It's subtitled \\""A Romance,\\"" which  sets you up for a heightening of emotion as well as a certain latitude about probability, but POSSESSION is one of those wonderful books that flies all over the place--mystery, historical novel, love story (doubled--cubed, actually), a whopping satire of academic life--and yet it remains serenely under command.  The protagonists are each expert in  nineteenth century poetry; a letter surfaces suggesting an unsuspected connection between their two favorite poets; and you're off, the letter triggering a series of parallel pursuits, like the pirated cassette in \\""Diva\\"".  The grandstanding is in Byatt's invention not just of the two poets but of their poems and stories, each a clue to the plot; but the richness is in the bug-eyed energy with which Byatt's characters hit you--poets, professors, pedants and all, ringing as many changes on that one-word title as you can imagine.  It's a brilliant book and a splendid read.    Glenn Shea, from Glenn's Book Notes, at www.bookbarnniantic.com",2015-02-24
