marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
US,38809987,RADS943YPP7JY,0452279070,956761338,Ragtime,Books,5,1,2,N,Y,"Five Stars","Wonderful writer who had a long and lovely life!!",2015-07-22
US,49952264,R3CZC2CRR1QHWT,B001Z3B8UW,956761338,Ragtime,Books,5,1,1,N,Y,"WORK OF ART","RAGTIME is a work of art==one of a kind",2015-06-25
US,24796716,R1N747YNYAIWVT,B001IDAJWM,956761338,Ragtime,Books,5,0,0,N,Y,"Five Stars","This a must-read to learn about the history of the early 20th century.",2014-10-20
US,15162921,R2EAA81ILLLYMX,B001Z3B8UW,956761338,Ragtime,Books,5,0,0,N,N,"One of my new favorites.","This was a most impressive read for me. Certainly it was far superior in content and depth to the later productions of the movie and the musical.<br />Doctorow skillfully blends the lives of fictional and historical characters who's lives interweave with one another in varying ways. Underneath the web of relationships and the variety of intentions of each character is, this sense of how interconnected and interwoven everyone's life is with one another. In some cases seemingly trivial gestures have what are significant effects on another character's life, as with Houdini and his encounter with a child. At other times the actions are overt and wide ranging from the machinations of Henry Ford and J.P. Morgan to the efforts of Coalhouse Walker Jr. to seek justice. In most cases all the characters while consumed with their own desires and efforts to find their way in life are asleep to the many and profound ways each of us impact others. The interactions in the story are not only fascinating, but for me was food for thought about my own intentions in life and how aware I am of my own impact on others and how aware I am or not about what it is other people are feeling and going through each day.<br />Doctorow's style is such that he can say so much in a short turn of phrase that tells a great deal about the setting or the character(s), His writing is skillfully fluid and I enjoyed the way he moved in and out of the various lives of the many characters in the book. It was never hard to follow at all, but kept you on your toes. It was a book I couldn't put down, all the while not wishing it to end.<br />The book fleshes out so much more than the movie was ever able to. For those who saw the film and haven't read the book, you'll realize that it's almost a totally different story with far more plots, characters and situations than the film revealed and even differing intentions and goals from some of the main characters.<br />This will be one of the few books I know I will read again. I highly recommend it.",2014-07-22
US,12570572,R1FV8V7K4D1IOF,B0060P4ROO,956761338,Ragtime,Books,5,0,1,N,Y,"Great Time","This is a wonderful, if sad and sobering, portrait of the early Jazz age -- the colorful characters, excitement, sense of big changes to come, but also the bigotry.  The prose is declamatory -- if you're looking for a fancy turn of phrase, this isn't the place to look -- but compelling.",2013-09-09
US,38958140,R2HMWGDHUW1PK3,0452279070,956761338,Ragtime,Books,5,1,2,N,Y,"Amazing!!!","I bought this book for my college english class and it is exactly the way the drescription describes it it was used but great quality for a second hand!!",2013-01-26
US,53020440,R16BPSDTH0QSLB,0452279070,956761338,Ragtime,Books,4,3,4,N,Y,"A world recomposing itself","This line sums up the book's message to me:<br /><br />\\""It was evident to him that the world composed and recomposed itself constantly in an endless process of dissatisfaction.\\""<br /><br />\\""Ragtime\\"" is set in pre-WWI America where technological innovation, industrialization, and immigration were converging to bring about a new world that had not yet come fully into focus. The Model T shared the road with horse-drawn fire wagons, assembly-lined factories employed masses of fungible workers who enjoyed few rights, and just 50 years after the Civil War African Americans were ascending into the ranks of the educated middle class and, on the way up, were confronted with vicious racism. Add to this mix the advent of mass entertainment, Freudian sexual awareness, and socialism and you have a time of disorienting social change.<br /><br />The narrative is centered around a WASPy family's experience with Coalhouse Walker, Jr., an African American ragtime piano player. Without introducing spoilers, Coalhouse Walker is wronged and - in defending his honor - forces the WASPy family headlong into the rushing currents of the time.<br /><br />What kept me from giving this 5 stars? Maybe it was the pacing and plot development. Multiple story lines are launched and slowly converge as the book reaches the end. At times, this approach felt tedious. But right when a yawn was coming on, Doctorow would slay me with a line like this:<br /><br />\\""His grief for Sarah and the life they might have had was hardened into a ceremony of vengeance in the manner of the ancient warrior.\\""<br /><br />This is the fourth Doctorow book I've read. (The others are \\""The March\\"", \\""Loon Lake\\"", and \\""The Waterworks\\"") The man is clearly a gifted writer and story teller. The book was published in 1975. After finishing the book, I found myself wondering how the world of the early 1970s might have influenced the book's theme.<br /><br />T: @jrmattox",2012-05-12
US,48453060,R2H67WMZZO19L4,0449214281,956761338,Ragtime,Books,4,0,1,N,Y,"A new reader to Ragtime","Dear  Amazon:  Mostly this was a good buy for the No Name Book Club.  I had hoped for less than $4.00 per item, but at the time I could not find that price, but just today I see .01 cent copies.  The bad is as follows: One of the paperback books was badly marked up with several colors of highlighters and then comments written in ink on several pages.  Nicely, Amazon refunded my money and shipping and said keep the book which I tossed in the trash.  Your responder said they did not know how that book slipped into consumer's hands.   Barbara  PS  Of course the book is outstanding!",2010-04-25
US,19922995,R1WO11IP1TTPUY,B00342VED8,956761338,Ragtime,Books,3,7,7,N,N,"sketches of a time and place","The last two books I read before picking up 'Ragtime' were Gore Vidal's '1876' and 'Empire', both historical fictions set at least partly in New York between the Civil War and the First World War.  With interwoven historical and fictional characters these books substantively have much in common with 'Ragtime', but from a stylistic perspective they differ markedly.  Whereas Vidal's characters, both real and imagined, are elaborately (and often hilariously) brought to life, Doctorow tells us little.  His historical characters are often mere outlines filled in with the most elementary of biographical detail.  An example of this is Booker T. Washington, whose appearance seems as unfulfilling and unnecessary as a celebrity TV cameo - certainly we learn nothing about the man that we did not know before.  Harry Houdini, who is presented as a tragic character, is one of the few exceptions, and here Doctorow succeeds in presenting more than the facts found in a one-volume encyclopedia.    Another major point of divergence is in the writing style.  It has been said that the short simple sentences of 'Ragtime' echo the rhythms of the music itself.  Maybe my rhythm is off, but I found them to be a distraction that impeded the flow of the writing.  Fortunately the style improves as the novel moves on - whether this is meant to signify a change in the music of the time, I don't know, but it came as a relief.    There are some great chapters in this book.  Indeed, for the first half of the book they almost seem like separate vignettes bound together by a time and place.  Given the contrived way they are eventually bound together, I almost wish they had been left alone, ala 'Winesburg, Ohio'.  There is still much to like in this book, no doubt, but it disappointed this reader.",2010-03-19
US,43340035,R19ZQTCJX21K1S,0452279070,956761338,Ragtime,Books,3,0,2,N,Y,"Required reading","Of course my student only read this novel because it was required reading for History.  For others purchasing this book for their student, be aware of the provocative language, imagery and just plain innappropriateness for kids.   Interesting read.",2009-03-01
