marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
US,33096346,RGXCSGTQH1LFP,0679722610,645212410,Red Harvest,Books,3,0,1,N,Y,"Three Stars","ok",2015-08-26
US,38002140,RBA75V94ZM67Y,1419144111,263973080,Red Harvest,Books,4,0,0,N,N,"Political Struggle in a Municipality","Red Harvest<br /><br />Donald Willsson hired a private detective from San Francisco. When the Continental Operative (CO) went to Willsson's house his young blond wife answered the door. Donald won't be home. Then he went to City Hall to visit the Police Department. Donald, the publisher of the newspaper, had been rubbed out. The CO meets Bill Quint, the head of the local IWW. He learns about the local economy. Hired thugs broke the strike then took over the town (Chapter 1). Donald started a reform campaign to clean up the town. The dirt was stronger. The next day the CO meets Donald's father Elihu Willsson the czar of Personville. He tells what he saw. Was Donald's wife involved? Elihu disapproved of Donald's policy. The CO investigates the newspaper (Chapter 2). Donald wrote a large check to Dinah Brand (Chapter 3). The CO talks to Chief of Police Noonan; they share facts. Widow Willsson explains.<br /><br />The CO visits Dinah Brand (Chapter 4). Why did she want that check certified? Knowledge of a future strike could allow a profitable investment. Dinah offered information for that money. The CO warns her. Early in the morning the CO gets a telephone call from Elihu; he wants the town cleaned up (Chapter 5). Also, a dead burglar was in his room. The CO visits the Chief, they plan a raid on Whisper's joint. They won't have to prove anything if he is shot resisting arrest. The CO learns a lesson as he enters the place (Chapter 6). The CO figures out who really shot Donald and the motive (Chapter 7). But there' more! There is a flurry of shots thru his hotel window. A warning to get out of town (Chapter 8)? Can a local boxing match be fixed (Chapter 9)? The CO learns about a hidden crime (Chapter 11). He gets a statement from a witness that will take care of Whisper (Chapter 12). A telephone from Dinah brings him there (Chapter 13). There is a surprise and conflicts. The other operatives arrive and will be put to use (Chapter 14). They travel to the `Cedar Hill Inn'.<br /><br />Dinah collects her fee (Chapter16). Chapter 17 tells about crime and punishment in Personville. As they motor to the &#34;Silver Arrow&#34; they hear gunshots. There is a peace conference at Willsson's house (Chapter 19). Will this end the gun-work? A telephone call tells what happened to Noonan (Chapter 20). The events are summarized. There is another murder under the CO's nose (Chapter 21). There are new members to the police force (Chapter 22). He learns about another murder. A lawyer calls the CO with an offer to defend him. The next morning the CO finds another body (Chapter 23). A notebook has a clue, so too four letters. The newspapers reported the news (Chapter 24). How accurate was it? Reno and his boys go for a ride (Chapter 25). There is success, then complications. The CO visits Elihu Willsson and tells him to call the governor and ask for the national guard. Then he goes to look for a deserted warehouse (Chapter 27). Does it have bootleg whiskey? The next warehouse has bodies and a solution to one murder. The CO takes a vacation, and learns how the town was cleaned up under martial law. [Will the same conditions lead to the same problems?]<br /><br />The name &#34;Personville&#34; is a generic name for all the towns named after a big land owner. Hired gunmen were brought in for strike-breaking, then took over the city. Machiavelli's Letter warned against a mercenary army: they can takeover the government that hired them. Only a citizen army is proper to a republic. Creating a militia of armed citizens could have put an end to these gangs, but they would gain political control. The 1877 strike in Pittsburgh's coal and iron industry led to the abolishment of the traditional local militia and its replacement by a state-controlled militia. Newly powerful corporations controlled state governments, the new &#34;National Guard&#34; developed into a strike-breaking force with the power of law.",2015-08-05
US,38002140,RHT4DQ3TI6PW,B003YEL8V4,645212410,Red Harvest,Books,4,0,0,N,N,"Political Struggle in a Municipality","Red Harvest<br /><br />Donald Willsson hired a private detective from San Francisco. When the Continental Operative (CO) went to Willsson's house his young blond wife answered the door. Donald won't be home. Then he went to City Hall to visit the Police Department. Donald, the publisher of the newspaper, had been rubbed out. The CO meets Bill Quint, the head of the local IWW. He learns about the local economy. Hired thugs broke the strike then took over the town (Chapter 1). Donald started a reform campaign to clean up the town. The dirt was stronger. The next day the CO meets Donald's father Elihu Willsson the czar of Personville. He tells what he saw. Was Donald's wife involved? Elihu disapproved of Donald's policy. The CO investigates the newspaper (Chapter 2). Donald wrote a large check to Dinah Brand (Chapter 3). The CO talks to Chief of Police Noonan; they share facts. Widow Willsson explains.<br /><br />The CO visits Dinah Brand (Chapter 4). Why did she want that check certified? Knowledge of a future strike could allow a profitable investment. Dinah offered information for that money. The CO warns her. Early in the morning the CO gets a telephone call from Elihu; he wants the town cleaned up (Chapter 5). Also, a dead burglar was in his room. The CO visits the Chief, they plan a raid on Whisper's joint. They won't have to prove anything if he is shot resisting arrest. The CO learns a lesson as he enters the place (Chapter 6). The CO figures out who really shot Donald and the motive (Chapter 7). But there' more! There is a flurry of shots thru his hotel window. A warning to get out of town (Chapter 8)? Can a local boxing match be fixed (Chapter 9)? The CO learns about a hidden crime (Chapter 11). He gets a statement from a witness that will take care of Whisper (Chapter 12). A telephone from Dinah brings him there (Chapter 13). There is a surprise and conflicts. The other operatives arrive and will be put to use (Chapter 14). They travel to the `Cedar Hill Inn'.<br /><br />Dinah collects her fee (Chapter16). Chapter 17 tells about crime and punishment in Personville. As they motor to the &#34;Silver Arrow&#34; they hear gunshots. There is a peace conference at Willsson's house (Chapter 19). Will this end the gun-work? A telephone call tells what happened to Noonan (Chapter 20). The events are summarized. There is another murder under the CO's nose (Chapter 21). There are new members to the police force (Chapter 22). He learns about another murder. A lawyer calls the CO with an offer to defend him. The next morning the CO finds another body (Chapter 23). A notebook has a clue, so too four letters. The newspapers reported the news (Chapter 24). How accurate was it? Reno and his boys go for a ride (Chapter 25). There is success, then complications. The CO visits Elihu Willsson and tells him to call the governor and ask for the national guard. Then he goes to look for a deserted warehouse (Chapter 27). Does it have bootleg whiskey? The next warehouse has bodies and a solution to one murder. The CO takes a vacation, and learns how the town was cleaned up under martial law. [Will the same conditions lead to the same problems?]<br /><br />The name &#34;Personville&#34; is a generic name for all the towns named after a big land owner. Hired gunmen were brought in for strike-breaking, then took over the city. Machiavelli's Letter warned against a mercenary army: they can takeover the government that hired them. Only a citizen army is proper to a republic. Creating a militia of armed citizens could have put an end to these gangs, but they would gain political control. The 1877 strike in Pittsburgh's coal and iron industry led to the abolishment of the traditional local militia and its replacement by a state-controlled militia. Newly powerful corporations controlled state governments, the new &#34;National Guard&#34; developed into a strike-breaking force with the power of law.",2015-08-05
US,14638249,R1TWZKNRCW3F29,0679722610,645212410,Red Harvest,Books,4,0,0,N,N,"An Unanswered Question","Why did Donald Willsson, the young newspaper publisher, hire a detective? The Op never tries to find this out.",2015-06-21
US,45816179,RQLDUVVDVEW2O,0679722610,645212410,Red Harvest,Books,5,0,1,N,Y,"Great prose as one would expect from Hammett from his ...","A Buffett of thrills and chills full of unexpected plot twists. Great prose as one would expect from Hammett from his tales of good vs bad, but sometimes the good steps over the line as the Op does. A blazing read that will have you reading page after page late into the nite. Pulp Noir at its very best.",2015-04-26
US,11454549,R1BDTDAODBOYW,0679722610,645212410,Red Harvest,Books,3,0,1,N,N,"a murder that is solved in the first half","This a strange story that starts out with a murder that is solved in the first half of the book, so you are left with what else can happen in this story?  I listened to this story, so I do not have a copy of the book to refer to, and can not make sure of what all was really written.  It was an excellent reading.<br /> The detective gets to the town, goes to see the man who hired him, meets that fellow's wife, she goes out after getting a phone call, comes back and shoos him out.  The next day he finds the man who hired him was killed while the fellow's wife was gone.  The ball starts rolling then – the detective finds a rat's nest of criminals and vows to clean out the town.<br /> In the end there are about a dozen deaths.  The town has been cleaned out, mostly (being Prohibition days, and in general, you just could not get rid of all of them).  I found it amazing how blithely these people could kill, and then not feel any sadness for their friends who were struck down.",2015-04-19
US,27583450,R10Y19I2IJ0DNG,0679722610,645212410,Red Harvest,Books,5,0,0,N,N,"One Of The Books That Gave Birth To The Whole Hardboiled School Of Writing","&#34;Red Harvest” was originally published in serial form in 1927 and 1928 and published as a novel in 1929.  It is Hammett’s first novel involving the Continental Op and it is dark, gloomy, and as hardboiled as it gets.  There are other hardboiled novels that feature a detective or other person coming into a corrupt town and trying to solve a murder when no one wants to help him and every hand is turned against him, but many such novels by Spillane, MacDonald, and Latimer came a decade or two after Red Harvest.  What’s remarkable about this novel is how tough, how unyielding, and how hardnosed it was.  It all takes place in “Personville” which the narrator describes as “Poisonville,” the ugliest town ever imagined both physically and metaphorically and even the dames in it are as hardboiled as they come, particularly Dinah, the toughest talking femme fatale ever imagined.  This was one of the novels that ushered in the hardboiled era of detective writing.",2015-02-09
US,23244227,RYZWU97H9YQPG,0679722610,645212410,Red Harvest,Books,4,0,0,N,Y,"Heavy on action with a decent plot","Heavy on action with a decent plot, I liked this book in spite of it being a little bloody for my taste (though not surprisingly so) and a lot of its many characters remaining relatively undeveloped. The sleuth is no Philip Marlowe, but he's a solid lead, crafty and competent. Fun read.",2015-01-06
US,46734708,REPYZO1JIN0MQ,0679722610,645212410,Red Harvest,Books,5,0,0,N,Y,"Loved it!","Wonderful book and I had no issue getting it on time. The condition was great as well.",2014-12-30
US,38392762,R1L9XV32EFR2BM,0679722610,645212410,Red Harvest,Books,5,0,0,N,Y,"Five Stars","Love it!",2014-12-07
