marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
US,51586896,R3PSAHDDWW82F,0553380958,445913,"Snow Crash",Books,4,2,3,N,Y,"Great Book!","Awesome book! It came recommended by a friend. I don't usually like sci-fi, but this was stellar. The pace was good, I was invested in the characters, and the ending was conclusive and well done (a difficult feat). I am looking to read more by Neal Stephenson.",2015-08-23
US,20525674,R3F6YCYKKMB4GS,0553380958,445913,"Snow Crash",Books,3,1,2,N,Y,"Great technological futurism for when it was written.","At the time this book was written and published the technology it prefaced was avantgarde. To read this book over twenty years after it was published is fascinating. His ability to create and describe what would be the internet, viruses and hacker issues, virtual reality, and an a sundry of other technologies is quite amazing. The take on the future of religion, nations, politics, and the public franchising of common and governmental functions is quite interesting and remains to be seen as put into practice. Impressively presented. Than being said, the characters and the story wasn't as fulfilling as the science part of the fiction. Although I am being adamantly encouraged to read a few more of his books I think I will put my reading time to other pursuits. Not to say I won't read anymore from this author, just not a Stephensonian fanatic as some other people I know.",2015-08-22
US,10765724,RS2IK9NOGESQ9,0553380958,445913,"Snow Crash",Books,4,1,3,N,Y,"Four Stars","Unusual, one of a kind, cyber punk science fiction, very imaginative.",2015-08-20
US,14505506,RGLW4NJXINKJO,0553562614,445913,"Snow Crash",Books,5,2,3,N,Y,"Mainstream, easy to read Sci-Fi","I don't want to put in any spoilers, but this is a great book.<br /><br />Pros:<br />1) It isn't just science fiction. Stephenson weaves in myth, politics, and many themes that are becoming relevant to today's society.<br />2) Stylistically, the book is really easy to read. While some of the content may not be appropriate, a fifth or sixth grader could understand the prose.<br />3) It is really fun to see many of Stephenson's ideas about the internet and technology come true in today's world.<br /><br />Cons:<br />1) The female characters are a bit underdeveloped and one dimensional<br />2) Parts can become long and droning or overly pedantic<br /><br />Overall, it is a great book that I recommend to friends. Like Neuromancer, it is a sci-fi book that non sci-fi fans can appreciate.",2015-08-14
US,12058331,R3AFJTURJ9YIHI,0553562614,445913,"Snow Crash",Books,5,1,2,N,Y,"Five Stars","fantastic. you like good sci fi? then you buy this book.",2015-08-11
US,50793391,R1AWDMAF2GZ3LS,0553380958,445913,"Snow Crash",Books,5,1,2,N,Y,"Five Stars","One of the best novels by Neal. Nuff' said.",2015-08-11
US,11757881,R8GR1UK5GMLCD,0553380958,445913,"Snow Crash",Books,4,1,2,N,N,"Somehow I had missed reading this novel when it first ...","Somehow I had missed reading this novel when it first came out in 1992.  It is always interesting to read an old Cyberpunk novel and see what the author got right and what he got wrong.  In Stephenson’s concept of the near future, privatization has run amuck and governments are weak.  Stephenson’s version of the Internet/World Wide Web is called the Metaverse, which has an uncanny resemblance to a web site called “Second Life”.<br /> Some critics believe Snow Crash to be a satire of William Gibson’s Neuromancer, and I think it is a legitimate interpretation.  In the opening chapter, one of the main characters, actually called Hiro Protagonist, is delivering pizzas and calling himself the Deliverator.  There is also a Jerry Falwell-type character who finances his church by controlling all the fiber optic cable in the world.<br /> On the other hand, Stephenson interrupts the narrative to deliver information critical to understanding the story.  He did not have the writing skill to seamlessly insert important information in the text.  Furthermore, many of the characters are stereotypes, such as Uncle Enzo, a mafia boss, and other characters, such as Raven, an Aleutian, are motivated by ideologies, not feelings.",2015-07-27
US,7554520,R2JD89ZRA4EBG3,0553380958,445913,"Snow Crash",Books,5,1,2,N,Y,"Five Stars","Great mix of futuristic, historical, and mythological with a fun sense of humor. Classic Stephenson ;)",2015-07-25
US,39057511,R28CX1947FEMQX,0553380958,445913,"Snow Crash",Books,4,1,3,N,Y,"Four Stars","Pretty good",2015-07-23
US,51992077,R3KY6ZR3WCFL99,0553380958,445913,"Snow Crash",Books,3,2,3,N,N,"Not as great as all the hype, but not bad either","Unemployed programmer Hiro Protagonist works as a pizza delivery guy in a not too distant future, but it is far enough that the world is a very different place. Big businesses have gotten really big, owning neighborhoods where people are quasi-citizens of the company. They run legitimate businesses like Uncle Enzo's CosaNostra Pizza, Inc., where Hiro works. They also have political connections and, often, organized crime connections as well. The other future development is how the internet has taken off and become a quasi-reality where people have alternate versions of themselves (called avatars) and interact with others who are physically far away. Hiro spends a lot of time in this &#34;metaverse&#34; and has customized several things about his avatar and his &#34;property&#34; in cyberspace. He is a hacker after all. The story hops back and forth between the real world and the computer world.<br /><br />Things start to change when two things happen. First, on a failed pizza delivery he meets up with Y. T., a fifteen year-old Kourier who delivers messages by skateboarding from sender to receiver. She uses a magnetic harpoon to attach herself to vehicles so she can deliver items swiftly. She becomes an ongoing ally. Second, Hiro's friend Da5id dies when he sees a certain image that makes his mind melt. There's a virus called Snow Crash that's a virtual version of the recreational drug Snow Crash which has become popular but also deadly. Hiro's investigation into the virus catapults him and Y.T. into a fantastic, far-fetched adventure.<br /><br />The set-up of the book is very interesting. The world is a fascinating imagining of the future, though bits of it are less convincing. Money in the future is highly inflated and some bills are referred to as &#34;Gippers&#34; and &#34;Meeses.&#34; That was surely hip and relevant in the early 1990s when the book was written but I doubt Millenials who read this book will have any idea to whom Stephenson is referring. The samegoes for the L. Ron Hubbard character. The story also bogs down in unnecessarily long exposition about ancient Sumerian mythology which is tied into the plot. About half-way through the book I ran out of excitement and energy as a reader. Neither came back as I continued through the rest of the book. The action picks up at the end but my emotional investment in the story was gone so it wasn't as compelling and exciting as it should have been. The book isn't bad, it just isn't as great as the hype around it.",2015-07-21
US,23575214,RRVCSCLUJ5M7G,0553380958,445913,"Snow Crash",Books,5,1,2,N,Y,"Five Stars","Hilariously poignant and one of my all-time favorites!",2015-07-02
US,11472208,RIMYO2XHY7203,0553380958,445913,"Snow Crash",Books,5,1,2,N,Y,"good book","great book, highly recommend it, predates the matrix and twice as good.",2015-07-01
US,43056369,R2ZH0QXK1KY325,0553380958,445913,"Snow Crash",Books,4,0,1,N,N,"Fast-paced and Fun","As with all Stephenson books, this novel proves imaginative and compelling. A well-established futuristic society nestled within the United States is a great setting for an Internet-era showdown among rivaling factions. There is plenty of action and intrigue that builds among the major characters, creating enjoyable narrative tension. Originally published in the 1990s, this novel still projects a possible future that may not be all that far away for us.",2015-06-27
US,27250986,R13P83R9LMRDA,0553380958,445913,"Snow Crash",Books,5,0,1,N,Y,"Maybe my favorite book ever -- and I'm NOT a big reader!","Some of the most dense writing, ever.  Incredible.  But not for dumb/shallow/clueless people.",2015-06-27
