marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
US,52333621,R26GAN2JEFCLID,081121804X,809318885,"The Berlin Stories",Books,4,0,1,N,Y,"Four Stars","Story and writing quite dated. First story uninteresting and far fetched.",2015-02-28
US,34884374,R25RCJQ9V1CH5A,081121804X,809318885,"The Berlin Stories",Books,1,0,3,N,Y,"This book is very long and drawn out. there ...","This book is very long and drawn out.  there seems to be no cohesive story line.  It  is extremely and very difficult to believe that the movie &#34;Cabaret&#34; was taken from this book.",2015-02-20
US,38974600,R154KGLD9OMX81,081121804X,809318885,"The Berlin Stories",Books,5,0,1,N,Y,"Five Stars","Great book!",2014-12-27
US,23618785,R3T4EXBP00KSSC,081121804X,809318885,"The Berlin Stories",Books,5,0,1,N,Y,"Five Stars","They are what they are.  Well presented.",2014-11-19
US,31459514,RA17CCFEBULYH,081121804X,809318885,"The Berlin Stories",Books,5,1,1,N,N,"Strong characters (not all of them likeable) & even stronger writing make these stories a cumulative masterpiece","In October 2014, the book discussion group met at The LGBT Center to discuss the book &#34;Berlin Stories,&#34; the classic 1945 collection by Christopher Isherwood.<br /><br />&#34;The Berlin Stories&#34; are set in 1931 as Isherwood observed the rise of the Nazi party. The sections were originally published as separate stories later in the '30's. They were combined into &#34;The Berlin Stories&#34; and published in the collection that we know and love today in 1945. Because homosexuality was still illegal in the UK (until 1967!), Isherwood was forced to veil the relationships in his stories and to create straight-ish characters and plots, but it's pretty easy to peek between the boarding house curtains and see what's really happening during Berlin at this time. To get the real story, read &#34;Christopher and His Kind,&#34; which was published in 1976, where Isherwood dishes the real dirt on Berlin and we get to read about the actual characters behind the stories.<br /><br />The first story, &#34;Mr Norris Changes Trains&#34; describes how Mr. Arthur Norris thoroughly seduced William/Christopher by taking advantage of William/Christopher's loneliness in a new place and his ambition to have a gay friend as well as a real character that he can write about. Even on second reading, &#34;Mr. Norris...&#34; remains an opaque shaggy dog story, while the characters remain sharp although not always likeable.<br /><br />Most of us found the second story, &#34;Goodbye to Berlin,&#34; to be more interesting. But when we happen on the &#34;Sally Bowles&#34; story, which is just one of six sections, the movie &#34;Cabaret&#34; is so thoroughly entrenched in our unconscious that it's impossible to read Sally's responses without unconsciously recalling Liza's interpretation. (Perhaps a future generation of gay children can be protected from ever seeing the movie so that another interpretation can emerge, but it seems unlikely.) Other sections include the homoerotic &#34;On Ruegen Island,&#34; stories of the poor and ill in &#34;The Nowaks,&#34; stories about the wealthy and neurotic in &#34;The Landauers,&#34; and memories about Christopher's final days in Berlin in &#34;A Berlin Diary (Winter 1932-3).&#34;<br /><br />Something interesting also happens in the second multi-faceted &#34;Goodbye to Berlin&#34; section. Characters that appeared in &#34;Mr Norris...&#34; re-appear and have more of their backgrounds exposed and more of their stories revealed.  And then some of the &#34;Goodbye to Berlin&#34; characters appear again in various stories with a little more characterization and information. It's like leafing through an old photo album where, if you look carefully, people appear multiple times in different settings and different groups. But in &#34;Goodbye to Berlin,&#34; the effect is cumulative and the overlapping and disappearing (and re-appearing) characters give a larger feel for the place and the events.<br /><br />It's a huge compliment that the cumulative effect of the collection is far greater than any of the parts. Entertaining throughout, it's ultimately chilling when we consider how it all ends.Island,&#34; stories of the poor and ill in &#34;The Nowaks,&#34; stories about the wealthy and neurotic in &#34;The Landauers,&#34; and memories about Christopher's final days in Berlin in &#34;A Berlin Diary (Winter 1932-3).&#34;<br /><br />Something interesting also happens in the second multi-faceted &#34;Goodbye to Berlin&#34; section. Characters that appeared in &#34;Mr Norris...&#34; re-appear and have more of their backgrounds exposed and more of their stories revealed.  And then some of the &#34;Goodbye to Berlin&#34; characters appear again in various stories with a little more characterization and information. It's like leafing through an old photo album where, if you look carefully, people appear multiple times in different settings and different groups. But in &#34;Goodbye to Berlin,&#34; the effect is cumulative and the overlapping and disappearing (and re-appearing) characters give a larger feel for the place and the events.<br /><br />It's a huge compliment that the cumulative effect of the collection is far greater than any of the parts. Entertaining throughout, it's ultimately chilling when we consider how it all ends.",2014-10-13
US,38437734,R3T5O2QXM4EPD0,081121804X,809318885,"The Berlin Stories",Books,4,1,2,N,Y,"Cabaret","Until a friend told me, I had no idea that this was the basis of Cabaret.  Love it.",2014-08-15
US,15470264,R1OEFY6GS8R6O0,081121804X,809318885,"The Berlin Stories",Books,4,2,2,N,Y,"Berlin Stories","Informative and interesting stories from which &#34;Cabaret&#34; was developed.  However, Sally Bowles is not the main character so the book was not quite what I expected.  Isherwood is a very good writer describing his experiences while living in Berlin in the 1930's.",2014-06-19
US,22857772,R3E7I8J1TLCSEM,081121804X,809318885,"The Berlin Stories",Books,4,2,2,N,N,"The real ""Cabaret""","The original from which the play,  I Am Camera  and then the musical , Cabaret  were developed.  I appreciated how he wove description of what he saw in Nazi Germany pre Workd War Ii into a work of semi- sutobiographal fiction . Sally Bowles is the most fully developed character. Given the time., Isherwood was reluctant to indicate his homosexuality and chose to be the &#34;Camera&#34;, simply telling the story of others. But it is  a valuable work  and should be studied because it is as important as the adaptations that followed.<br /><br />Myra MacPherson . Author The Scarlet Sisters: Sex Suffrage and Scandal in the Gilded Age",2014-06-04
US,14619770,ROYQVJN5IH6QZ,1558002189,809318885,"The Berlin Stories",Books,5,1,3,N,Y,"berlin stories","interesting premise.I like to read about the beginnings of the second world war.It was interesting to feel the atmosphere change.",2014-05-21
US,34066236,R1PL3OA22CIZ5H,081121804X,809318885,"The Berlin Stories",Books,4,0,0,N,Y,"An Englishman Experiences the Rise of the Nazis","True stories that were the basis for &#34;I Am a Camera&#34; and &#34;Cabaret&#34;.The background contents are fascinating though some of the stories bog down in trivial detail. Isherwood's homosexuality is pervasive but so understated as to not be distractive. Essential reading to get  a sense for the rise of Nazism.",2014-05-18
