marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
US,18301438,RNP78YGJS1H18,0345245652,849452523,The Big Sleep,Books,4,0,0,N,Y,"but the prose is fantastic. I've been savoring this little book for awhile ...","Not a big crime guy, but the prose is fantastic. I've been savoring this little book for awhile now. Reading in small doses, like short drags off a long cigarette perched precariously on her lower lip. It's a revelation to me how her lips defy gravity, and age for that matter. Not a wrinkle out of place. She was smooth. Smooth as the silk stocking on her inner thigh . . . Yeah this little book will make you think noir thoughts. It's good.",2015-06-03
US,38269242,R2HJTSS1CRIX66,B000H49LEU,849452523,The Big Sleep,Books,2,0,2,N,Y,"Two Stars","Was purchased as large print but it is not.  I do not think my mother will read it.",2015-01-09
US,38002140,R3UKAS82UTVI84,B00BR5FKPM,849452523,The Big Sleep,Books,5,0,0,N,N,"The Search for a Missing Husband","The Big Sleep<br /><br />Philip Marlowe is summoned for a job at General Sternwood's opulent mansion. He first meets Carmen, the younger daughter who is a few cards short of a full deck. The General stays in his hothouse, looking like a near corpse. He tells Marlow about Rusty Regan, the older daughter's third husband, who suddenly disappeared last month. The real job is the gambling debts of Carmen. Before leaving, Marlowe meets Vivian, the spoiled and ruthless older daughter, who asks about his assignment. Chandler painted a picture of a powerful and corrupt family whose wealth far exceeds their judgment. Marlow represents the real people who must follow the whims of the ruling elite. Chandler used many words to describe the surroundings and background, more literary than Hammett or Gardner.<br /><br />Marlowe began to investigate the man who had Carmen's gambling chits. Geiger's store rents &#34;rare books&#34;. Marlowe followed Geiger to his house, then waited and watched. When he heard shots Marlowe broke in. Carmen was seated, nude with pin-point pupils. Geiger lay dead on the floor. Marlowe rescued Carmen and drove back in her Packard. Marlowe walked back to Geiger's house (not taxi driver with a memory for him). He found Geiger's body has disappeared! Next the Sternwood's chauffeur is found dead in a car that went into the ocean; was it murder? Marlowe shadows Geiger's store again, and learns more. The journey towards the truth continues.<br /><br />Who killed Geiger? And Taylor the chauffeur? Gathering the facts allows the solution of the puzzle. Chapter 19 tells how the newspapers covered the stories. Chapter 25 has the news on a missing couple that Marlowe isn't looking for. Marlowe drives to this small town, locates the isolated house, and finds danger (Chapter 27). Marlowe explains his actions to General Sternwood, and gets another assignment (Chapter 30). The surprise ending occurs in Chapter 31. Little hints had been sprinkled throughout the book, buta reader would not pick them up. We see what we expect to see in most cases. The final chapter has the solution to Regan's disappearance. Marlowe orders the solution to the remaining problems and leaves, trusting his advice will be taken.<br /><br />The moral of this story reminds me of &#34;Love Story&#34; where someone poor falls in love with someone rich, and the poor person comes to a bad end. As Owen Taylor did. Do the rich get away with murder, literally? Do the wealthy spend their time with drink, drugs, gambling, sex, and other thrills? Would higher taxes on estates and trusts prevent this problem? Note how the super rich use the underworld to solve problems that can't be delegated to lawyers.<br /><br />I think this is his best novel. Chandler worked as an accountant and had an eye for details. For a faster paced style of murder mystery, read Erle Stanley Gardne",2014-10-27
US,38002140,R34PRMJJCXY5QF,B007BQG8GG,90739413,The Big Sleep,Books,5,1,1,N,N,"The Search for a Missing Husband","The Big Sleep    Philip Marlowe is summoned for a job at General Sternwood's opulent mansion. He first meets Carmen, the younger daughter who is a few cards short of a full deck. The General stays in his hothouse, looking like a near corpse. He tells Marlow about Rusty Regan, the older daughter's third husband, who suddenly disappeared last month. The real job is the gambling debts of Carmen. Before leaving, Marlowe meets Vivian, the spoiled and ruthless older daughter, who asks about his assignment. Chandler painted a picture of a powerful and corrupt family whose wealth far exceeds their judgment. Marlow represents the real people who must follow the whims of the ruling elite. Chandler used many words to describe the surroundings and background, more literary than Hammett or Gardner.    Marlowe began to investigate the man who had Carmen's gambling chits. Geiger's store rents \\""rare books\\"". Marlowe followed Geiger to his house, then waited and watched. When he heard shots Marlowe broke in. Carmen was seated, nude with pin-point pupils. Geiger lay dead on the floor. Marlowe rescued Carmen and drove back in her Packard. Marlowe walked back to Geiger's house (not taxi driver with a memory for him). He found Geiger's body has disappeared! Next the Sternwood's chauffeur is found dead in a car that went into the ocean; was it murder? Marlowe shadows Geiger's store again, and learns more. The journey towards the truth continues.    Who killed Geiger? And Taylor the chauffeur? Gathering the facts allows the solution of the puzzle. Chapter 19 tells how the newspapers covered the stories. Chapter 25 has the news on a missing couple that Marlowe isn't looking for. Marlowe drives to this small town, locates the isolated house, and finds danger (Chapter 27). Marlowe explains his actions to General Sternwood, and gets another assignment (Chapter 30). The surprise ending occurs in Chapter 31. Little hints had been sprinkled throughout the book, but a reader would not pick them up. We see what we expect to see in most cases. The final chapter has the solution to Regan's disappearance. Marlowe orders the solution to the remaining problems and leaves, trusting his advice will be taken.    The moral of this story reminds me of \\""Love Story\\"" where someone poor falls in love with someone rich, and the poor person comes to a bad end. As Owen Taylor did. Do the rich get away with murder, literally? Do the wealthy spend their time with drink, drugs, gambling, sex, and other thrills? Would higher taxes on estates and trusts prevent this problem? Note how the super rich use the underworld to solve problems that can't be delegated to lawyers.    I think this is his best novel. Chandler worked as an accountant and had an eye for details. For a faster paced style of murder mystery, read Erle Stanley Gardner.",2014-10-27
US,34371075,R2FSJE18J4WL6M,1612428185,849452523,The Big Sleep,Books,3,0,2,N,Y,"It was a gift, I never was big on ...","It was a gift,I never was big on this auhor,read this eons ago.",2014-10-21
US,52825207,R38XSYN6SPC9AC,1612428185,849452523,The Big Sleep,Books,5,3,3,N,N,"A Good Story but the  Noir Protagonist Makes the Novel","Raymond Chandler's novel The Big Sleep is anything but.  With prototypical noir private detective Philip Marlowe as the protagonist, Chandler's novel grabs the reader's attention and doesn't let go until the very end.  Yeah, we're all headed for the big sleep soon enough, and nobody knows that better than Marlowe.  He moves in circles where death comes early to a lot of folks, both good and bad.<br /><br />Marlowe sees the underside of life at its ugliest and most dangerous, but somehow he manages to avoid becoming a mean-spirited cynic.  He's got a cynical streak, sure, but there's a lot more to him than just cold, dark skepticism, doubt, and mistrust.  Almost in spite of himself, Marlowe is the kind of guy who, though he's hard as nails, cares about cadaverous old men whose basic decency is belied by wayward adult children, spoiled by excessive wealth and unnaturally nasty to those who refuse to give them exactly what they want.<br /><br />Marlowe, in fact, cares about a lot of people that we'd expect a hard-boiled private eye to dismiss as the products of bad choices, mishandled opportunities, and not worth the trouble.  He's a tough guy, a sharp dresser, attractive to women, smart and street-wise, but he's not arrogant.  Confident, sure, but not a showboat or the sort of person who takes advantage of others who are impressed by his reputation and desperately need his services.<br /><br />Chandler doesn't tell us much about Marlowe's background.  He once worked as an investigator for the Los Angeles County District Attorney, but that's pretty much it.  I think we can infer from what we read that Marlowe went private because he didn't want to be constrained by excessive rules and regulations as to how investigations were to be done.  He's got a good head for his line of work, so why let himself be hamstrung by red tape and undercut by the political connections of the rich and famous?<br /><br />One thing Marlow might have done but systematically avoided was using his skills and reputation in amoral pursuit of big money.  Instead, he charges a modest daily fee plus expenses, and this is a guy who lives in a small apartment with a bed that pulls out of the wall.  He could have gotten a lot more, but he's comfortable, well put together, with suitable transportation, money for decent restaurants, and he doesn't miss not having a secretary.  Modest and frugal almost to a fault, but he doesn't do without anything he really needs.  Besides, there is substantial gratification in having the admiration, even when grudging, of high officials in what we now euphemistically call the criminal justice system.<br /><br />One of the things that is especially interesting about Marlowe, complete with his unexplored background. is the fact that he's not just another semi-articulate gumshoe.  His thinking has the complexity and sophistication of a genuinely literate and polished operative.  When he characterizes a story he's been told during the course of an investigation as \\""... a little pat.  It had the austere simplicity of fiction rather than the tangled web of fact,\\"" it becomes clear that he's not the sort who is at a loss for linguistic concepts that enable him to think things through unhampered by lack of wit and learning.  The guy is smart, savvy, and well-suited for the complex intellectual labor that comes with his job.<br /><br />Marlowe likes the ladies, and they, for the most part, like him.  However, even when he's in a circumstance to pick an choose, he puts the job first, not compromising his position by succumbing to temptation.<br /><br />At the end of The Big Sleep, Marlowe mourns the loss of a woman he found especially appealing with a couple of stiff drinks.  Sadly the scotch just makes things worse, but he takes what comfort he can in having enabled a dying old man to salvage his pride.<br /><br />Marlowe is a street-level philosopher who is keenly aware that eventually everyone \\""just slept the big sleep, not caring about the nastiness of how you died or where you fell.\\""  He didn't kid himself:  he is part of the nastiness, as are all the best  noir protagonists.  But like he said, so what?  When you're dead, you're dead.<br /><br />The Big Sleep is a pretty complex novel with some interesting, likable, loathsome, and indifferent characters.  The best part of Chandler's book, however, is Philip Marlowe:  the quintessential noir protagonist. Marlowe is a great character, and The Big Sleep is a fittingly titled first-rate read, complete with dated references to what we then called \\""smut.\\""  How tame when compared to today's porno!<br /><br />I really enjoyed reading The Big Sleep, and others will, too.  The story is detailed and plain-spoken enough to be realistic, but the main attraction and primary source of interest if Philip Marlowe.he nastiness of how you died or where you fell.\\""  He didn't kid himself:  he is part of the nastiness, as are all the best  noir protagonists.  But like he said, so what?  When you're dead, you're dead.<br /><br />The Big Sleep is a pretty complex novel with some interesting, likable, loathsome, and indifferent characters.  The best part of Chandler's book, however, is Philip Marlowe:  the quintessential noir protagonist. Marlowe is a great character, and The Big Sleep is a fittingly titled first-rate read, complete with dated references to what we then called \\""smut.\\""  How tame when compared to today's porno!<br /><br />I really enjoyed reading The Big Sleep, and others will, too.  The story is detailed and plain-spoken enough to be realistic, but the main attraction and primary source of interest if Philip Marlowe.",2014-10-06
US,14396279,R2FRHE207P78OA,1612428185,849452523,The Big Sleep,Books,3,0,0,N,Y,"Three Stars","Kind of confusing, may need a second reading",2014-09-15
US,26334190,R33IBYDAU51F3H,1612428185,849452523,The Big Sleep,Books,5,0,0,N,Y,"Neat book","My wife wanted to read this book because it is one of those books that everyone should read.  She enjoyed itl.",2014-05-10
US,32182922,ROTIJ44G53Q7L,1612428185,849452523,The Big Sleep,Books,5,0,0,N,Y,"Raymond...our hero","This book don't need no more reviews... An all time legend for decades already. But it keeps on ruling. Allelu",2014-02-11
US,38002140,R3G5JZSOU7WQ4P,B00HTD740A,849452523,The Big Sleep,Books,5,0,0,N,N,"The Case of the Missing Husband","The Big Sleep, Raymond Chandler<br /><br />Marlowe is summoned for a job at General Sternwood's opulent mansion. He first meets Carmen, the younger daughter who is a few cards short of a full deck. The General stays in his hothouse, looking like a near corpse. He tells Marlow about Rusty Regan, the older daughter's third husband, who suddenly disappeared last month. The real job is the gambling debts of Carmen. Before leaving, Marlowe meets Vivian, the spoiled and ruthless older daughter, who asks about his assignment. Chandler painted a picture of a powerful and corrupt family whose wealth far exceeds their judgment. Marlow represents the real people who must follow the whims of the ruling elite. Chandler used many words to describe the surroundings and background, more literary than Hammett or Gardner.<br /><br />Marlowe began to investigate the man who had Carmen's gambling chits. Geiger's store rents &#34;rare books&#34;. Marlowe followed Geiger to his house, then waited and watched. When he heard shots Marlowe broke in. Carmen was seated, nude with pin-point pupils. Geiger lay dead on the floor. Marlowe rescued Carmen and drove back in her Packard. Marlowe walked back to Geiger's house (not taxi driver with a memory for him). He found Geiger's body has disappeared! Next the Sternwood's chauffeur is found dead in a car that went into the ocean; was it murder? Marlowe shadows Geiger's store again, and learns more. The journey towards the truth continues.<br /><br />Who killed Geiger? And Taylor the chauffeur? Gathering the facts allows the solution of the puzzle. Chapter 19 tells how the newspapers covered the stories. Chapter 25 has the news on a missing couple that Marlowe isn't looking for. Marlowe drives to this small town, locates the isolated house, and finds danger (Chapter 27). Marlowe explains his actions to General Sternwood, and gets another assignment (Chapter 30). The surprise ending occurs in Chapter 31. Little hints had been sprinkled throughout the book, but a reader would not pick them up. We see what we expect to see in most cases. The final chapter has the solution to Regan's disappearance. Marlowe orders the solution to the remaining problems and leaves, trusting his advice will be taken.<br /><br />The moral of this story reminds me of &#34;Love Story&#34; where someone poor falls in love with someone rich, and the poor person comes to a bad end. As Owen Taylor did. Do the rich get away with murder, literally? Do the wealthy spend their time with drink, drugs, gambling, sex, and other thrills? Would higher taxes on estates and trusts prevent this problem? Note how the super rich use the underworld to solve problems that can't be delegated to lawyers.<br /><br />I think this is his best novel. Chandler worked as an accountant and had an eye for details. For a faster paced style of murder mystery, read Erle Stanley Gardner.",2014-02-02
