marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
US,20672808,RXZJ56Z5S7C4,0875493122,862964341,The Catcher in the Rye,Books,1,2,6,N,Y,"Second hand copy of the worst kind.","Very disappointing. Second hand copy of the worst kind.",2015-08-27
US,6401616,R14FULII634JNL,0316769487,862964341,The Catcher in the Rye,Books,5,1,2,N,Y,"Through A Teenager's Eyes","I think we're all mature enough to agree that while JD Salinger's life and mind are their own 'things', you can't let those interfere with his excellent execution of describing a teenager's isolated feelings and struggling to understand 'the real world' amidst an unplanned trip to New York City.<br /><br />This novel makes me feel 15 again. It makes me laugh: the way Holden orders his drinks, the way he talks to 'adults', the way he so viciously filters the world through that special idealism only a teenager can have.",2015-08-26
US,13251098,R2XKW5AELWAIOQ,0316769487,862964341,The Catcher in the Rye,Books,5,1,2,N,N,"'Comin' Thro the Rye' in Fine Style","I hardly know where to start in writing a 'review' for Catcher in the Rye.  Never read it as a young man, but here, as a Senior citizen  thought it might be an about-time read, especially when one of my favorite books is a teen-angst book called Temple of Gold.  At this stage of my life, I am more into figuring out why the author wrote it and wanted his readers to get out of it.  At first I was more or less disappointed because some of the characters and situations were overkill on awkwardness of Holden Caulfield's acquaintances and his analyzing of the everything in the minutae most all the time. Temple of Gold had much more realistic and a not-so much of a candy-ass of a protagonist.  I'm not going to go into all the nuances of the characters as you can read reviews here for that, but would like to think the reason the writer, J.D. Salinger hoped to get across, was after the writer who is basically writing an autobiography of himself, 'progressed' on after the story/life of a 17-year old, ended.  I think that came in the revelation of the Psychoanalysit Wilhelm Sketel whose quote which was a dichotomy of what Holden was and what Holden (as J.D. Salinger) became.---- &#34;The mark of the immature man is that he wants to die nobly for a cause, while the mark of the mature man is that he wants to live humbly for one.&#34;  Holden through his relationships and over-analyzing of absurd behaviours of himself and others was also this immature man who was battling his environment and status as a teenager.  His mature part was getting his readership to see this immaturity and see where it took him into a more noble calling of a mature person and writer.  Holden's only seeming hope as a redeeming value came in his passion in English and the only thing that kept him above a total, helpless, on-the-road-to-being, failure state.  Comin' Thro the Rye was a children's portrayed song highlighted in his book and on into the theme title of his book.  While somewhat noble in not having the children go through his immaturity by saving them from falling off the cliff into that vortex and poked at by his young sister, Phoebe toward the end; he starts to understand in the latter part of the book, the saving grace, where he actually 'misses' his phony/antagonistic people, and sees a window in setting goals as advice into not 'falling' to where he was at or heading; signifying the maturity to be had as future, mature writer, using his deficiencies as a revelatory understanding that would catapult into a career he could hang his hunting cap on, so to speak.  Page 150 is is important as this song from a young boy, a children's version of 'Comin' Thro the Rye' is symbolic for the theme and title.  It's about sexual wonderment at a young age which is about the immature aspect of growing up, and not especially the thought of leading the children, later, about leading them, especially, and protecting them from the phoniness or shallowness of adulthood.  Holden displayed what awkwardness relationships and sex are for all of us readers in their growing up.",2015-08-26
US,20703896,R1YWW550QUY3U5,0316769487,862964341,The Catcher in the Rye,Books,5,0,0,N,Y,"Five Stars","Excellent product and price, super fast delivery.  Thanks!",2015-08-26
US,12612224,R137YLR2J4JSZO,0316769487,862964341,The Catcher in the Rye,Books,5,1,1,N,Y,"Great read for everyone","I read this book like many others in high school. I misplaced my original copy so bought this to replace it.",2015-08-26
US,10813770,R2QYZJLGX8JIE6,0316769487,862964341,The Catcher in the Rye,Books,5,1,1,N,Y,"Perfect book for people who hate to read! its only 70 pages!","perfect book for people who hate to read! its only like 70 pages, and you feel like you accomplished something.  The bitter teen protag gets a little wearisome at that point.",2015-08-25
US,14728800,RAWMHXY5SI6MS,0316769487,862964341,The Catcher in the Rye,Books,5,1,1,N,Y,"Easy read. Has an assessment at the end to ...","Easy read. Has an assessment at the end to help you determine your love language which is very helpful. Would definitely recommend.",2015-08-24
US,4760210,R38FERJECYERG,0316769177,862964341,The Catcher in the Rye,Books,2,1,2,N,Y,"Two Stars","I realize that this book is a classic, but, not everything that is a classic is classy.",2015-08-23
US,49372813,R352UR1MQ559VT,0316769177,862964341,The Catcher in the Rye,Books,5,1,1,N,Y,"Five Stars","One of my favorite books ever.",2015-08-23
US,43949697,R29M7HDBRCVC7R,0316769487,862964341,The Catcher in the Rye,Books,5,0,1,N,Y,"Good paperback","I had read this years ago but forgot the just of the story. Many thing reference Holden so I needed to re read it. Losing my precious copy in a house fire I was sad to buy a new one but I'm glad I did for the story.",2015-08-22
US,13425225,R3J353GJ27EW1F,0316769487,862964341,The Catcher in the Rye,Books,5,2,3,N,N,"Move over Hamlet, Holden caulfield is my favorite protagonist in world literature","It does help that I share a few things with Holden Caulfied:<br /><br />- A fondness for my little sister<br />- I am male<br />- I was Holden's age 16 years ago<br />- I got close to flunking out of school all those years ago<br />- English/writing  was my favorite subject<br />- Didn't really fit in at High school or at College<br />- I've been suicidal<br />- I've been diagnosed with depression<br />- I'm agnostic<br />- etc<br />I stared reading literature in my mid twenties and this was one of the first books I read, it was easily the best entertainment per page of any book I had ever read by then. Recently, I've been reading a lot of pop fiction and underwhelmed by most( *cough cough* Hunger Games, Harry Potter); so I opted to reread something I really enjoyed awhile ago.. I borrowed it from my school library and reread it again and it's just as fresh, illuminating and laugh out loud funny as my first read was. No other book written by mortal man captures and expresses so eloquently my early adulthood disillusionment with life in general. A great book doesn't need to have any uplifting message or moral undertones to merit being called a masterpiece. But if there were any lessons I'll take from this book  it would be to strive to be/remain my authentic self, not expect too much from myself or anyone and not to be overly cynical either, whatever that means(something Holden would probably shrug off as phony)",2015-08-21
US,4264762,R25Y5XSUAJYKZ7,0316769487,862964341,The Catcher in the Rye,Books,4,1,1,N,Y,"Four Stars","A must read.",2015-08-21
US,1733936,R9N6T22ZJFE9U,0316769177,862964341,The Catcher in the Rye,Books,5,1,1,N,Y,"3 Sentence Review","This book is really captivating. The language is not too advanced and it is a pleasure to read. The story is an emotional thrill ride.",2015-08-20
US,34996833,R3TKRGAKEA1DHF,0316769177,862964341,The Catcher in the Rye,Books,5,1,1,N,Y,"Five Stars","classic",2015-08-20
