marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
US,38190378,R3PHC8USOHUQNB,0374100128,647099960,"The Corrections",Books,1,3,7,N,Y,"One Star","I hated this book and considered it a huge waste of my time.",2015-07-09
US,52273955,R1395R6CNN9PI3,0374129983,647099960,"The Corrections",Books,5,1,1,N,Y,"Great mental workout","A novel in every sense, thoroughly developed and complex in plot and character development.  Great mental workout, great feat.",2015-05-20
US,15436118,RH323RY1KQYTW,B009CUNDZS,647099960,"The Corrections",Books,5,0,0,N,N,"Five Stars","Beautiful hardcover gift edition",2014-11-28
US,21123710,R26LBQSMRDTJMV,0374129983,647099960,"The Corrections",Books,5,0,0,N,Y,"Read Before FREEDOM and Watch a Master Get Better","WOW. There's been plenty said about this already so I'm not going to waste any additional time attempting to pen an overwrought review that apparently some of these other reviewers actually believe will be read by Franzen himself. Trust the good reviews. The bad are being overly critical. Think Freedom, just not as good. Not even close to Freedom, really, but what can touch that? I better submit this before I talk myself out of the 5 star rating... oh God, reviewer's remorse before I've even hit submit...  just... read.... it. BEFORE Freedom.",2014-11-20
US,44006461,R7J7TWQ1SO0PC,0374129983,647099960,"The Corrections",Books,5,1,1,N,Y,"Great Read","Funny, witty and all around great read.  Makes you a bit introspective of your family dynamic as well.  Franzen is a fantastic author!!!",2014-05-20
US,14178007,R3E5HK6UMHFX89,0006392237,647099960,"The Corrections",Books,4,1,2,N,Y,"Book Club Book","Purchased as a book club book.  I can remember that I liked it, but really cannot recall it in detail - was a long time ago",2013-12-10
US,22101887,RBJ8WXU9JOMTI,0007144415,647099960,"The Corrections",Books,5,1,1,N,Y,"must read along with Franzen's Freedom","riveting account of contemporary American life with an acute analysis of relationships,  parenting, corporate evils and effects of wealth, etc.",2013-08-27
US,52411656,RQJS7TOPEH6TE,0374129983,647099960,"The Corrections",Books,5,0,1,N,Y,"It was a gift.","It was a gift. It arrived on time. I assume the product was OK. The recipient thanked me. What more can I say?",2013-01-17
US,50946478,R1IR6JJIIKTS69,0374129983,647099960,"The Corrections",Books,4,0,0,N,N,"Suffers In Comparison to Himself, Part II","I said in a recent review that I'd read a couple books lately that suffered in comparison to other books by the same writer.  This is the one of those books.  Compared to most of what's being published today, this is wonderful.  Compared to his novel Freedom, this one isn't as good.<br /><br />So much of what Franzen does here is impressive.  He tells the story of a retired couple, Alfred and Enid Lambert, and their grown children, Gary, Chip, and Denise.  Enid is looking forward to enjoying her later years but is ill-equipped to handle Alfred's Parkinson's disease.  The three children have all fled East from the Lambert's Midwest home and are dealing with problems of their own: Gary has a wife and three kids who are mutually manipulative, Chip has lost his job as a university professor, and Denise struggles to avoid destroying the life she's built.<br /><br />Ultimately, the plot comes to center around Enid trying to get everyone back home for one last Christmas together.  Like many great novels, however, this one is less about plot than about delving into character.  So many novels are barely able to develop one or two characters in their brevity and superficiality.  In The Corrections, however, each of the five major characters has a distinct voice, a fully developed narrative thread, and the way Franzen enmeshes their stories provides a richness that is missing from many novels.  It is impressive.<br /><br />And yet, it is hard not to be a bit disappointed when one has already read Freedom.  Compared to the Berglunds who are so very real, the Lamberts occasionally push over the edge into an intensity that seems contrived.  I am thinking of Alfred's hallucinations with trying to use the toilet on ship and much of Chip's narcissism, for example.  Because of this, I find it harder to sympathize with the Lambert's problems than with the Berglund's.  The layering of narratives in Freedom is also much more sophisticated than what is done here, which is a much more straightforward method of storytelling.<br /><br />I so wish I could go back and time and read The Corrections first.  I think I would have been much more impressed.  There is no doubt that The Corrections is a very good novel, better than most of what's out there.  On the other hand, I think Freedom is one of the handful of great novels that's been published in that last 25 years.  It's hard to compete with that, even if it's your own book.aightforward method of storytelling.<br /><br />I so wish I could go back and time and read The Corrections first.  I think I would have been much more impressed.  There is no doubt that The Corrections is a very good novel, better than most of what's out there.  On the other hand, I think Freedom is one of the handful of great novels that's been published in that last 25 years.  It's hard to compete with that, even if it's your own book.",2012-08-21
US,10363250,R1UTXHZX5J7KJD,0374129983,647099960,"The Corrections",Books,5,0,0,N,Y,"Franzen novel","Since the passing of David Foster Wallace, Franzen is the best American novelist today.<br />This book is a joy to read.",2012-03-19
US,52520407,R1X1P3RLPMPC3E,0374129983,647099960,"The Corrections",Books,5,0,1,N,Y,"Kudo's","Both turnaround and the quality (and price!) of this offering on a hardback classic used book was perfect in every way.  Kudos to the vendor on a job well done.",2011-12-30
US,50664277,R24GLB207XE6OT,B0000C7BMR,647099960,"The Corrections",Books,3,0,0,N,Y,"Good shape, but NO Dust Jacket","The book was in very good shape, but it did not have the dust jacket. I do not recall seeing that in the posting, if I had known it was without the cover- I would not have made the purchase.",2011-11-18
