marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
US,18487940,R2OPOQEIGBXDA,8087830261,283617845,"The Day of the Locust",Books,1,5,5,N,Y,"Horrible edition","Do not buy this edition, it is riddled with formatting errors and typos.  There are actually multiple typos on the first page!  The dimensions are more like a screenplay than a novel making it awkward to hold and read.  Pay slightly more and get the nicer edition.",2015-08-25
US,50980008,R3J43HE3SDLTSH,8087830261,283617845,"The Day of the Locust",Books,1,9,9,N,Y,"is like a bound PDF or a bootleg DVD","This edition, published by something calling itself 'Popular Classics Publishing Co.', is like a bound PDF or a bootleg DVD. Don't buy it. The formatting is terrible, the front and back covers are low-res stills from the film, and the whole thing feels and reads awkwardly. I'm returning mine and will look for the real book. Also, though most people have much higher expectations of professionally printed material, Amazon will make you pay for the return shipping costs. Not good.",2015-07-16
US,42727621,R2XBDIBQBS8I6N,8087830261,283617845,"The Day of the Locust",Books,1,14,14,N,Y,"DO NOT BUY THIS VERSION. This review is in ...","DO NOT BUY THIS VERSION.  This review is in no means a review of the novel itself.  This version of the novel is filled with misspellings, typos, and alignment issues.  I am considering buying another version because I am concerned that portions of the novel may be missing.  The typeface is very small and difficult to read.",2015-07-06
US,44042644,R2EJCVPA9PWM2J,8087830261,283617845,"The Day of the Locust",Books,3,0,0,N,N,"Does not build to the expected climax","This review has been crossposted from my blog at The Cosy Dragon.com. Please head there for more in-depth reviews by me, which appear on a timely schedule.<br /><br />Tod loves Faye, a woman of questionable talents and questionable motives. In a romance gone wrong, Tod fights over her, but never seems to progress on anything - except perhaps his wonderful painting that describes everything that is wrong with American society.<br /><br />This is another American literature novel for me. It starts out quite slowly, but interestingly, but does not build to the expected climax. Of the whole book, I would have said that the ending left me most underwhelmed - but that that was the point, because the themes of the book are unfulfilled sexual gratification and unfulfilled dreams.<br /><br />This novels quite a gritty one, and I wouldn't have said I really enjoyed it. It's going to be a fun one to write about in the exam though, because there is just so much there to comment on. The narrator really made the story for me with his forknowledge and snarky remarks about the characters. I really didn't feel any sympathy for the characters, even poor Homer.<br /><br />Apparently this novel has multiple references to pop culture - or that pop culture references it. Homer is as of &#34;The Simpsons&#34; in humour, and additionally apparently there is a similar scene in Seinfeld. See, I had to even google that to spell it correctly!<br /><br />Overwhelmingly this novel dreams of blood and violence. Tod often fantasises about raping Faye, and sometimes you even feel as if that would be justified, she's so annoying and teasing. I actually really liked the Mexican with the chicken, and felt that in an odd way, of course it was he that got Faye in the end.<br /><br />Not the finest example of American literature I've read so far, but not the worst. I wouldn't personally recommend reading it, but if it was on your bookshelf and you felt like some violence and unfulfilment go for it!",2015-03-02
US,38966041,R35Q70REKSU6B8,1604443561,283617845,"The Day of the Locust",Books,3,0,1,N,N,"West’s prose – and tone – seems to owe much to the Southern Gothic tradition of writing...","So my last year of college I took a course called THE AMERICAN NOVEL, which I thought I needed to graduate, but after the second book in the class (THE HOUSE OF SEVEN GABLES) I found out that I had enough without the class so I dropped it to concentrate on the required classes. The reason I bring this up is that THE DAY OF THE LOCUST was the final book a course called THE AMERICAN NOVEL, which I thought I needed to graduate, but after the second book in the class (THE HOUSE OF SEVEN GABLES) I found out that I had enough without the class so I dropped it to concentrate on the required classes. The reason I bring this up is that THE DAY OF THE LOCUST was the final book in the class, a book I’d always been keen to read. Well, I didn’t read it 1990 and then forgot about, as the book does not come up that often in conversation, but picked it up at The Strand in NYC a couple of years ago with the best intentions. It wasn’t until I read William J. Mann’s TINSELTOWN that I had the jones to dive into West’s 1939 tale of the “locusts” that massed on Los Angeles during the early part of the 20th century. Mann talked about these locusts, meaning people that were drawn to the bright lights, fresh air and endless possibilities of the West Coast mecca, but whose dreams were dashed, or, more often than not, unfulfilled, who end up going through the motions, fame an elusive dream never obtained. West’s prose – and tone – seems to owe much to the Southern Gothic tradition of writing, and his characters, a sparse, loose knit group of characters, has more in common with the grotesques of Welty and O’Connor than the more contemporary Steinbeck. The idea of these locusts is fascinated and explored graphically, as in the visit to Mrs. Jennings and the garage cockfight, as well as intimately, with Homer Simpson (sic) and his attraction to Faye. Also interested in Faye, the protagonist, who is told that he is not datable because he is too poor and unattractive, two things she needs in a man. The book is on so many “best of” lists that I feel maybe the book was out of my grasp, despite a knowledge of old Hollywood and a love of the American novel. I think as the years advance the book will become more important, as its influence continues to echo across Amazon and the American narrative.ngs she needs in a man. The book is on so many “best of” lists that I feel maybe the book was out of my grasp, despite a knowledge of old Hollywood and a love of the American novel. I think as the years advance the book will become more important, as its influence continues to echo across Amazon and the American narrative.",2015-01-13
US,11257866,R10WW7SMTVK5CP,1604443561,283617845,"The Day of the Locust",Books,5,0,0,N,N,"The Rocky Horror Picture Show","Tod Hackett , a talented artist, goes to Hollywood to design sets and costumes and enters a surreal fantasy world where everything is make believe from the films being produced to those who want to star in them, none more than the wanna be beautiful but talentless Faye Greener. Tod falls in unrequited love with her, but it is the hapless greenhorn from rural Waynesville-Homer Simpson-whom she and Hollywood -eat alive...<br />  A masterpiece that not only slots into the era it was written, but is perhaps more satirical now of the(mostly talentless) celebrity obsessed modern day, where thousands evade reality and delude themselves of fame on the X factor or some vapid 'reality' show.<br />  Also analogous to the American dream that promises riches for hard work that the great depression was proving every bit as much a fantasy as the fantasies of Hollywood.<br />  West is surely the most caustic satirist ever known. A tragedy that he died at 37 with probably his greatest works still to come.",2014-12-26
US,36757708,R3TQOQI3CAKPS0,8087830261,283617845,"The Day of the Locust",Books,1,3,5,N,Y,"Good story, terrible edition","Good story, terrible edition.  I bought the Popular Classics Publishing Co. edition, and would recommend that others avoid it.  The font is very small, the book is an odd shape, and the layout is bad.  Very poorly put together.",2014-11-04
US,52825207,R6Q8D5BPMWYRR,1604443561,283617845,"The Day of the Locust",Books,5,1,1,N,N,"An Assessment of the Human Condition","Nathaniel West's novel The Day of the Locust is extraordinarily powerful, a deeply troubling depiction of life in the United States and perhaps much of the world.  Initially, I found it difficult to decide if West's uncomplicated but blinding insights pertained just to the U.S. in the late 1930's, or if they were better interpreted as a commentary on the human condition.  However, whatever the book's degree of universality at the time it was first published, as the decades have passed and globalization has proceeded, The Day of the Locust seems more and more applicable to an abundance of people who live in America and far beyond our borders.<br /><br />West's prose style is neither complex nor otherwise difficult.  He writes in a direct, straightforward way and does so brilliantly.  His ability to enable us to see the people, places, and events he addressed is unsurpassed in my experience.  As I read his brief novel, I began to realize that West permits us to do more than follow a narrative and understand a story, but to visualize it as well.  Thanks to West's skill with the written word, I am confident that I know what Faye Greener looks like at her most sultry and her most pathetic.  I can see her father as his health fails and he dies.  Tod, Homer, Earle, Miguel, and the others are palpably real people, distinctive, living configurations in my mind's eye.<br /><br />Someone less skillful than West could easily convince us of the ugly brutality of cockfighting as it occurred in a make-shift fighting pit arranged in an unexceptional lower-middle class garage.  But only a rare and remarkably gifted writer could present it in a way that forced the violence of the fight on the reader in an almost viscerally painful way.  Only a rare and remarkably gifted writer could enable us to see the badly over-matched red bird as its dead head flopped loosely and pathetically to one side while its opponent picked at the eye that was still intact.<br /><br />Using Hollywood as a metaphor for the rest of the U.S. and perhaps the world, enabled West to use a place of fantasy, fraud, and cultural propaganda to vividly display the fact that confused, troubled, and unfulfilled lives, for most of us, are the norm.  To search for more by responding to the phony promises of California, or working harder, or being a paragon of virtue, or otherwise exerting one's self to attain a modicum of happiness will almost certainly bring disappointment.<br /><br />Tod's attempt to locate Faye, the effort that leads him through cardboard Parthenon's and contingents of soldiers wearing armor fashioned with construction paper very effectively illustrates the lack of substance in the world of glamour and excitement that we sometime seek.  The fact that Tod, a studio artist, had designed some of these special effects is especially telling.  To a greater or lesser degree, with greater or lesser effectiveness, we are all complicit in the cheap and tawdry process of deluding ourselves, striving for the conviction that whole, substantial, and fulfilling lives can be ours.  But how could it be otherwise.  We're all born into a world of worthless mystifications and sterile bromides, taught to think using self-deceiving catch-phrases and meaningless cliches.  The only cognitive tools we have to make sense of the world are already part and parcel of its delusional ambience.<br /><br />One might imagine that this treacherous and painful set of circumstances could give rise to an organized revolutionary effort to take back the promise of a decent life.  But we don't have the intellectual and affective equipment, and besides, it would be treasonous.  We see the lack of self-fulfilling wherewithal and the inability to fend off damaging social arrangements and cruel cultural artifacts with heart-rending, but also pathetically annoying clarity in Homer.  His hopeless loneliness, profoundly injurious vulnerability, and complete lack of effectiveness present in brutally concentrated form the shared human condition as West understood it.  This is not the stuff of which revolutions are made.  Instead, it eventually gives rise to noxious well-springs of bitterness and resentment, better suited to creating a lynch mob than an organized cell of subversives.<br /><br />The Day of the Locust is the sort of book that takes a toll on the reader.  Whether or not we see ourselves in its pages, the disappointment, desolation, and despair in which it finds it characters is awful to behold.  Nathaniel West's death at age thirty-six cost American literature and our cultural character a great deal.d form the shared human condition as West understood it.  This is not the stuff of which revolutions are made.  Instead, it eventually gives rise to noxious well-springs of bitterness and resentment, better suited to creating a lynch mob than an organized cell of subversives.<br /><br />The Day of the Locust is the sort of book that takes a toll on the reader.  Whether or not we see ourselves in its pages, the disappointment, desolation, and despair in which it finds it characters is awful to behold.  Nathaniel West's death at age thirty-six cost American literature and our cultural character a great deal.",2014-09-20
US,38668445,R1APH9AFCDOA55,8087830261,283617845,"The Day of the Locust",Books,3,0,1,N,Y,"Three Stars","not a fan of this kind of writing.",2014-09-19
US,49719772,R2CPDKPJ84PN8U,1604443561,283617845,"The Day of the Locust",Books,5,0,0,N,N,"... I were to pick a novel that is the Great American Novel","If I were to pick a novel that is the Great American Novel, I think I would pick Day of the Locust by Nathaniel West.  Why?<br />West's short novel speaks to what every single American has to deal with – the falsehood of Hollywood, the ultimate con, the complete fake, the billion dollar illusion, shoved in everybody’s face like it or not.<br /><br />As Nathaniel West captured so brilliantly, once anything or anyone is in Hollywood there is no escape from being converted into artificiality -- even a wooden chest of drawers Is painted to look like unfinished wood.<br /><br />Adults beating the spontaneity out of children so their kid can be the next Shirley Temple.  How twisted.  Adults dressing, speaking, moving, expressing in imitation of what they see on the screen. How sick.  How appalling.  How American.<br /><br />How Nathaniel West captured it all perfectly in the Great American Novel: The Day of the Locust.",2014-09-13
US,51083493,R1T0BBM6FPO6LZ,8087830261,283617845,"The Day of the Locust",Books,1,2,3,N,Y,"One Star","The illustration looked real, but this is a really shoddy large format print-on-demand, lousy layout, hard-to-read edition.",2014-07-30
US,42623311,R32H0WM5E36T6Q,B005GMXIBA,283617845,"The Day of the Locust",Books,3,0,1,N,Y,"unusual cover was detached","This is an offbeat challenging book as far as subject matter...probably not for everyone, but I liked it. The cover on this one is unusual, but unfortunately was detached.",2014-03-08
US,24462602,RZNWWOY6P5JEW,1604443561,283617845,"The Day of the Locust",Books,2,3,3,N,Y,"Great Book, Poor Edition","The Day of the Locust is well worth the read. However, if you can find another edition of the book, I would recommend purchasing that version.  This copy, from Indo-European Publishing, is full of obvious typos. It's pretty clear that no one took the time to read through the typed-up text before publishing edition, as I was able to pick up on a ton of errors just by skimming through this edition. I've seen another edition of this book at a library that didn't have the typos, so I'm sure they're not an intentional part of the text, just mistakes on the part of the publisher. I purchased this version for a class because, at the time, it was the only edition available on Amazon. DON'T BUY THIS VERSION UNLESS YOU HAVE NO OTHER OPTIONS!",2014-02-18
US,8197584,R14SRWD4MK3TKZ,1105528391,283617845,"The Day of the Locust",Books,1,0,2,N,Y,"Extremely Unprofessional Printing","The version of the book that Amazon is selling is horrible. It looks like it was printed on a computer in somebody's basement or at Kinko's. It looks and feels very unprofessional. I am extremely disappointed with Amazon and too embarrassed to give this book to my partner as a gift like I had originally intended.",2013-07-31
US,11191604,R2UYNWA1X76OON,1105528391,283617845,"The Day of the Locust",Books,4,0,0,N,N,"The Best of a Scant Body of Work","The Day of the Locust was Nathaniel West's swan song, though he didn't know it. He would die about a year and a half after its publication in a car crash that also claimed the life of his wife. Too bad, because Locust was his best piece of work to that point. West, never a prolific writer, had produced three previous works that could generously be called \\""novelettes,\\"" all like Locust consumable at one sitting for the dedicated reader. They are all weird tales of disaffected, damaged souls.<br /><br />Locust was the first to be set in Los Angeles, where West had migrated, drawn like many other by the promise of work in the movie industry. It is that industry that forms the locus of Locust, though the characters are only in movies at the most tangential level. If I can compare Locust to anything, it is probably Mulholland Drive era David Lynch with its gallery of eccentrics and dreamers and vaguely phantasmagoric plot line. This is supported by some superb writing. I especially liked West's vivid description of a cockfight that in its pathos and brutality is as good or better than any description of a bullfight by Hemingway in Death in the Afternoon or The Sun Also Rises. I think it's even better than the book's famous final scene of the riot at the movie premiere.<br /><br />Well worth investing a few hours reading time to get to know one of American literature's more eccentric and less-well-known masters.",2013-07-15
US,52574102,RWSJ3N7RO2EJW,1105528391,283617845,"The Day of the Locust",Books,4,0,0,N,Y,"A Classic Tale of Hollywood","I read Nathaniel West's THE DAY OF THE LOCUST many years ago and purchased it again to go back to the early tales of Hollywood and the struggles of its denizens in the depression era. The characters are so varied, and the descriptive writing is done beautifully. Once again, West has captured those \\""Hollywood dreams\\"" and has brought them back to reality in tough times in Hollywood. The book should be read by ANYONE wanting to come to Los Angeles and to follow their path to the reality of Hollywood...or, Gollywood, as it really is \\""yesterday and today\\"". Brilliant treatise on \\""the perils of Hollywood.\\""",2013-06-23
US,44324402,R2JYW2GSMLS33R,1105528391,283617845,"The Day of the Locust",Books,1,0,2,N,Y,"Horrible edition ...","Please avoid this horrible edition. Badly formatted with at least a hundred spelling errors. It looks like it's been printed from a home computer. Cover art looks like a low res image from the internet.<br />Loved the story but the experienced ruined by this poor printing.",2013-04-19
US,50217162,R1IR13LOY14PFP,1105528391,283617845,"The Day of the Locust",Books,1,6,7,N,Y,"Great book, terrible edition","The Day of the Locust is one of the great American novels and I would recommend it to anyone interested in Hollywood in the '30s and in good writing. This edition, however, is the worst book I've ever read. Clearly it was thrown together by some outfit called &#34;Popular Classics Publishing&#34;, which could not be found on a Google search. I was fooled by the excellent photo of Gary Cooper on the cover. However, this is a digital photo (looks like it was taken straight off the internet and blown up), but turned out to be the least of the problems. The number of typos, wrong line breaks and grammatical errors are countless. This must have been scanned from another edition and whoever is responsible for putting the book together did not have the will or the brains to even look at the first page. There are errors throughout--the scanner had trouble identifying certain letters which made some words senseless. It really is shockingly bad and I would tell anyone who wants to read this book to take any other legitimate edition, even an old dog-eared used one, over this. If this example of e-publishing is the norm, it bodes ill for the future and is a terrible shame. And I mean that--the people responsible should be ashamed--they are disrespectful of Nathanael West and of any reader.",2013-03-18
