marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
US,47091555,R31FNA9EVI55C1,1501215361,474944569,The French Lieutenant's Woman,Books,1,2,8,N,Y,"If I had known this edition was abridged, I wouldn't have bought it.  SHAME.","This edition of the book is abridged.  It doesn't contain the original footnotes.  WHY?",2015-07-25
US,38757392,R3S3PYLNB68EHO,0316291161,474944569,The French Lieutenant's Woman,Books,5,2,3,N,Y,"Wonderful Prose and a Mysterious Woman Born a Century Ahead of Her Time.","Beautifully written along with an interesting & complex tale about a Victorian woman born too early for her strong, independent nature. Fowles knows how to keep you interested despite the narrators constant comments on the story. The book is nothing like the movie. The book's story is much more riveting. However, you won't  know why Sarah does what she does in either the book or the movie. The book does give us more insight into Sarah's perplexing choices but Fowles still leaves Sarah an interesting mystery to be argued about by literary critics.",2015-07-01
US,466670,R2QB9CCDW7DXDN,0316291161,474944569,The French Lieutenant's Woman,Books,5,0,0,N,Y,"Five Stars","Unbelievably great read!",2015-07-01
US,53000680,R12EUGKXSJJAM4,B000QB36SQ,474944569,The French Lieutenant's Woman,Books,1,0,10,N,Y,"Book Condition and Size of Type Font make it a 1-star","The 1-star rating has to do with the book I received. Granted I pad very little for it; however, it was in terrible condition and a font size that was unreadable (probably 8 pica). So had to buy another.",2015-07-01
US,33158619,R2Z7RWA9PZ479Q,0316291161,474944569,The French Lieutenant's Woman,Books,5,0,0,N,Y,"Classic","Still a great book. A classic. Takes the reader on a buggy ride back to Victorian England but with a modern mind-set. Funny, sad,and always intriguing. If you haven't read this one yet, don't miss it.",2015-05-07
US,52083450,R2D00KEKFL3UP0,1501215361,474944569,The French Lieutenant's Woman,Books,3,1,2,N,Y,"Great writing, a little dated (1970's)","The novel takes place in the 19th century but is really about a woman's struggle for emancipation, more about the 1970's when it was written. John Fowles is an incredible wordsmith. However, the narrator kept putting me to sleep. Very British. Very low key. I would recommend reading this one on Kindle or in print.",2015-04-30
US,42490062,R1E61QCAQ871S1,0316291161,474944569,The French Lieutenant's Woman,Books,3,0,1,N,Y,"Cleverly. Presented","Very skillful writer.",2015-04-13
US,44555031,R1NCEV4COIN6YM,0316291161,474944569,The French Lieutenant's Woman,Books,5,5,5,N,Y,"Top  of the List!","Twice read novel by one of greatest writers to come out of Britain.<br />This book remains one of my favourite books and for good reason.<br />There isn't a dull page in it. The only problem that comes with such works of art is when you have closed the last page and then have to refocus on something else that is not quite as extraordinary.",2015-01-21
US,50060944,R2UH8QFIIGYHSU,0451110951,474944569,The French Lieutenant's Woman,Books,5,0,0,N,Y,"Five Stars","Entirely happy with purchase!",2014-10-02
US,39868032,R4C10B3G5RRAM,0316291161,474944569,The French Lieutenant's Woman,Books,1,0,13,N,Y,"Complete waste of time and money","I manage to finish this book. Complete waste of time and money.",2014-08-09
