marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
US,48079854,RRBWEOPKKCMVN,8087888480,740932530,"The Heart of the Matter",Books,5,0,0,N,Y,"the failures of our best intentions, and the many ways humanity rises to ...","Graham Greene is always worth my time and attention.  He explores the pitfalls of relationships, the failures of our best intentions, and the many ways humanity rises to the occasion. However, for a text this old and established, the book itself cost way, way too much.",2015-06-08
US,12004150,R20Y7WFJFULS12,0151398127,218896628,"The Heart of the Matter",Books,4,0,2,N,Y,"Four Stars","a thought provoking read!",2015-03-28
US,43235681,R22Q6KTGLAF0FK,8087888480,740932530,"The Heart of the Matter",Books,5,1,2,N,Y,"Well written, but didn't care for the story, ...","Well written,  but didn't care for the story, found it depressing.",2014-10-26
US,39064447,R1OQSKL0T2BAKN,0749316993,417477309,"The Heart of the Matter",Books,5,0,5,N,Y,"Five Stars","The book was in perfect condition.",2014-10-06
US,32231221,R2W9OYJSDCQW3C,0140278753,417477309,"The Heart of the Matter",Books,5,0,3,N,N,"Five Stars","No, thank you.",2014-07-08
US,52004451,R351D9P1HUXHOY,B001TCLNF4,232293913,"The Heart of the Matter",Books,5,0,0,N,N,"A FINAL COLLECTION OF TEILHARD'S ESSAYS","Pierre Teilhard de Chardin (1881-1955) was a French theologian, Jesuit priest, and paleontologist/geologist.<br /><br />This is the 13th and last volume of Teilhard's essays; the autobiographical 1951 title essay begins by stating \\""What I shall try to do... (is) to show how ... the World gradually caught fire for me, burst into flames; how this happened all DURING my life, and as a result of my whole life, until it formed a great luminous mass, lit from within, that surrounded me... there was a gradual interplay of three universal components: the Cosmic, the Human and the Christic.\\"" (Pg. 15) Later, he explains, \\""Matter is the matrix of Spirit. Spirit is the higher state of Matter.\\"" (Pg. 35)<br /><br />He describes the faculty of \\""perceiving, without actually seeing,\\"" suggesting that \\""I have no doubt ... that it was the experience of the War that brought me this awareness and developed it in me as a sixth sense.\\"" (Pg. 31) He reflects, \\""To be completely Man, it may well be that I would have been obliged to become Christian... The fact is, fortunately for me, I was born right into the Catholic 'phylum'... I have never, at any moment of my life, experienced the least difficulty in addressing myself to God as a supreme SOMEONE.\\"" (Pg. 39, 41)<br /><br />He argues that \\""an historically incarnate God is on the contrary the only God who can satisfy not only the inflexible laws of a Universe in which nothing is produced or appears except by way of birth, but also the irrepressible aspirations of our own mind.\\"" (Pg. 54) In another essay, he suggests that \\""no religious Faith releases... a higher degree of warmth, a more intense dynamism of unification than the Christianity of our own day---and the more Catholic it is, the truer my words.\\"" (Pg. 89)<br /><br />When he wonders whether his notions of a \\""Universal Christ\\"" or \\""Divine Milieu\\"" are no more a \\""mirage in my own mind,\\"" the following three waves of evidence sweep away his fears: \\""First, there is ... the coherence that this ineffable element (or Milieu) introduces into the underlying depths of my mind and heart... Next there is... the contagious power of a form of charity in which it becomes possible to love God... with the whole Universe-in-evolution... Finally, there is ... the superiority of my vision compared with what I had been taught...\\"" (Pg. 100-101) He states his increasing conviction that we are entering a period of \\""neo-humanism,\\"" where Man is \\""far from having completed the biological curve of his growth...\\"", but this apparent conflict with the \\""classic\\"" formulation of Christianity is \\""the underlying source of all today's religious disquiet.\\"" (Pg. 147)<br /><br />This final volume contains some of the most interesting of Teilhard's essays, and will be of great value to anyone interested in his writings.ineffable element (or Milieu) introduces into the underlying depths of my mind and heart... Next there is... the contagious power of a form of charity in which it becomes possible to love God... with the whole Universe-in-evolution... Finally, there is ... the superiority of my vision compared with what I had been taught...\\"" (Pg. 100-101) He states his increasing conviction that we are entering a period of \\""neo-humanism,\\"" where Man is \\""far from having completed the biological curve of his growth...\\"", but this apparent conflict with the \\""classic\\"" formulation of Christianity is \\""the underlying source of all today's religious disquiet.\\"" (Pg. 147)<br /><br />This final volume contains some of the most interesting of Teilhard's essays, and will be of great value to anyone interested in his writings.",2012-05-03
US,27767344,RAZW3A9BM4Y0B,9627341266,204109544,"The Heart of the Matter",Books,5,7,8,N,N,"Reprint of The Heart of the Matter since 2009 available","Fortunately everyone can effort to buy this beautiful text; since 2009 there is a reprint available under the title 'Heart Lamp'. 'Heart lamp' also includes the text 'Lamp of Mahamudra'. See [[ASIN:9627341606 Heart Lamp: The Heart of the Matter and Lamp of Mahamudra]]",2010-06-11
US,50452197,R19J324T2G27AI,B00127KI0W,417477309,"The Heart of the Matter",Books,5,0,1,N,N,"Truly the Heart....","What is the \\""heart of the matter\\""? For me, Graham Greene ranks with Faulkner and Conrad in his unsparingly honest, yet empathetic insight into the human heart. And, not that of great men, but of ordinary people who try hard to stay right, not always succeeding, but often failing nobly. The Heart of the Matter is to me Greene's most vivid and memorable foray into this terra incognita. Scobie is noble, flawed and fully realized. The so-called \\""invented\\"" world through which he walks is so richly atmospheric that it hardly seems fictional.The plot here is a bit less animated than in some of Greene's other famous novels, but the richness of character and detail keeps you involved. Ultimately, this is a book I will never forget, largely because it gave me the chance to view the world through the eyes of of another human being, which to me is truly the \\""heart of the matter.\\""",2009-09-26
US,50452197,RAY1JMSIN1FJ,B001LOQ9YU,417477309,"The Heart of the Matter",Books,5,0,1,N,N,"Truly the Heart....","What is the \\""heart of the matter\\""? For me, Graham Greene ranks with Faulkner and Conrad in his unsparingly honest, yet empathetic insight into the human heart. And, not that of great men, but of ordinary people who try hard to stay right, not always succeeding, but often failing nobly. The Heart of the Matter is to me Greene's most vivid and memorable foray into this terra incognita. Scobie is noble, flawed and fully realized. The so-called \\""invented\\"" world through which he walks is so richly atmospheric that it hardly seems fictional.The plot here is a bit less animated than in some of Greene's other famous novels, but the richness of character and detail keeps you involved. Ultimately, this is a book I will never forget, largely because it gave me the chance to view the world through the eyes of of another human being, which to me is truly the \\""heart of the matter.\\""",2009-09-19
US,50452197,R1QSKKVE1YKGZ7,B00153HZ7W,417477309,"The Heart of the Matter",Books,5,1,1,N,N,"Truly the Heart....","What is the \\""heart of the matter\\""? For me, Graham Greene ranks with Faulkner and Conrad in his unsparingly honest, yet empathetic insight into the human heart. And, not that of great men, but of ordinary people who try hard to stay right, not always succeeding, but often failing nobly. The Heart of the Matter is to me Greene's most vivid and memorable foray into this terra incognita. Scobie is noble, flawed and fully realized. The so-called \\""invented\\"" world through which he walks is so richly atmospheric that it hardly seems fictional.The plot here is a bit less animated than in some of Greene's other famous novels, but the richness of character and detail keeps you involved. Ultimately, this is a book I will never forget, largely because it gave me the chance to view the world through the eyes of of another human being, which to me is truly the \\""heart of the matter.\\""",2009-09-19
US,50452197,R2DT051BNS4MCC,B0027AL848,417477309,"The Heart of the Matter",Books,5,0,0,N,N,"Truly the Heart....","What is the \\""heart of the matter\\""? For me, Graham Greene ranks with Faulkner and Conrad in his unsparingly honest, yet empathetic insight into the human heart. And, not that of great men, but of ordinary people who try hard to stay right, not always succeeding, but often failing nobly. The Heart of the Matter is to me Greene's most vivid and memorable foray into this terra incognita. Scobie is noble, flawed and fully realized. The so-called \\""invented\\"" world through which he walks is so richly atmospheric that it hardly seems fictional.The plot here is a bit less animated than in some of Greene's other famous novels, but the richness of character and detail keeps you involved. Ultimately, this is a book I will never forget, largely because it gave me the chance to view the world through the eyes of of another human being, which to me is truly the \\""heart of the matter.\\""",2009-09-19
