marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
US,45943820,R2JAD68WXL1PSY,0007525540,669379389,"The Lord of the Rings",Books,5,192,213,N,Y,"A great edition for the price","Review for [[ASIN:0007525540 The Lord of the Rings]].  I'll keep it brief, this is not a review of the actual story but of this specific edition. I have attached many pictures that I hope help you decide if this is an edition you want to buy.  Pros: - The font is big and easy to read. - 65 beautiful illustrations by Alan Lee that bring the story to life.  Cons: - Slipcover is an opaque plastic, whit a modern look that I think doesn't complement the book. - One or two blank pages before and/or after each illustration.  Overall I think this is a great edition and it's worth buying.",2015-08-30
US,11606500,R2TE3OU7E0MX5K,0618260587,669379389,"The Lord of the Rings",Books,5,0,0,N,Y,"A classic without equal in the genre","Classic fantasy.  Without equal.",2015-08-27
US,51943812,R3386TUN5ABOR2,0618260587,669379389,"The Lord of the Rings",Books,5,0,0,N,Y,"Five Stars","Classic.",2015-08-13
US,20499633,RPVSYY79VZ7JG,0544003411,669379389,"The Lord of the Rings",Books,5,0,0,N,N,"Read them again when I received a box set a as gift and love them all over again","Another classic that has seen a &#34;rebirth&#34; since the movies. Loves these books as a kid, couldn't put them down. Read them again when I received a box set a as gift and love them all over again.",2015-06-29
US,11875856,RXEPNTBA90EWX,0395595118,669379389,"The Lord of the Rings",Books,5,1,1,N,Y,"Hardcover Alan Lee paintings edition","Gorgeous hardcover Alan Lee paintings throughout.  I took pics (not very good albeit) to show which edition.  Do not like that all these comments do not necessarily go with picture shown above.  The hardcover edition I purchased retails for $70 but I paid 30 bucks less here at Amazon and it's new. Very very pleased.",2015-06-21
US,14019525,R366LG2XL89D6W,0395595118,669379389,"The Lord of the Rings",Books,5,1,1,N,Y,"The Lord of the Rings illustrated by Alan Lee","It takes me back to a time when growing up I would skip school just to see the Lord of the Rings films on the big screen. That was my first experiences with J.R.R. Tolkien's Middle-Earth epics. To open this book up and see the sheer level of detail and artistry that was put into the making of this edition of the Lord of the Rings truly shows a high level of dedication and love for the source material. This is the best edition of The Lord of the Rings that exists. From the gorgeous cover lined with golden script to the giant size of the book making you truly feel as though you are opening up a tome that is the chronicling of the third age of men and their fight to stop the evils of Mordor.<br /><br />Pros:<br />~The illustrations are phenomenal, Alan Lee gives us a painted rendition of what Middle Earth was like. Years later Peter Jackson would use these as templates for creating his award winning movies.<br />~This is the corrected edition which makes it readable to anyone from the most novice of readers to the most seasoned of die hard fans.<br />~This is the edition that Tolkien dreamed of making back in World War 2 but could never get a publishing company to actually invest that much money into a single book.<br /><br />Cons:<br />~This thing is so big.<br /><br />Rating: 5 out of 5 stars.",2015-06-11
US,19086927,RPSTFSFJDC9KF,0395489326,669379389,"The Lord of the Rings",Books,1,1,2,N,Y,"One Star","Ripped item",2015-05-20
US,777267,R2LIJM9SLGI5RW,0395489326,669379389,"The Lord of the Rings",Books,5,0,0,N,Y,"Five Stars","Set of books is in excellent condition and a good quality set of hardbacks",2015-05-18
US,9892264,R2G6G55263Q768,0395489326,669379389,"The Lord of the Rings",Books,5,0,0,N,Y,"The movies only scratch the surface of a rich beautiful world.","put it on your bucket list then read it.  The movies only scratch the surface of a rich beautiful world.",2015-05-13
US,23593669,R3D9GW2JEUJ3WB,0618260587,669379389,"The Lord of the Rings",Books,4,0,0,N,Y,"great.","A little heavy on the hands. If you can find them. The paperback illustrateds  are a little better.",2015-04-30
US,11326415,R1WDJEA0Z4OYA7,0007525540,669379389,"The Lord of the Rings",Books,5,0,0,N,Y,"Great edition, high quality, superb rendition of the greatest story ever told","Superb Quality of the Trilogy, but as someone who likes looking at their books on the shelves, I don't really like the plastic slipcase.  It is not cheap, but simply sticks out.  You don't have to use the slipcover though, that is a plus.<br /><br />The books themselves are, in my opinion, the greatest stories ever told.  Young children to grown adults will love this story.  It is a shame that it is being passed up for vampire and werewolf stories in younger generations.  It is a tragedy.  I hope everyone encourages their children to read this, so they can experience the pinnacle of fantasy writing.",2015-03-29
US,22455718,R2CSHOJ6HX4D5D,0618260587,669379389,"The Lord of the Rings",Books,5,0,0,N,Y,"So happy with my purchase","So happy with my purchase. Great deal on wonderful illustrated version of Tolkien's classic tales. Looking for all the rest hope to have his complete works. Thank you!",2015-03-11
US,12855375,R1MQUYYKGRWWMH,0007525540,669379389,"The Lord of the Rings",Books,5,0,0,N,Y,"Five Stars","I love this book...the pictures by Alan Lee make it highly collectible.",2015-03-09
US,21209397,RITJK8Q3CXCY9,0395595118,669379389,"The Lord of the Rings",Books,5,0,0,N,Y,"Gorgeous and precious gift","Absolutely gorgeous book.  A great gift for those who love Tolkien.",2015-03-01
US,11595966,R1PI27IE5R9EB6,0618260587,669379389,"The Lord of the Rings",Books,5,1,1,N,Y,"Masterpieces","I recommend those interested in buying Tolkien's masterpiece buy the hardcover box set published November 1, 2002.  The books are well made with beautiful illustrations by Alan Lee.  This set goes well with the hardcover edition of The Hobbit which was published September 19, 1997.  It is the same size as the box set and also features the same overall look.  Completely pleased with my purchases.",2015-02-15
US,50585597,RWH57QW3TCJGC,0395193958,669379389,"The Lord of the Rings",Books,5,0,1,N,Y,"Five Stars","Gift was appreciated by recipient.",2015-02-14
US,43374748,R39MY59PYPQBB3,0395595118,669379389,"The Lord of the Rings",Books,5,0,0,N,Y,"Necessity for any bookshelf","Brilliant",2015-02-09
US,28324492,R3H20GFZ7HXFRT,0395595118,669379389,"The Lord of the Rings",Books,5,0,0,N,Y,"Five Stars","Beautiful full page, full color illustrations. Print size is good. Includes a ribbon marker.",2015-01-31
US,11802734,R1BIKEKQPOPDOL,0618260293,669379389,"The Lord of the Rings",Books,5,0,0,N,Y,"This is the third copy I have owned. I ...","This is the third copy I have owned. I wore out the others over the years, rereading them every few years.",2015-01-25
US,27873292,RNKV7Q4O45956,0048231355,996481827,"The Lord of the Rings",Books,3,0,0,N,Y,"Three Stars","Not edition advertised.",2015-01-17
US,16202183,R1FVRQEZT3MP6W,0618343997,669379389,"The Lord of the Rings",Books,5,0,0,N,Y,"So much Tolkien in one place!","Such an awesome book!  With all the appendices you can look up pretty much any factoid you want while you're reading through all three of the books.  I love having the maps and the languages and the family trees all in one place so I can refer back to them while I'm reading.",2015-01-14
US,44442013,R1ZEA6RWIEWT9T,0395193958,669379389,"The Lord of the Rings",Books,5,0,0,N,Y,"Five Stars","Great to have all four stories in one book. Nice addition to my hard-bound library.",2015-01-12
US,46120366,R3HE27X7KG6F5Z,0395193958,669379389,"The Lord of the Rings",Books,5,0,0,N,Y,"RED BOOK!!!","What can I say?  It's the freakin' Red Book.  Got a nice big fold-out map in the back.  A must have for all LOTR fans.",2015-01-09
US,23312858,R2L4900Q0468KP,0618260587,669379389,"The Lord of the Rings",Books,5,0,0,N,Y,"Five Stars","great gift",2015-01-06
US,18135492,R1BFATMYZNW6HW,0618260587,669379389,"The Lord of the Rings",Books,4,0,0,N,Y,"Excellent conditions. Thank","Everything ok with the books. Excellent conditions. Thank you",2015-01-06
US,20702973,R1ZJUEQ409Z8YG,0544003411,669379389,"The Lord of the Rings",Books,5,0,0,N,Y,"Five Stars","god",2014-12-31
US,34748658,R1OYK49IYUCJND,0395595118,669379389,"The Lord of the Rings",Books,5,0,0,N,Y,"Five Stars","A must....",2014-12-30
US,2911061,R3TCT6OA06MZAB,0618260587,669379389,"The Lord of the Rings",Books,5,0,0,N,Y,"Great gift","Grandson loved it for xmas",2014-12-29
US,51449082,R1LL4CMO09VZJJ,0007525540,669379389,"The Lord of the Rings",Books,5,3,3,N,Y,"Great Illustrated Edition!","I love this edition of the Lord of the rings.  This has a TON of water colors that are stuck in right next to the action they are depicting, rather than at the chapter heading.  The paper is of great quality, the type is easy to read, and so far I have not found any errors in the typesetting however I have not read the whole edition yet.  Also the slipcase this comes in is vented on the top and bottom, so you don't need to fight a vacuum to pull the book out like other editions I own.",2014-12-26
US,41960313,RFC3ZDLDL1N6,0395193958,669379389,"The Lord of the Rings",Books,5,0,0,N,Y,"Five Stars","Son loves it",2014-12-14
US,47887452,R1W74W7RH2UFZE,0395489326,669379389,"The Lord of the Rings",Books,5,0,1,N,Y,"Five Stars","The books are in excellent condition.  Our grandson is going to be one very happy kid.",2014-12-12
US,33612588,R2RJ0TNNVX53J,0395193958,669379389,"The Lord of the Rings",Books,5,0,0,N,Y,"Nice format and quality","I first saw a copy of this red book format in the mid 1980's at a B Dalton, so this version has been around for a very long time. I think they began reprinting it in the red book format when the movies began to come out and there was so much hype. Very good quality all the way around.",2014-12-07
US,1082625,RA0DCUT1Y887W,0544003411,669379389,"The Lord of the Rings",Books,5,0,0,N,N,"Vastness of the Universe!","Tolkien incomparable and inimitable writer! He created the greatest mysterious world in which each of us can go visit. His amazing philosophy of the world harmoniously interwoven with vivid images of the characters. There is no doubt that his books like universe, where good always triumphs over evil. However, Tolkien gently teaches us to see the beauty in the darkness and to give hope to all those people who surround us. I'm a big fan of Tolkien and I know that I will always be happy to re-read his books. Thank you very much!",2014-11-28
US,51755658,R31L7COQNQF7A8,0395193958,669379389,"The Lord of the Rings",Books,5,0,0,N,N,"Five Stars","Another great edition.",2014-10-09
US,46308513,R2U3OM365N8PE0,0007525540,669379389,"The Lord of the Rings",Books,5,182,192,N,Y,"Stunning Collectors Edition","Having only an old 1994 worn paperback edition of the Lord of the Rings, I wanted to purchase a version that I could read and display for many years to come.  I did a ton of research and decided upon this version (ISBN 116-1749849-2513827), illustrated by Alan Lee and published by Harper Collins in June 2014  (I am adding these details because the Amazon.com site does not make it clear what this version is).  Please note that this particular printing is NOT available in the US but any Tolkien or LotR devotee should not be deterred (Frodo wouldn't have been!).  I must say that this is the finest published one-volume version of the LotR that I have ever laid eyes upon, and is well worth every penny.  It includes approximately 50 high-quality color illustrations by Alan Lee, which even for a 30-something like me makes the reading experience exceptional.  The front and back covers are made of durable, high-quality cloth (as shown), with a strong and handsome turquoise binding.  The pages -- not just the illustrations but the entire book -- are glossy and made of &#34;whiter&#34; paper than you generally find, the margins large, and the typeset easy on the eyes.<br /><br />For those who care about such things, the printing is based on the 2004 corrected text, with even further corrections.  There are updated introductions/forwards by Wayne G. Hammond  & Christina Scull, authors of the authoritative &#34;LOTR Readers Companion,&#34; as well as by Douglas A. Anderson, who provides a detailed publication history of the Lord of the Rings.  The full appendices are included.<br /><br />Two-page red and black maps of Middle Earth and of Gondor/Rohan/Mordor adorn the front and back covers, with a map of the Shire before the first chapter.  Also present are other essentials such as the Doors of Moria and the Tomb of Balin.  The only drawback is that the facsimile pages of the Book of Mazarbul was not included, which I found to be surprising and a bit disappointing Also, the ring inscription and the Gandalf &#34;rune&#34; are printed in black rather than silver and red.  Probably the main issue is the clear plastic slipcover, which is barely bigger than the book itself, and it is difficult to slip the book back inside it after taking it out.  You are more likely to scuff the corners of the book.  That being said, these are far from dealbreakers, and the joy to be received from owning this edition far outweighs these issues.inscription and the Gandalf &#34;rune&#34; are printed in black rather than silver and red.  Probably the main issue is the clear plastic slipcover, which is barely bigger than the book itself, and it is difficult to slip the book back inside it after taking it out.  You are more likely to scuff the corners of the book.  That being said, these are far from dealbreakers, and the joy to be received from owning this edition far outweighs these issues.",2014-09-22
US,49123496,R1JSJGXVHS6LF3,0395193958,669379389,"The Lord of the Rings",Books,5,1,1,N,Y,"LOTR is IT!","was as expected, and in good condition.",2014-09-08
US,51785096,R2D34TBO4Q2JUI,0544003411,669379389,"The Lord of the Rings",Books,5,1,1,N,Y,"What can I say? This is the coolest! ...","What can I say?  This is the coolest!  I could not put it down!",2014-09-04
US,19728363,R2HIK4O4FT0PFG,0618260250,669379389,"The Lord of the Rings",Books,5,1,1,N,N,"Five Stars","Fabulous cover art for an amazing 1 volume edition of The Lord of the Rings.",2014-09-01
US,18700120,R27PEOI1OOPYZB,0395489326,669379389,"The Lord of the Rings",Books,5,0,0,N,Y,"Five Stars","Excellent",2014-08-14
US,48426241,RTHO7LEPO11Z8,0395193958,669379389,"The Lord of the Rings",Books,5,1,1,N,Y,"Not a bad choice","I have owned this particular book for a number of years now. The quality of the cover, pages, and binding are top notch and I didn't notice any issues with the printed material when I read it.",2014-08-12
US,22166329,R2FTW79SO9DTR8,0618260587,669379389,"The Lord of the Rings",Books,5,0,0,N,N,"Epic deal","One of if not the best collection of this works. And i got it for an amazing price.",2014-08-10
US,51253721,R1MWYOTY8P41PE,0395193958,669379389,"The Lord of the Rings",Books,5,0,0,N,Y,"Five Stars","Good Product - Good Service",2014-08-09
US,17728107,R2PY6ACG12R30W,0618260587,669379389,"The Lord of the Rings",Books,5,0,0,N,Y,"He loved the continuity of the book covers and was a ...","I bought this as a Christmas gift for my husband. He loved the continuity of the book covers and was a great addition to his expanding book collection.",2014-07-25
US,25275354,RBU0QZSSB56R5,0544003411,669379389,"The Lord of the Rings",Books,5,0,0,N,N,"Five Stars","Excellent",2014-07-23
US,39858021,R1WKGOYGOTRWVZ,0618260587,669379389,"The Lord of the Rings",Books,5,0,0,N,Y,"great!","Tolkien... what else is there to say.  great!",2014-07-22
US,37282763,R3J2SRC69YLJNK,0395489326,669379389,"The Lord of the Rings",Books,5,0,0,N,Y,"Five Stars","These books come very nicely bound and boxed.  They make a great gift.",2014-07-20
US,24732898,R1C6FHZ8ET5IJ7,0007525540,669379389,"The Lord of the Rings",Books,5,10,10,N,N,"Optimus omnibus","Great hardcover slipcase with Alan Lee paintings on the cover and throughout on high quality glossy paper. All three lord of the rings books with both apendixes and original maps in two colors. Beautiful edition. Highly recommend.",2014-07-14
US,16975707,RWI1QA0AXF5W9,0544003411,669379389,"The Lord of the Rings",Books,5,0,0,N,Y,"Seriously??","Who doesn't love Lord of the Rings?  Although I had forgotten how wordy it is.  It's the quintessential examination of good and evil.  No kid should get as far as college without having read it.  Gollum is a masterpiece.",2014-07-02
US,16823612,R3FF3TBDXCA5OF,0544003411,669379389,"The Lord of the Rings",Books,5,0,0,N,Y,"Love it!","It is a great book! Even though it is pretty thick I finished it off in one weekend :)",2014-07-01
US,32075040,R1V6AW0PYQGULS,0544003411,669379389,"The Lord of the Rings",Books,5,0,0,N,Y,"My second copy of this book!","My second copy of this compilation of the three books. What's great about this edition is that it includes the Appendices in the back for reference, which is very helpful. I'd recommend this book above the three separate books just because of that, if you plan on learning while you read the story!",2014-06-22
US,20736574,R1ZMNVTRXFH1TK,0618260587,669379389,"The Lord of the Rings",Books,4,0,3,N,Y,"Timeless","Read it in school and wanted a hard back copy for my personal collection. Why watch the movie. There is so much more in your imagination",2014-05-15
