marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
US,46788663,R2OQ8S3E4CJNVR,0385240880,539488056,The Sot-Weed Factor,Books,3,0,2,N,Y,"I remember reading this in college and laughing out loud ...","I remember reading this in college and laughing out loud for minutes at a time. Re-reading it thirty years latter, I can't understand why.",2015-07-27
US,51161818,RTCPOGOJOFDA7,0385240880,539488056,The Sot-Weed Factor,Books,5,6,6,N,Y,"Worthy of Classic Status","THE SOT-WEED FACTOR is one of those books that had been in the back of my mind for over 30 years. It kept popping up in lists of great novels, here and there, and always that intriguing title, THE SOT-WEED FACTOR. What the heck did that mean? Well, finally, after all these years, I got around to reading it, and I found out. And I'm glad I did.<br /><br />THE SOT-WEED FACTOR is a very unusual novel, and it took me some time to finish it. It is written in the linguistic style of the Eighteenth Century, an historical, satirical novel, a parody of the 18th-century picaresque novel. Though sometimes serious, it is frequently -- no, most of the time -- hilarious, tongue in cheek, bawdy. The novel is full of mistaken identities, false identities, and the plot takes twists and turns and roundabout detours -- to the point that at times it had my head spinning trying to figure out who was who and what was what.<br /><br />The main character is Ebenezer Cooke, something of a dandy boy, a wanna-be poet. He seeks to become the poet laureate of the Maryland colony. So THE SOT-WEED FACTOR traces his journey from London to Maryland in the new colonies, and all the adventures and misadventures that befall him: kidnapped by pirates, then kidnapped by Indians, the loss of his father's estate in Maryland,<br /><br />&#34;love for a former prostitute; stealthy efforts to rob him of his virginity, which he is (almost) determined to protect; and an extraordinary gallery of treacherous characters who continually switch identities.&#34; [from back cover of Anchor Books edition]<br /><br />Well, sot-weed is what they called tobacco in those days, and a factor was a businessman, a middleman who buys something to resell. Cooke's father owns a sot-weed plantation, Malden, in Maryland, and it is Ebenezer's goal to go to Malden, and to write an epic verse praising the colony. He is given the title, Poet Laureate of Maryland by the third Lord Baltimore in London. However, once in the colonies, heis shocked by the vulgar, brutish ways of the colonists, and turns his pen from praise to ridicule.<br /><br />I should point out that Barth based his novel on a real person, Ebenezer Cooke, who, in fact, did write a poem entitled 'The Sot-Weed Factor,' which was published in London in 1708. The rest is all Barth.<br /><br />THE SOT-WEED FACTOR is very funny, very inventive, and deserved of its 'modern classic' status.",2015-06-12
US,11375981,R25VWS372RD4AG,0385071833,539488056,The Sot-Weed Factor,Books,5,5,5,N,Y,"Best book ever.","My favorite book ever. Capt John Smith's Diary is a delicious swamp-side banquet of eye watering laughter. And Barth is true to his readers and does not disappoint in this masterpiece of many facets and levels.",2015-05-11
US,1357685,R5VPKRJYGK917,0385240880,539488056,The Sot-Weed Factor,Books,5,0,3,N,Y,"Five Stars","Read it years ago -  gave it to my son.",2015-02-27
US,13145347,R1KKKC7LY1NR8S,0385240880,539488056,The Sot-Weed Factor,Books,5,5,5,N,Y,"Classic.","This is a hard read at first. And then it slowly starts clicking. Unlike something very robotic and off-putting like Gravity's Rainbow, IMO, this one comes around the bend and meets you half-way. It won't be cuddling you or making you feel like a savant for understanding what is not there, but it has a soul I tell you. Barth writes from the heart. The further you delve into this, at least as a fellow artist, you start to see the mirror being reflected.<br /><br />Barth has tremendous capability far above most his peers then and now. If anything read this to learn something about the English language. Beyond that the satire, the comedy, the biting realism; it's all gravy here. I think I had more fun reading his genius debut in The Floating Opera but this is something else.... Read it slowly. Read it on the days you are confused about life. Barth makes you feel like a million bucks waiting to happen. And for some he is probably not lying to you.",2014-12-22
US,10391745,R2X2UA03WEPWT8,0385240880,539488056,The Sot-Weed Factor,Books,5,2,2,N,N,"An amazing tale","I guess it is stupid to write a review that basically says &#34;you have to read it, as it cannot be accurately described&#34;, but that is the truth.  You will come away amazed at the erudite genius that created such a world of fiction.",2014-11-18
US,44451118,R1BE2WKCMZDXRJ,0385240880,539488056,The Sot-Weed Factor,Books,5,0,2,N,Y,"Five Stars","Bought it for class, shipped semi-fast was exactly what I needed.",2014-09-30
US,11191604,R2ZFYRX1NBBMOD,0385240880,539488056,The Sot-Weed Factor,Books,5,3,3,N,N,"Where Have You Gone Tobias Smollett...","There's no doubting the achievement of John Barth in The Sot-Weed Factor, where for over 700 pages he offers a galloping, engaging picaresque narrative with thousands of little plot details not only meshing but meshing while sustaining a story with multiple intersections of characters who often take on more than one guise from meeting to meeting.<br /><br />The story, reminiscent of early masters of English prose fiction like Henry Fielding, Tobias Smollett and Lawrence Sterne, relates the adventures of Ebenezer Cooke, a minor late 17th century poet, who journeys to what was then the British colony of Maryland to take over management of his family's tobacco plantation and also to establish himself in letters as the &#34;Poet Laureate of Maryland.&#34; But along the way he runs into countless adventures, misunderstandings, trickeries and scrapes as the tale frequently detours (in the manner of those 18th century writers) into subplots and side stories, not the least of which involves John Smith (of Pocahontas fame). The narrative is ribald and often laugh-out-loud funny, though Barth displays a disturbing tendency to regard rape as something hilarious. On the other hand, if you are the type who likes fart jokes, this is the book for you…<br /><br />It's all very impressive, but I have to wonder just what the market can possibly be for such an abstruse, elephantine narrative. It's gotta be fairly small, mostly career academics and terminal-stage English majors. I have to believe that most general readers would quickly be lost in Barth's maze of a plot, obscure references and archaisms, not to mention its sheer length, and throw up their hands.<br /><br />Even for those who get the joke, there is a fatigue factor. In know I was starting to droop around the 400-page mark. The story puts tremendous pressure on a reader to keep characters and situations straight, not easy given that characters often appear as different people to different people at different times, so keeping track of who knows who as who and what went on between them is a constant chore. Also, the background story involves an impossibly convoluted political situation in which loyalties are ever shifting and which adds a whole slew of extra names to keep in mind.<br /><br />As I read I also kept thinking, what's Barth's point here? Is it merely him showing he can do Fielding or Smollett as well as Fielding or Smollett? It doesn't help that the story is set in the same era those authors wrote about. That just makes it even more of an imitation. Perhaps if the story were set in modern times while retaining the archaic narrative style it would be different. But as it is, The Sot-Weed Factor is basically the literary equivalent of a very capable tribute band. They know all the chord changes and the lead singer really does sound like whats-his-name, but in the end it's all an artificial construct, an aping off a genuine artistic achievement where the aping, not the art, is the point.<br /><br />Despite these reservations, I still can't bring myself to give The Sot-Weed Factor anything less than a five-star review just out of sheer admiration for pulling off such a complex work so brilliantly.",2014-09-29
US,51402674,R43W1L1V5QWK6,0385240880,539488056,The Sot-Weed Factor,Books,4,5,5,N,N,"Candide in Maryland","John Barth's novel The Sot-Weed Factor came with high recommendations from my brother Craig, and that was enough to send me straight to the public library and begin reading it. It is a satirical tour-de-force with so much going on that I could hardly follow it all. The style is bawdy, witty, and often funny, a full-fledged imitation of a 17th century novel, complete with the full English vocabulary of the times, which by itself is a welcome challenge to parse. It has been described as a picaresque novel, and the main character is Eben Cooke, an over-educated and under-employed poet and virgin, a Candide-like character constantly bewildered by the world, swept along by events, too curious to make a decision about anything.<br /><br />Cooke writes his life's work, the Marylandiad, intended to be a poetical celebration of the colony of Maryland, but finds little within the actual Maryland to celebrate, so ends up re-titling the work The Sot-Weed Factor, a bitter satire of things as he found them, not as he had envisioned them. (The poem is historical:  The Sot-Weed Factor: or, A Voyage to Maryland. A Satyr, written by one otherwise obscure Ebenezer Cooke, making him in some ways the perfect foil around which to build a historical novel.  Sot-weed factor refers to a tobacco merchandiser.)<br /><br />Barth's view of history is quite entertaining: he brings out the various glosses that are routinely put on events to shape history into a narrative that serves some cause or group:  the author's own gloss is earthy and cynical and mocking of high historical narrative, as would be expected in a satire.  The author artfully immerses you both in the ordered world of 17th century middle class England and in the chaos of England's nascent American Colonies.<br /><br />The tale is also a commentary on things literary and philosophical, only some of which I was able to appreciate. For example, Barth makes implicit and explicit allusions to many novels, the most frequent being Don Quixote, which I have not read, limiting my ability to appreciate some of his literary insights.  His colloquy is not only in the language of the times, but reflects the thinking, religious and philosophical, mixing daily, often crude concerns with lofty sentiments and knowing references to classical writers, making minor characters for example of Eben's contemporaries, Newton and Hooke.  I loved Voltaire's own picaresque novel Candide, among the books lovingly mimicked by Barth's Sot-Weed Factor.  As does Candide, The Sot-Weed Factor implicitly comments on the philosophies of the time within the warp and woof of the novel:  Poor Eben Cooke's bewilderment seems to stand in for modern philosophies that provide no useful moral advice or comfort.<br /><br />The novel is nothing short of amazing, as Barth has mastered the times and the vernacular, and he wields his mastery with great sweep; and finally, alas, to excess.  One thing not mimicked in Candide was its brevity:  Barth's novel is simply too long at eight hundred pages, and in ways overly repetitive, the final slog to its end dulling for me a bit of the novel's brilliance.read, limiting my ability to appreciate some of his literary insights.  His colloquy is not only in the language of the times, but reflects the thinking, religious and philosophical, mixing daily, often crude concerns with lofty sentiments and knowing references to classical writers, making minor characters for example of Eben's contemporaries, Newton and Hooke.  I loved Voltaire's own picaresque novel Candide, among the books lovingly mimicked by Barth's Sot-Weed Factor.  As does Candide, The Sot-Weed Factor implicitly comments on the philosophies of the time within the warp and woof of the novel:  Poor Eben Cooke's bewilderment seems to stand in for modern philosophies that provide no useful moral advice or comfort.    The novel is nothing short of amazing, as Barth has mastered the times and the vernacular, and he wields his mastery with great sweep; and finally, alas, to excess.  One thing not mimicked in Candide was its brevity:  Barth's novel is simply too long at eight hundred pages, and in ways overly repetitive, the final slog to its end dulling for me a bit of the novel's brilliance.",2014-09-16
US,15354318,R1CQB2DT6TNNY9,0385071833,539488056,The Sot-Weed Factor,Books,5,5,5,N,Y,"I am readin it ain wioth great pleasure--one of the funniest novels ever---and am back to ...","I have read this book many times in the last 45 years and somehow lost my original copy--maybe loaned it out. I am reading it again with great pleasure--one of the funniest novels ever---and am back to recommending it to reader friends. The \\""real\\"" story of Pochahantas and John Smith will have you on the floor laughing and the two whores calling each other names--well I will not spoil it for you. Just read it, especially if you enjoyed books like Tom Jones.",2014-07-03
