marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
US,41647362,RXN62SZ9U3L95,0060153679,535077019,"Under the Volcano",Books,5,4,4,N,N,"Epitaph of 20th century","If you could pick one book for the summer, what book would that be? Guessing none of you would say Lowry’s “Under the Volcano”, or Dante’s trilogy, or Ulysses or anything that even remotely resembles mid-century modernism. There’s something odd in that picture in which you’re sipping your Mai-Tai’s, half-staring at half-naked people on the beach while reading some edition of French nouveau roman. James Bond would cringe. So would the editors of Cosmopolitan. I’m no different, books like Lowry’s “Under the volcano” need a different type of time to “properly” enjoy them. With kids screaming around, sun block smearing your body and wet splotches coming out of nowhere it just isn’t done.<br /><br /> Still, this summer was different. For some reason I can’t quite recall, Lowry’s book was the only book I managed to pack (no Kindle yet, unfortunately). Suffice it to say, it was a challenge. Delving into a mind of an alcoholic, bent on self-destruction, getting pulled into sinister circle of impending doom all the while trying to relax and dissociate oneself from the “burdens of civilization” left at the workplace. I’m quite sure I missed half of the references and ignored other half of symbolic cyphering crammed up in this text. Whatever the context was though, I didn’t spend years studying literature for nothing (well…if you ask my mother about that…), some skill still remained. It usually kicks in automatically whenever a spider-sense says it should take notice.<br /><br /> Readers familiar with modernism should know what to expect though I’m not sure that Lowry is the best place to start for others. Then again, no modernist book is “good to start with” in a same manner in which, I don’t know, Tolkien is a good place to start if you want to familiarize yourself with epic fantasy. Lowry requires effort, and it isn’t shy in asking for it. There are more demanding books (of the same…let’s call it a genre just for the hell of it) out there - “Under the Volcano” almost comes off as simple compared to some – though if you’ve never seen something like this it will be…well, difficult. Long paragraphs without break, winding thought and constant shifting of focus, unstable perception, disintegration of narrative combined with “unlikable characters” and quite elliptic structure, no humor or any sort of “relaxing mechanism”, despair, delirium, dread, self-destruction – you get the picture. “Under the Volcano” doesn’t like shiny, happy people.<br /><br /> If you manage to plow your way through the text though, it will come off as rewarding (and you’ll just have to take my word for it). There’s beauty in a way Lowry construct his text. There’s beauty in a destruction even. If you stretch your imagination for just a bit, you can even see glimpses of the world that had come, that inevitably had to come, after the text and the author had long been gone. In a way, “Under the Volcano” can be seen as a love story. Much truer than any love story featuring pink covers with sequin dresses and finely trimmed, powerful men. Lowry wrote a biographical fantasy. Fantasy so dark that no sane mind wants to dream the dreams it is consisted of. In a way it’s an epitaph of 20th century. It’s been fifteen years since we embarked on a new and wondrous journey towards a space age that is yet to come, but epitaph is still standing and will continue to stand. As a memory, as a warning, as an unwanted dream that came true for quite a few.hell of it) out there - “Under the Volcano” almost comes off as simple compared to some – though if you’ve never seen something like this it will be…well, difficult. Long paragraphs without break, winding thought and constant shifting of focus, unstable perception, disintegration of narrative combined with “unlikable characters” and quite elliptic structure, no humor or any sort of “relaxing mechanism”, despair, delirium, dread, self-destruction – you get the picture. “Under the Volcano” doesn’t like shiny, happy people.<br /><br /> If you manage to plow your way through the text though, it will come off as rewarding (and you’ll just have to take my word for it). There’s beauty in a way Lowry construct his text. There’s beauty in a destruction even. If you stretch your imagination for just a bit, you can even see glimpses of the world that had come, that inevitably had to come, after the text and the author had long been gone. In a way, “Under the Volcano” can be seen as a love story. Much truer than any love story featuring pink covers with sequin dresses and finely trimmed, powerful men. Lowry wrote a biographical fantasy. Fantasy so dark that no sane mind wants to dream the dreams it is consisted of. In a way it’s an epitaph of 20th century. It’s been fifteen years since we embarked on a new and wondrous journey towards a space age that is yet to come, but epitaph is still standing and will continue to stand. As a memory, as a warning, as an unwanted dream that came true for quite a few.",2015-08-11
US,14691770,R26VD7A4AVVPC,0062371517,535077019,"Under the Volcano",Books,4,0,0,N,Y,"If you enjoy colorfully-written language","Great book. I don't usually read novels but I'm reading this one for my second time. It's very poetic, in a way. Lowry's use of prose and twists of old English are just a pleasant literary experience.",2015-07-25
US,20869324,RJKXTR4FT4EQ8,0062371517,535077019,"Under the Volcano",Books,1,3,13,N,Y,"I ""literally"" threw this book into a garbage can on Wilshire Blvd","After reading  through 200 plus pages, I &#34;literally&#34; threw this book into a garbage can on Wilshire Blvd.",2015-06-27
US,16039121,R2RAP7PJBVKPYS,0062371517,535077019,"Under the Volcano",Books,3,3,6,N,N,"Impossible to Read Though Touted as a Literary Masterpeice","Unless you are an English professor, this book is almost impossible to read.  Its like asking a first year medical student to perform successful open heart surgery after one semester of study.  Though touted as a literary masterpiece, I did not like this book.  I found the prose clumsy, almost indicative of the inner ramblings of the main character Geoffrey, whose stumbles through the novel in a drunken stupor.  There is a lot of inner reflection whose symbolism and allegorical references that were lost on me.  Maybe if I went back to college and obtained a liberal arts degree, I would enjoy it more.",2015-03-25
US,45665350,R18VVT0JV1150H,0062371517,535077019,"Under the Volcano",Books,1,4,4,N,N,"Nice cover, awful edition with the last lines of ...","Nice cover, awful edition with the last lines of this classic masterful novel (in spanish: &#34;¿Le gusta este jardín qe es suyo? ¡Evite que sus hijos lo destruyan!&#34;) missing in action. Or maybe they got drunk and didn't arrive on time. Anyway...",2014-12-08
US,17375105,R24C57P9HU8JC1,0060153679,535077019,"Under the Volcano",Books,5,0,6,N,N,"Five Stars","on time",2014-10-22
US,50122160,R2XLIQ8VM6Y2RH,1433275023,535077019,"Under the Volcano",Books,5,2,4,N,N,"A technically flawless, complete and unabridged, 12 CD disk, audio book edition","Superbly narrated by accomplished stage actor John Lee, \\""Under The Volcano\\"" by the late Malcolm Lowry is a riveting novel of the human condition which is set in 1938 against a Mexican backdrop. A former member of the British Embassy, Geoffrey Firmin and his wife Yvonne find themselves in Quauhnahuac and trying to deal with their failing marriage which is compounded by Geoffrey's emotional malaise and Yvonne's alcoholism. Then there is Geoffrey's half-brother Hugh and childhood friend Jacques adding further complications that must be dealt with. A technically flawless, complete and unabridged, 12 CD disk, audio book edition, \\""Under The Volcano\\"" has a total running time of fifteen hours. Providing a true 'theatre of the mind' listening experience, \\""Under The Volcano\\"" is very highly recommended for personal and community library audio book collections.",2009-07-16
US,41526681,R29YYWWDJQABS3,0452255953,535077019,"Under the Volcano",Books,5,4,5,N,N,"Lowry spells ""fart"" P-H-A-R-T...","This book is a complete masterpiece. No question about it. However, if someone told me they'd tossed it after five pages, I'd understand totally. Not that there is an intellectual baseline for enjoying it; rather, it's a question of the style of book one enjoys. This book is an elegy, a tone poem, prose for the sake of prose. Where one word suffices, Lowry inserts two. Where one metaphor is appropriate, Lowry inserts three. The stylization and the facility with words are the genius of the book, not the plot. (A drunk guy drinks a lot, interacts with his ex-wife and half-brother, then is shot by a policeman.) You'll know quickly whether this is your cuppa. Even if it isn't (as it isn't mine), the slog through pays dividends.",2007-02-03
US,40159116,R1B9RYD3TPOXTD,0060153679,535077019,"Under the Volcano",Books,1,5,33,N,N,"thank god he cant write anymore!","i don't review many books, but this book was just so bad that i have to write about it.  i got the book thinking, yes finally ive heard so much about this book, but it is all cliche cliche cliche! and it is sickening! then we have the horrible transition from thought to non-thought! i hated that!, or from any kind of thinking at all;lowry just shouldnt have let his characters think, except he had to because his dialogue is flat and false; he tries to make his thinking, and the story move, but it dosent it just sticks and it wont stop and it wont make sense with this typical alcoholic who is a cliche saying cliche things and thinking cliched thoughts and having obvious cliche symbolisms surround him.  i found one sentence that i liked in the book and the rest i was begging for the end to come, please, please, and yes! the obvious symbolism! god! that was so annoying. ok this review is poorly written but thats ok im writing it as i go, god! lowry spent forever on this terrible book.  if he had to write he shouldve given up this albatross and started over, maybe have a new good book.  ugh! what a waste of time!  please go read something good like the man who loved children or some proust or laxness or something, god!",2002-12-11
US,43048501,R2JKDAVD8Y7ADJ,0452255953,535077019,"Under the Volcano",Books,5,2,2,N,N,"Mexico sensed through the skin and released in words","I put this book down last year dismayed by the hero's disintegration but when I picked it up again last month, I was caught as I have hardly ever been in reading fiction. I have never known why anyone would try to write a novel. Now I do. Lowry may not have been the most disciplined writer but he is one of the most interesting I have ever read, whether we're talking about his consciousness of the English language, his sensed experience of Mexico, or his understanding of the erratic but fascinating course of the mind. I didn't expect to like a book about a financially well-off male expatriate but I'm fortunate that I wasn't put off by those traits. I'm sure I will reread parts of this wonderful novel many times.",2002-03-17
