marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
US,43361099,R1D6VC5OJ86S3O,0930289234,777411096,Watchmen,Books,5,0,1,N,Y,"Five Stars","One of the greatest graphic novels of all time.",2015-08-24
US,43694865,RZ6GHLYS9F9Y6,1401245250,777411096,Watchmen,Books,3,0,1,N,N,"Decent read","I haven't read comics in a long time. Stumbled across this at the library and thought Id give it a try. I liked it. It was better than I thought it would be. The art is good and the writing is decent.",2015-08-22
US,2165194,R3GEWR2K420Y7P,1401245250,777411096,Watchmen,Books,4,1,2,N,Y,"great!","The reason I am only giving this 4 stars is because I personally like the hardcover version better, it feels more exclusive somehow. But really, this was great too.",2015-08-18
US,26844599,R3FYPGZ8HP5DDZ,0930289234,777411096,Watchmen,Books,5,0,1,N,Y,"A classic!","Love the watchmen",2015-08-10
US,126008,R1TPX7JET0YKA0,1401245250,777411096,Watchmen,Books,5,0,1,N,Y,"Five Stars","Must have",2015-08-09
US,4002419,RSHSYRQMGSWZR,1401245250,777411096,Watchmen,Books,5,0,1,N,Y,"Amazing!","This is absolutely the best graphic novel/comic series I have ever read! Though written and published in the 1980's, the themes and the story hold up very well- almost even better than before. The writing, the characters, the drawings, everything is just so perfect you won't be able to put this book down! If you have not read &#34;Watchmen&#34; before, do yourself a favor and buy it now!",2015-08-08
US,1435934,RCPXAK4LQ3XIY,1401245250,777411096,Watchmen,Books,5,0,1,N,Y,"Watchmen is easily one of the greatest stories of any graphic novel ...","Watchmen is easily one of the greatest stories of any graphic novel since the beginning of the medium. It is as intricate and detailed in its story, presentation, and characters as you can get. It can be read over and over, and each time you read it, you appreciate the multiple layers to its characters even more than the time before. Its simply a must read.",2015-08-06
US,3030842,R17ZQO3LYD0IXW,1401245250,777411096,Watchmen,Books,5,0,1,N,Y,"OUTSTANDING","I am an avid reader who just recently decided to give graphic novels a try, and after this classic I am hooked. This is not just an amazing graphic novel, but also an amazing work of literature all together. There is no reason you should not own this book, and have it sitting proudly on your bookself, regardless of whether you are into graphic novels or not.",2015-08-05
US,1414221,R3FHF1W8772VC8,1401245250,777411096,Watchmen,Books,5,0,1,N,Y,"beyond classic!","classic doesnt even say it. this book broke ground. if youre a veteran to the film or just getting started pick this up!",2015-08-04
US,16264435,R1B49WF5X2LL5Q,1401245250,777411096,Watchmen,Books,5,0,1,N,Y,"Five Stars","Great!!",2015-08-04
US,36991521,R1QOCU2R3D5LRC,0930289234,777411096,Watchmen,Books,4,1,1,N,Y,"... the Watchmen movie and once again the book was better than the movie (but that is how it always ...","Bought this after watching the Watchmen movie and once again the book was better than the movie (but that is how it always is).",2015-08-03
US,37285170,R2FPX3H2W6F23Z,1401245250,777411096,Watchmen,Books,3,0,1,N,Y,"I hate to disappoint the fans","I hate to disappoint the fans, as I know there are many, but this was a tough read for me. I'm not used to graphic novels and had to read this for a Modern Fiction class.  Something about the tiny font and saturated colors just hurt my eyes and distracted me.<br /><br />However, this is a beautiful edition, made especially nice by the sketches in the back with preliminary ideas for characters, doodles, notes, etc.It is a gorgeous book.  The story itself is meaningful.<br /><br />Just hard on old lady eyes!",2015-08-03
US,1591980,R35H4CL47402CE,1401245250,777411096,Watchmen,Books,5,0,1,N,Y,"Just... Do it!","Let's just cut to the chase. Buy this comic. You won't regret it.",2015-07-31
US,45821371,R2U603U5620K2Q,1401245250,777411096,Watchmen,Books,3,0,0,N,Y,"Three Stars","Good book. It is just not my genre.",2015-07-29
US,45023240,R1VWF45EAWDDSM,0930289234,777411096,Watchmen,Books,5,0,1,N,Y,"Order this now, don't wait","If you haven't read it you're missing out on an essential part of not just comic book history, but American literature.  Watchmen changed comics forever and can be looked at as the time comics grew up.",2015-07-29
US,50708344,R23EY193LQKIV3,1401245250,777411096,Watchmen,Books,5,1,1,N,N,"The artwork is truly sumptuous and conveys so much of the unwritten tale",".<br /><br />(This review is for the Watchmen, International Edition – this is a nicely bound soft cover version the title)<br /><br />If anything, Watchman is an examination of the history of the genre and purpose of the superhero: how readers connect to it, and what it means rationally. Moore stretches from fond parody to outright sedition, wrapping the once-simple genre in layers of meaning. This is a tale where he also constantly pushes its boundaries. Watchmen is unrepentant and unwavering in it delivery.<br /><br />There are no real heroes here - for most Superhero narratives, up until the publication of this title, these Superhero comics were all usually built around wholly compassionate, venerable characters. They represent what people wish they were, and they do the things normal people wish they could do. It doesn't deliver on every level, it isn't perfect, but it contains so much that succeeds, and comes so close to fulfilling its promises that it would be almost crass to mention any failings.<br /><br />Alan Moore is a great writer. He is not a great writer for comics; he is a great writer period, who happens to have made the graphic novel his medium. Watchmen is at times legendary, funny, scholarly, sad, exciting and intriguing. It is written for intelligent readers. The plot, at times, does sprawl - it is convoluted, and it spans generations with a large ensemble cast. What kept it together are the deeply personal narratives on various scales. This is a fun read. It is exciting. The artwork is truly sumptuous and coveys so much of the unwritten tale.<br /><br />Read it. If someone sneers at you for reading, a comic book just ignore them.<br /><br />.",2015-07-25
US,14238202,R246B2UN19B3UR,1401245250,777411096,Watchmen,Books,5,0,1,N,Y,"Wow!","It's a terrific story with a twist ending. Loved it.",2015-07-22
US,47310894,R1C3ULPZWG4LIT,1401245250,777411096,Watchmen,Books,5,0,3,N,Y,"Five Stars","great",2015-07-18
