marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
US,22451166,R11ZNND6ZYHQS1,0756990378,25935067,Wide Sargasso Sea,Books,5,0,1,N,Y,"Five Stars","Excellent condition.",2015-03-13
US,46017997,R31QOCWW5HRJNN,1568497296,25935067,Wide Sargasso Sea,Books,5,0,1,N,Y,"Great Seller","Great edition for my library",2014-09-29
US,36348634,REZ4HR0GWB17L,0141182857,25935067,Wide Sargasso Sea,Books,3,5,5,N,N,"The Literary Coelacanth","In 1938 great excitement was caused in the world of natural history by the discovery of the coelacanth, a species of fish which was previously known from fossil remains but was believed to have become extinct millions of years ago.<br /><br />Jean Rhys can be seen as the literary equivalent of the coelacanth. She enjoyed moderate success as a writer during the 1920s and 1930s, when her works were compared to those of Katherine Mansfield and Elizabeth Bowen, two other female writers who, like her, made their homes in England but were not actually born there. (Mansfield was a New Zealander, Bowen Irish and Rhys was from the Caribbean island of Dominica). After her fourth book “Good Morning, Midnight” was published in 1939, however, she became a recluse, ceased publishing her work and lived in obscurity. She was widely assumed to have died and one magazine article even referred to her as “the late Jean Rhys”. Then, in 1966, great excitement was caused in the literary world by her emergence from obscurity and the publication of her novel “Wide Sargasso Sea”.<br /><br />Most of the great nineteenth century novelists rather inconsiderately failed to provide us with sequels to their works, so creating an obvious gap in the market for those readers who want to know, for example, “What happened to Elizabeth Bennett and Mr Darcy after their marriage?” In recent years, however, this gap has been filled by modern writers anxious to pen sequels to the classics; the question posed in my previous sentence has, I understand, been answered several times. Jean Rhys was doing the same sort of thing in the sixties, except that “Wide Sargasso Sea” is not a sequel to “Jane Eyre” but a prequel.<br /><br /> Rhys imagines the question “What happened to Mr Rochester’s first wife Bertha before, and immediately after, their marriage?” She does so by making a few changes to the plot of “Jane Eyre”.  Charlotte Bronte never precisely dated her novel, but the mainaction seems to be taking place during the 1800s and 1810s; Rhys moves it forward in time and her novel takes place in the late 1830s, a few years after the 1833 emancipation of the slaves in the British-ruled West Indies. She renames her heroine Antoinette Cosway and makes her the daughter of an English Creole father from Jamaica and a French Creole mother from Martinique. The word “Creole” later came to mean a person of mixed race, but its original meaning (from the Spanish “criollo”) was a white person born in the Americas of pure European descent, and it is in this sense that both Bronte and Rhys use the word. (Rhys herself was a Creole in this sense).<br /><br />In “Jane Eyre” Bertha Mason was described as a wealthy heiress, but here the Cosway family, despite being plantation owners, are not well off, and their financial difficulties are made worse by the abolition of slavery. Antoinette’s wealth (and her use of the surname “Mason”) derives from her mother’s second marriage to a Mr Mason after the death of her father; Richard Mason in this version is therefore Antoinette’s stepbrother rather than a blood relation. The name “Bertha” is one given to Antoinette by her husband, for unknown reasons. The novel tells Antoinette’s story from her youth to her unhappy marriage to an English gentleman who is never actually named but who is clearly modelled upon Edward Rochester in “Jane Eyre”. Although Antoinette (as in “Jane Eyre”) is originally from Jamaica, an island Rhys had never actually visited, most of the story takes place in her native Dominica.<br /><br />Rhys clearly did not consider herself bound to follow Bronte’s plot slavishly, but offers us a new twist on the familiar story, a twist in which Antoinette/Bertha is the heroine rather than a foul-tempered and unchaste fury and Rochester is an unsympathetic character, more a villain than Bronte’s flawed hero. Of course, this twist can only be achieved by some substantial rewriting. In this version it is implied that Rochester has Antoinette declared mad because that is the most convenient way to dispose of a wife who has become a burden to him; in the original novel it would have been in his interests for Bertha to have been declared sane, because he could then have divorced her for adultery.<br /><br />Rhys was obviously aiming at something more ambitious than a mere prequel to a literary classic. “Wide Sargasso Sea” is often described as a “postcolonial” novel and as an exploration of oppression on the grounds of race, class and sex. That is, however, an interpretation which I find problematic. The problem is that this is a “postcolonial” novel told from the viewpoint of a member of a ruling caste. Antoinette may be disadvantaged by reason of her sex, but no more so than any other woman in early Victorian Britain or the British colonies. By reason of race and class, the white Creoles of the Caribbean formed a privileged elite. There may have been certain cultural differences between the established Creole families and more recent British arrivals, and tensions arising from economic rivalry, but this does not qualify the Creoles as victims of imperialism. Indeed, in this book their main complaint seems to be that those interfering politicians in London had firstly abolished slavery and secondly failed to pay enough compensation to the former slave owners. (It should be noted that no compensation was actually offered to the slaves themselves).<br /><br />I felt that “Wide Sargasso Sea” does not really work as a self-contained novel rather than as a riposte to “Jane Eyre”. Too much is either left unstated or left to the reader’s knowledge of Bronte’s book. Rhys uses multiple-narrator technique, and although Antoinette is the protagonist more of the story is told (oddly) from Rochester’s viewpoint than from hers. (Another, very brief, section is narrated by Grace Poole). Some important developments, such as the descent of Antoinette’s mother into madness are treated in insufficient detail and, even more crucially, it is never really made clear exactly why the marriage of Antoinette and Rochester, initially seemingly a loving one, should so quickly have ended in bitterness and mutual animosity. The novel’s best feature is Rhys’s ability to conjure up the sultry, tropical atmosphere of her homeland, but I could not really recommend this book to those who are not already familiar with “Jane Eyre”. Even those who are may think that it does not add much to their appreciation of Bronte’s classic.",2014-01-22
US,36921229,R247XN56DOTVRI,B007CGSIRC,25935067,Wide Sargasso Sea,Books,4,2,3,N,N,"A well written companion or stand-alone","As a companion to Charlotte Brontë's JANE EYRE , this book was tedious to follow at times, but well worth the effort. I read this book without reading JEAN EYRE and was engrossed in the author's quirky dynamics and use of multiple points of view. I concluded that Rhys' darker and hard-edged atmosphere creates a well-developed story and creates an entertaining read whether you have read JANE EYRE or not.",2013-05-22
US,52975306,R3DGD2YT6Z7M1P,0445002514,25935067,Wide Sargasso Sea,Books,5,3,3,N,N,"The wages of sin...","Jean Rhys' masterpiece has become a \\""school assignment book\\"" which seems to ensure numerous one and two star reviews by those forced to read it. In addition, almost all reviewers seem to focus, quite heavily even, on its connection with a famous English novel which I will not mention until the end of my review, since that is where the connection is readily apparent in this novel. If for no other reason that it is the \\""path less traveled,\\"" I'd propose a strong connection with Caryl Phillips [[ASIN:0375701036 The Atlantic Sound]]. Phillips, like Rhys, was born in the Caribbean. Both would go to England in their youth. And both their works concern the terrible legacy of slavery, in particular, the \\""Middle Passage,\\"" the forcible transfer of black slaves from Africa across the Atlantic to the Caribbean, and such American cities as Charleston, SC.<br /><br />The novel commences on the island of Jamaica, shortly after slavery was abolished in the British Empire in 1834. The first part of the novel is narrated by a young white girl, Antoinette Bertha Cosway, daughter of a slave owner and his wife. Their estate is called Coulibri; Rhys never says it means \\""hummingbird\\"" in English. The father dies, and therefore his wife struggles to manage, in poverty, with her two children, the narrator, and her brother.  The wages of sin, the sin of slavery, are literally death in some cases, but the core theme that Rhys examines is the insanity of both the mother and the daughter. She also explores the inevitable interracial sexual relations, and the children of such relationships. Also there are the terribly distorted economic and social relations, post-slavery, between the races. Can whites ever feel safe in their own beds without barring the bedroom door, given the legacy of injustice? William Faulkner depicted similar scenes of the revolt of slaves in these islands in his classic [[ASIN:0679600728 Absalom, Absalom! (Modern Library)]].<br /><br />Rather inexplicably, Antoinette's mother is rescued from the poverty, but not the insanity, by marriage to an apparently wealthy Mr. Mason. Due to her mother's deteriorating mental state Antoinette is sent off to the proverbial nunnery. Her step-father saves her from that, with an arranged marriage to an English \\""fortune seeker,\\"" who acquires a sizable dowry in the process. But is it worth it?  He narrates much of the second portion of the novel, and that is the central question as he must deal with not only his wife's dysfunctional behavior, but that of society at large, including, in particular, the servants. Christophine, whose origins are in Martinique, and who raised Antoinette, is a deeply threatening presence to Antoinette's husband. And throughout this action, Rhys paints a deeply vivid picture of the natural world of Jamaica, particularly in the isolated, central mountainous region. Due to societal evils, past and present, there is an edgy \\""Gothic\\"" tone to novel.<br /><br />The last part of the novel, only 10 pages, is set in England. And that is the connection with [[ASIN:160459411X JANE EYRE]], the \\""madwoman\\"" in the attic.  As a couple of other reviewers have said, Rhys novel is a sort of \\""prequel\\"" to (Jane Eyre). And it is, in its way, truly, in that she provides all the motivation, squared even, necessary to indicate why someone \\""chooses,\\"" if that really is what happens, a personal insanity instead of living in a society which itself is \\""insane.\\""  This was the first novel of Rhys that I've read. It won't be the last. She packed a tremendous amount in, most skillfully, in 190 pages. 5-stars, plus.r is rescued from the poverty, but not the insanity, by marriage to an apparently wealthy Mr. Mason. Due to her mother's deteriorating mental state Antoinette is sent off to the proverbial nunnery. Her step-father saves her from that, with an arranged marriage to an English \\""fortune seeker,\\"" who acquires a sizable dowry in the process. But is it worth it?  He narrates much of the second portion of the novel, and that is the central question as he must deal with not only his wife's dysfunctional behavior, but that of society at large, including, in particular, the servants. Christophine, whose origins are in Martinique, and who raised Antoinette, is a deeply threatening presence to Antoinette's husband. And throughout this action, Rhys paints a deeply vivid picture of the natural world of Jamaica, particularly in the isolated, central mountainous region. Due to societal evils, past and present, there is an edgy \\""Gothic\\"" tone to novel.<br /><br />The last part of the novel, only 10 pages, is set in England. And that is the connection with [[ASIN:160459411X JANE EYRE]], the \\""madwoman\\"" in the attic.  As a couple of other reviewers have said, Rhys novel is a sort of \\""prequel\\"" to (Jane Eyre). And it is, in its way, truly, in that she provides all the motivation, squared even, necessary to indicate why someone \\""chooses,\\"" if that really is what happens, a personal insanity instead of living in a society which itself is \\""insane.\\""  This was the first novel of Rhys that I've read. It won't be the last. She packed a tremendous amount in, most skillfully, in 190 pages. 5-stars, plus.",2013-01-11
US,50352702,RT9V4CBR0J84Y,0140189831,25935067,Wide Sargasso Sea,Books,4,3,3,N,N,"We Are Not on the Moors Anymore","Charlotte Bronte's novel Jane Eyre is one of the stories that inspired me to become an English teacher.  The richness of her style and dense, dark characters enrapture still.  Therefore I was excited to discover the \\""prequel\\"" about Rochester's poor demented wife kept in the attic.  At first I was disappointed.  The Wide Sargasso Sea's author, Jean Rhys, does not speak in Bronte's (nor Miss Eyre's) style.  That was my expectation.  But why?  Ms. Rhys lived in a different time and culture than Miss Bronte.  Rhys did experience the tropical culture in her childhood.  This is also, after all, Antoinette's (or Bertha's) story, not Jane Eyre's.  Mr. Rochester was a young aristocrat and a \\""second son.\\""  Both victims tell their own story amid a primeval jungle of darkness and deceit.  The archetypes of light and dark, wilderness and civilization, Eden and the knowledge of evil are reminiscent of Eudora Welty's The Robber Bridegroom.  The change of narrator's was surprising, but eventually it seemed to work.  We heard both bride and groom as they descended from sanity to insanity.  The introduction by Francis Wyndham was helpful to keep \\""the voices in my head\\"" separate. (Don't skip the introductions; they are there for a reason.)  My sympathetic feelings for Antoinette or Bertha only intensified after this reading.  Mr. Rochester's brooding spirit was completely explained.  Antoinette never had the redemptive possibility of love; Jane's love brought light to his spiritual prison.",2012-10-15
US,45245564,R1IPLI61ZQPMX8,1568497296,25935067,Wide Sargasso Sea,Books,5,2,2,N,N,"A CLASSIC NOVEL","After years of reading and re-reading JANE EYRE in high school and college, I discovered<br />that there was a companion novel of sorts--WIDE SARGASSO SEA by Jean Rhys. Born on a Caribbean<br />island, Jean Rhys emerged from years of isolation as a writer with this stunningly beautiful,<br />well-crafted, and haunting novel.<br /><br />WIDE SARGASSO SEA is the mesmerizing story of a young mixed-up Creole woman named<br />Antoinette. From childhood, she is surrounded by a voodoo priestess, spirits,<br />and political upheaval. That's enough to disorient anyone. She meets Rochester, a man<br />she believes she loves. She tries everything to gain and hold onto his love. 21st<br />Century women have the opportunities of going to college or pursuing a career.<br />For a 19th Century woman like Antoinette, she must marry or be doomed. In Antoinette's<br />case, she's doomed anyway. Once she marries, Rochester has complete control of her<br />money and convinces everyone that she is crazy.<br /><br />As I read WSS, I kept thinking, She's not crazy. I'm convinced Rochester was not<br />the Romantic hero Charlotte Bronte portrayed him to be. He was a money-grubbing cad.<br />(Today Antoinette would have gotten a pre-nup.)<br /><br />Thanks to Jean Rhys for giving us this perceptive novel and letting us decide<br />for ourselves. WIDE SARGASSO SEA is, in my opinion, Jean Rhys' best novel.<br /><br />--Yolanda A.  Reid<br /><br />Author of Porridge & Cucu: My Childhood<br /><br />[[ASIN:B0098ASHEE PORRIDGE & CUCU: MY CHILDHOOD]]",2012-09-19
US,51781343,ROWGOEP9BXNH,1568497296,25935067,Wide Sargasso Sea,Books,5,2,2,N,N,"Haunting Tale of Post-Slavery Jamaica","Here is the haunting story of Antoinette Cosway, a young girl growing up in post-slavery Jamaica, whose late father had been a slave owner.<br />  Jamaica is lush, beautiful, and roiled by racial tension. Author Jean Rhys, herself a native of Dominica, captures its brooding allure with prose that is as vivid as it is spare. Antoinette's widowed mother, isolated and fragile, can do little for her daughter. Antoinette's few real advocates include a biracial cousin who is in love with her, and a wise family servant who turns to Obeah when her stern practicality fails her. Neither can protect Antoinette from English society in Jamaica, when she graduates from convent school and her stepfather marries her off to the kind of ne'er-do-well Englishman who was then sent to the Caribbean to find his fortune with a Creole heiress. Antoinette will be a pawn in a world in which race and gender are powerful forces that determine destiny.<br />  The terrible mismatch is told from both points of view: the fearful, sensual, vulnerable young Antoinette, and her suspicious, austere, destructive husband. In the end Antoinette becomes the famous character from Jane Eyre; the mad wife Rochester keeps locked in the attic--a character Jean Rhys evidently sympathized with. Her desire to tell her story produced a canonic work that is an astounding, intriguing odyssey that I have read again and again for years.",2012-07-12
US,21302163,R19WZ7EX266F0Z,1568497296,25935067,Wide Sargasso Sea,Books,5,2,2,N,N,"Review of Wide Sargasso Sea","Wide Sargasso Sea is the story that Charlotte Bronte did not tell - and Jean Rhys's masterful job in doing so.  I had first heard about this book in an introduction to literature class I took Fall of '11, but although my interest was caught, I was floundering under the heavy weight of homework and recovering from a car accident, so the title got pushed to the back of my mind.<br /><br />Then, Spring '12, in my British Lit class, once again the title came up.  We had been discussing Jane Eyre and Bertha - the mad woman in the attic, and batting around various theories.  One of the theories that caught my interest was how Bertha was the parts of Jane that she had suppressed through years of practice.  This was brought to mind especially with the similarities between the two characters.  But then, once again, the title of Wide Sargasso Sea was put onto the board and I remembered that this was one I wanted to read.<br /><br />Then, fairly recently, an article was posted to Twitter of \\""modern literary adaptations\\"" of classics that should be read.  Once again, there was Jean Rhys's book .. so excuses aside, off to the library I went.<br /><br />Wide Sargasso Sea is a short, but meaty read.  I actually read the book twice - two afternoons in a row.  The story is one of Antoinette (known later as Bertha) and the path that led to her madness.  Jean Rhys gives a powerful voice to the mad woman in the attic and, as expected, the story behind Bertha was a tragic one which parts a very unflattering picture of Mr. Rochester.<br /><br />If you would like to keep a romantic ideal of Mr. Rochester, I'd recommend steering clear of this title - however if you, like me, love Jane Eyre and would like to see Bertha given a voice (because, really people, she was LOCKED away in an attic), then I recommend picking this book up and letting it blow your mind a little.",2012-06-25
US,21286423,R31WCCYT4KKZZY,0140189831,25935067,Wide Sargasso Sea,Books,2,0,7,N,N,"Meh.","Meh.  Just meh.  It's not a terrible book, but really, there are such better things you can do with your time - like watch TV, or read just about anything else.",2012-04-29
