title,total_reviews,book_reviews,ebook_reviews,verified_reviews,five_stars,four_stars,three_stars,two_stars,one_star,average_helpful
Midnight's Children,222,140,82,84,123,42,28,18,11,0.735111958075274
The Corrections,703,691,12,62,207,106,90,114,186,0.680065706831578
Mrs. Dalloway,243,207,36,77,127,48,17,28,23,0.6852042567799519
Play It As It Lays,1,1,0,1,0,0,0,0,1,0.3333333333333333
The Assistant,203,30,173,147,107,22,20,18,36,0.5493562231759657
The Day of the Locust,34,29,5,21,9,3,7,5,10,0.7586206896551724
Call It Sleep,2,2,0,0,1,1,0,0,0,1.0
The Adventures of Augie March,2,2,0,2,0,0,0,1,1,0.0
The Painted Bird,150,150,0,29,85,16,15,7,27,0.4927206551410373
Falconer,33,33,0,9,13,8,8,3,1,0.5892116182572614
The Bridge of San Luis Rey,13,13,0,5,7,2,0,2,2,0.3953488372093023
One Flew Over the Cuckoo's Nest,518,432,86,172,317,113,43,22,23,0.5122972265829409
The Sportswriter,14,9,5,6,4,1,4,2,3,0.42592592592592593
Atonement,261,231,30,76,124,46,35,24,32,0.6336283185840708
Tropic of Cancer,220,202,18,46,109,36,24,24,27,0.6282916948008103
Gravity's Rainbow,60,60,0,10,33,5,7,12,3,0.5423023578363384
The French Lieutenant's Woman,91,77,14,30,55,11,10,6,9,0.6295454545454545
The Heart of the Matter,22,22,0,5,18,3,1,0,0,0.6233766233766234
The Blind Assassin,188,180,8,24,100,42,17,19,10,0.7189631650750341
A Dance to the Music of Time,1,1,0,1,1,0,0,0,0,0.0
Never Let Me Go,1196,750,446,558,483,288,184,143,98,0.7140273539052786
Light in August,134,128,6,39,77,39,9,4,5,0.7296862429605793
Brideshead Revisited,222,133,89,118,125,49,27,12,9,0.6733668341708543
The Great Gatsby,4740,2148,2592,3425,2736,1072,519,222,191,0.5494066502173658
The Prime of Miss Jean Brodie,12,12,0,1,4,3,1,1,3,0.18181818181818182
The Sun Also Rises,696,680,16,168,330,134,97,68,67,0.6256967670011149
To the Lighthouse,230,191,39,73,119,41,24,15,31,0.698340874811463
Possession,631,483,148,206,305,134,82,54,56,0.7016505761445033
The Spy Who Came in From the Cold,51,51,0,11,31,10,4,2,4,0.43673469387755104
Appointment in Samarra,18,18,0,6,10,6,2,0,0,0.7733644859813084
Deliverance,59,33,26,24,47,8,2,0,2,0.85
The Confessions of Nat Turner,82,76,6,20,49,16,6,3,8,0.7014925373134329
The Sot-Weed Factor,56,56,0,17,45,4,2,3,2,0.65587734241908
Catch-22,764,723,41,101,514,147,43,21,39,0.4315983417779825
Naked Lunch,249,218,31,71,107,38,31,17,56,0.5956521739130435
Pale Fire,98,92,6,22,73,16,6,2,1,0.7102272727272727
White Teeth,156,156,0,10,63,36,22,14,21,0.7206560738083034
Dog Soldiers,68,54,14,31,33,12,10,8,5,0.656934306569343
An American Tragedy,21,12,9,11,13,2,1,5,0,0.603448275862069
The Golden Notebook,7,3,4,5,5,0,1,0,1,0.7619047619047619
Ubik,304,152,152,167,176,75,33,9,11,0.624090541632983
The Moviegoer,155,155,0,43,60,38,23,17,17,0.6656165616561656
Things Fall Apart,868,849,19,318,468,209,78,47,66,0.5584562996594779
Blood Meridian,19,8,11,16,13,3,1,2,0,0.6410256410256411
The Sheltering Sky,197,138,59,92,101,46,27,11,12,0.7165685449957948
A Death in the Family,94,58,36,30,43,28,12,9,2,0.6813471502590673
"I, Claudius",13,13,0,7,11,2,0,0,0,0.9583333333333334
Animal Farm,651,560,91,334,440,110,31,30,40,0.45401174168297453
The Power and the Glory,20,15,5,13,13,1,0,1,5,0.5102040816326531
Infinite Jest,498,295,203,341,280,62,39,40,77,0.6066429418742586
Herzog,15,7,8,9,7,1,3,2,2,0.4186046511627907
American Pastoral,45,31,14,13,19,10,5,7,4,0.6818181818181818
Loving,67,38,29,34,44,11,4,6,2,0.691358024691358
To Kill a Mockingbird,2780,2780,0,1217,2213,334,98,51,84,0.45074792243767314
Under the Volcano,20,18,2,4,11,2,2,2,3,0.5238095238095238
The Death of the Heart,34,34,0,11,17,7,3,2,5,0.5216606498194946
Wide Sargasso Sea,35,35,0,7,16,8,7,4,0,0.7790697674418605
Housekeeping,16,3,13,9,8,6,2,0,0,0.8235294117647058
Their Eyes Were Watching God,528,527,1,188,338,106,41,19,24,0.6531055900621118
Under the Net,50,41,9,21,20,16,9,3,2,0.6423357664233577
The Recognitions,4,4,0,0,2,1,0,0,1,0.30120481927710846
The Berlin Stories,56,29,27,46,28,15,4,2,7,0.6770833333333334
The Crying of Lot 49,50,19,31,31,25,6,6,8,5,0.5135135135135135
Red Harvest,102,88,14,35,59,30,8,4,1,0.716931216931217
1984,1679,647,1032,1110,1137,317,133,46,46,0.49492792311799255
The Lord of the Rings,1243,1126,117,364,1023,87,53,39,41,0.6630767883722967
"Rabbit, Run",229,177,52,69,89,59,43,19,19,0.6040791841631674
Slaughterhouse Five,7,1,6,3,6,1,0,0,0,0.0
At Swim-Two-Birds,6,0,6,3,3,0,2,0,1,0.6666666666666666
A House for Mr. Biswas,64,64,0,15,40,13,6,3,2,0.7484567901234568
Revolutionary Road,193,147,46,58,115,44,9,8,17,0.7563868613138686
Lord of the Flies,1738,1223,515,736,840,422,227,106,143,0.46134020618556704
Money,98,78,20,32,58,21,6,9,4,0.7313974591651543
Ragtime,84,84,0,10,51,14,10,4,5,0.6559905100830368
On the Road,401,248,153,243,174,77,48,51,51,0.6355633802816901
The Catcher in the Rye,3408,3384,24,903,1868,551,342,268,379,0.5501842134643296
The Big Sleep,56,45,11,33,25,14,8,5,4,0.5076923076923077
Gone With the Wind,323,314,9,145,266,26,15,8,8,0.6860294117647059
White Noise,136,84,52,73,57,34,21,11,13,0.41245136186770426
The Grapes of Wrath,794,347,447,551,596,119,37,14,28,0.3108728943338438
Portnoy's Complaint,185,138,47,69,86,43,26,14,16,0.6570469798657718
Death Comes for the Archbishop,58,54,4,45,28,6,4,1,19,0.8153034300791556
All the King's Men,321,230,91,131,203,67,20,14,17,0.6471226927252985
Beloved,851,658,193,307,425,164,116,58,88,0.6001147446930579
Neuromancer,588,562,26,159,296,121,69,52,50,0.5407814871016692
Invisible Man,404,403,1,125,255,69,33,22,25,0.4984249212460623
Native Son,263,169,94,113,164,57,18,9,15,0.5639288738357324
Snow Crash,808,780,28,196,425,197,94,55,37,0.5377458236413618
The Sound and the Fury,20,20,0,8,5,6,3,1,5,0.32727272727272727
A Passage to India,173,143,30,57,64,37,29,15,28,0.556924882629108
A Clockwork Orange,805,677,128,257,551,161,44,16,33,0.5437296175511415
Lolita,654,647,7,186,439,102,56,25,32,0.4814045293995429
Watchmen,1323,1137,186,619,989,195,67,40,32,0.3830602536997886
A Handful of Dust,82,65,17,30,40,25,9,6,2,0.6325581395348837
Lucky Jim,73,73,0,9,47,12,9,2,3,0.6535433070866141
